"symbol1"	"symbol2"	"CC"
"ATP5G2"	"COX5A"	NA
"ENTPD2"	"POLR2L"	0.067
"FRG1"	"RPS9"	0.2
"GLUD2"	"COX5A"	0.286
"HCFC1"	"ANAPC2"	0.233
"NFKBIB"	"POLR2L"	0.227
"NFKBIB"	"S100A8"	0.227
"POLR2L"	"RPS9"	0.186
"POLR2L"	"ARPC1B"	0.156
"POLR2L"	"ANAPC2"	0.286
"POLR2L"	"YIF1B"	0.116
"RPS9"	"COX5A"	0.124
"RPS9"	"ARPC1B"	0.222
"RPS9"	"GSPT2"	0.113
"RPS9"	"ANAPC2"	0.162
"RPS9"	"ISYNA1"	0.087
"SIX3"	"LHX2"	NA
"TNFSF13"	"TNFRSF13B"	0.022
"RABAC1"	"YIF1B"	0.117
"ANAPC2"	"VPS28"	0.136
"ANAPC2"	"PCGF6"	0.31
