topology,subject,measure,ontology,edge,node,cluster
string,mets,Resnik,MF,19,27,7 
string,mets,Resnik,BP,19,26,7 
string,mets,Resnik,CC,19,26,7 
string,mets,Lin,MF,19,27,7 
string,mets,Lin,BP,19,26,7 
string,mets,Lin,CC,19,26,8 
string,mets,Rel,MF,19,27,7 
string,mets,Rel,BP,19,26,7 
string,mets,Rel,CC,19,26,8 
string,mets,Jiang,MF,21,29,9 
string,mets,Jiang,BP,20,27,8 
string,mets,Jiang,CC,19,26,8 
string,mets,Wang,MF,22,29,7 
string,mets,Wang,BP,21,28,7 
string,mets,Wang,CC,19,26,8 
string,t2d,Resnik,MF,82,82,22 
string,t2d,Resnik,BP,91,92,21 
string,t2d,Resnik,CC,94,94,23 
string,t2d,Lin,MF,82,82,23 
string,t2d,Lin,BP,91,92,23 
string,t2d,Lin,CC,94,94,23 
string,t2d,Rel,MF,82,82,21 
string,t2d,Rel,BP,91,92,22 
string,t2d,Rel,CC,94,94,24 
string,t2d,Jiang,MF,92,91,23 
string,t2d,Jiang,BP,87,88,19 
string,t2d,Jiang,CC,95,95,23 
string,t2d,Wang,MF,93,93,24 
string,t2d,Wang,BP,92,93,23 
string,t2d,Wang,CC,95,95,21 
string,cad,Resnik,MF,3234,684,113 
string,cad,Resnik,BP,3355,683,96 
string,cad,Resnik,CC,3385,711,108 
string,cad,Lin,MF,3234,684,110 
string,cad,Lin,BP,3355,683,102 
string,cad,Lin,CC,3385,711,110 
string,cad,Rel,MF,3234,684,113 
string,cad,Rel,BP,3355,683,100 
string,cad,Rel,CC,3385,711,106 
string,cad,Jiang,MF,3427,702,111 
string,cad,Jiang,BP,3331,690,103 
string,cad,Jiang,CC,3462,713,107 
string,cad,Wang,MF,3492,716,111 
string,cad,Wang,BP,3446,700,105 
string,cad,Wang,CC,3521,716,116 
inet,mets,Resnik,MF,18,19,3 
inet,mets,Resnik,BP,18,19,4 
inet,mets,Resnik,CC,19,19,3 
inet,mets,Lin,MF,18,19,3 
inet,mets,Lin,BP,18,19,4 
inet,mets,Lin,CC,19,19,4 
inet,mets,Rel,MF,18,19,3 
inet,mets,Rel,BP,18,19,3 
inet,mets,Rel,CC,19,19,4 
inet,mets,Jiang,MF,18,19,4 
inet,mets,Jiang,BP,19,20,4 
inet,mets,Jiang,CC,19,19,5 
inet,mets,Wang,MF,18,19,3 
inet,mets,Wang,BP,19,20,4 
inet,mets,Wang,CC,19,19,5 
inet,t2d,Resnik,MF,31,44,13 
inet,t2d,Resnik,BP,39,51,11 
inet,t2d,Resnik,CC,41,53,15 
inet,t2d,Lin,MF,31,44,12 
inet,t2d,Lin,BP,39,51,11 
inet,t2d,Lin,CC,41,53,15 
inet,t2d,Rel,MF,31,44,13 
inet,t2d,Rel,BP,39,51,12 
inet,t2d,Rel,CC,41,53,15 
inet,t2d,Jiang,MF,36,48,13 
inet,t2d,Jiang,BP,36,49,10 
inet,t2d,Jiang,CC,41,53,12 
inet,t2d,Wang,MF,37,50,13 
inet,t2d,Wang,BP,40,52,13 
inet,t2d,Wang,CC,41,53,14 
inet,cad,Resnik,MF,5182,565,74 
inet,cad,Resnik,BP,5198,555,72 
inet,cad,Resnik,CC,5401,575,73 
inet,cad,Lin,MF,5182,565,76 
inet,cad,Lin,BP,5198,555,76 
inet,cad,Lin,CC,5401,575,77 
inet,cad,Rel,MF,5182,565,76 
inet,cad,Rel,BP,5198,555,81 
inet,cad,Rel,CC,5401,575,75 
inet,cad,Jiang,MF,5424,571,69 
inet,cad,Jiang,BP,5068,557,75 
inet,cad,Jiang,CC,5430,579,75 
inet,cad,Wang,MF,5503,580,76 
inet,cad,Wang,BP,5347,566,79 
inet,cad,Wang,CC,5475,580,77
