"topology","subject","measure","ontology","BHI"
"string","mets","Resnik","MF",0.338
"string","mets","Resnik","BP",0.269
"string","mets","Resnik","CC",0.329
"string","mets","Lin","MF",0.338
"string","mets","Lin","BP",0.29
"string","mets","Lin","CC",0.281
"string","mets","Rel","MF",0.338
"string","mets","Rel","BP",0.29
"string","mets","Rel","CC",0.281
"string","mets","Jiang","MF",0.321
"string","mets","Jiang","BP",0.253
"string","mets","Jiang","CC",0.269
"string","mets","Wang","MF",0.372
"string","mets","Wang","BP",0.297
"string","mets","Wang","CC",0.281
"string","t2d","Resnik","MF",0.405
"string","t2d","Resnik","BP",0.271
"string","t2d","Resnik","CC",0.306
"string","t2d","Lin","MF",0.362
"string","t2d","Lin","BP",0.277
"string","t2d","Lin","CC",0.324
"string","t2d","Rel","MF",0.362
"string","t2d","Rel","BP",0.297
"string","t2d","Rel","CC",0.325
"string","t2d","Jiang","MF",0.366
"string","t2d","Jiang","BP",0.29
"string","t2d","Jiang","CC",0.294
"string","t2d","Wang","MF",0.372
"string","t2d","Wang","BP",0.307
"string","t2d","Wang","CC",0.311
"string","cad","Resnik","MF",0.369
"string","cad","Resnik","BP",0.261
"string","cad","Resnik","CC",0.389
"string","cad","Lin","MF",0.375
"string","cad","Lin","BP",0.273
"string","cad","Lin","CC",0.389
"string","cad","Rel","MF",0.381
"string","cad","Rel","BP",0.271
"string","cad","Rel","CC",0.396
"string","cad","Jiang","MF",0.369
"string","cad","Jiang","BP",0.269
"string","cad","Jiang","CC",0.372
"string","cad","Wang","MF",0.361
"string","cad","Wang","BP",0.266
"string","cad","Wang","CC",0.39
"inet","mets","Resnik","MF",0.454
"inet","mets","Resnik","BP",0.245
"inet","mets","Resnik","CC",0.392
"inet","mets","Lin","MF",0.382
"inet","mets","Lin","BP",0.227
"inet","mets","Lin","CC",0.361
"inet","mets","Rel","MF",0.382
"inet","mets","Rel","BP",0.227
"inet","mets","Rel","CC",0.361
"inet","mets","Jiang","MF",0.399
"inet","mets","Jiang","BP",0.227
"inet","mets","Jiang","CC",0.286
"inet","mets","Wang","MF",0.401
"inet","mets","Wang","BP",0.167
"inet","mets","Wang","CC",0.267
"inet","t2d","Resnik","MF",0.464
"inet","t2d","Resnik","BP",0.269
"inet","t2d","Resnik","CC",0.407
"inet","t2d","Lin","MF",0.464
"inet","t2d","Lin","BP",0.279
"inet","t2d","Lin","CC",0.407
"inet","t2d","Rel","MF",0.464
"inet","t2d","Rel","BP",0.269
"inet","t2d","Rel","CC",0.407
"inet","t2d","Jiang","MF",0.469
"inet","t2d","Jiang","BP",0.284
"inet","t2d","Jiang","CC",0.394
"inet","t2d","Wang","MF",0.469
"inet","t2d","Wang","BP",0.277
"inet","t2d","Wang","CC",0.39
"inet","cad","Resnik","MF",0.408
"inet","cad","Resnik","BP",0.268
"inet","cad","Resnik","CC",0.443
"inet","cad","Lin","MF",0.419
"inet","cad","Lin","BP",0.265
"inet","cad","Lin","CC",0.432
"inet","cad","Rel","MF",0.409
"inet","cad","Rel","BP",0.272
"inet","cad","Rel","CC",0.437
"inet","cad","Jiang","MF",0.414
"inet","cad","Jiang","BP",0.272
"inet","cad","Jiang","CC",0.411
"inet","cad","Wang","MF",0.4
"inet","cad","Wang","BP",0.283
"inet","cad","Wang","CC",0.418
