"207372_s_at"	"202586_at"	0.149
"207372_s_at"	"211730_s_at"	0.149
"210447_at"	"203663_s_at"	0.221
"215794_x_at"	"203663_s_at"	0.221
"202473_x_at"	"218555_at"	1
"202474_s_at"	"218555_at"	1
"214062_x_at"	"202586_at"	0.378
"214062_x_at"	"211730_s_at"	0.378
"214448_x_at"	"202586_at"	0.378
"214448_x_at"	"211730_s_at"	0.378
"214062_x_at"	"202917_s_at"	0.541
"214062_x_at"	"214370_at"	0.541
"214448_x_at"	"202917_s_at"	0.541
"214448_x_at"	"214370_at"	0.541
"202586_at"	"217747_s_at"	0.392
"211730_s_at"	"217747_s_at"	0.392
"202586_at"	"201954_at"	0.402
"211730_s_at"	"201954_at"	0.402
"202586_at"	"218555_at"	1
"211730_s_at"	"218555_at"	1
"217747_s_at"	"203663_s_at"	0.506
"217747_s_at"	"201954_at"	0.59
"217747_s_at"	"205541_s_at"	0.707
"217747_s_at"	"218555_at"	1
"217747_s_at"	"222240_s_at"	0.504
"206634_at"	"206140_at"	1
"206634_at"	"211219_s_at"	1
"210314_x_at"	"207641_at"	0.815
"218555_at"	"218679_s_at"	1
