"205377_s_at"	"207613_s_at"	0.568
"205377_s_at"	"213108_at"	0.568
"205378_s_at"	"207613_s_at"	0.568
"205378_s_at"	"213108_at"	0.568
"210332_at"	"207613_s_at"	0.568
"210332_at"	"213108_at"	0.568
"205377_s_at"	"220138_at"	0.445
"205378_s_at"	"220138_at"	0.445
"210332_at"	"220138_at"	0.445
"203872_at"	"200974_at"	0.804
"203872_at"	"215787_at"	0.804
"203872_at"	"200601_at"	0.69
"203872_at"	"207163_s_at"	0.553
"203872_at"	"202329_at"	0.588
"203872_at"	"208674_x_at"	0.426
"203872_at"	"208675_s_at"	0.426
"203872_at"	"200094_s_at"	0.567
"203872_at"	"204102_s_at"	0.567
"203872_at"	"201122_x_at"	0.487
"203872_at"	"201123_s_at"	0.487
"203872_at"	"213753_x_at"	0.487
"203872_at"	"201841_s_at"	0.714
"203872_at"	"210150_s_at"	0.515
"203872_at"	"200737_at"	0.602
"203872_at"	"200738_s_at"	0.602
"203872_at"	"217356_s_at"	0.602
"203872_at"	"217383_at"	0.602
"203872_at"	"211570_s_at"	0.544
"203872_at"	"201033_x_at"	0.547
"203872_at"	"208856_x_at"	0.547
"203872_at"	"211720_x_at"	0.547
"203872_at"	"211972_x_at"	0.547
"203872_at"	"214167_s_at"	0.547
"203872_at"	"200908_s_at"	0.521
"203872_at"	"217670_at"	0.521
"203872_at"	"214317_x_at"	0.551
"203872_at"	"217747_s_at"	0.551
"203872_at"	"216438_s_at"	0.567
"203872_at"	"205177_at"	0.539
"203872_at"	"206393_at"	0.547
"203872_at"	"204083_s_at"	0.673
"203872_at"	"212654_at"	0.673
"203872_at"	"206769_at"	0.784
"203872_at"	"205541_s_at"	0.425
"203872_at"	"221021_s_at"	0.362
"203872_at"	"209026_x_at"	0.698
"203872_at"	"211714_x_at"	0.698
"203872_at"	"212320_at"	0.698
"203872_at"	"214023_x_at"	0.555
"200974_at"	"200601_at"	0.752
"215787_at"	"200601_at"	0.752
"200974_at"	"208960_s_at"	0.473
"200974_at"	"208961_s_at"	0.473
"200974_at"	"211610_at"	0.473
"215787_at"	"208960_s_at"	0.473
"215787_at"	"208961_s_at"	0.473
"215787_at"	"211610_at"	0.473
"200974_at"	"200094_s_at"	0.682
"200974_at"	"204102_s_at"	0.682
"215787_at"	"200094_s_at"	0.682
"215787_at"	"204102_s_at"	0.682
"200974_at"	"201122_x_at"	0.57
"200974_at"	"201123_s_at"	0.57
"200974_at"	"213753_x_at"	0.57
"215787_at"	"201122_x_at"	0.57
"215787_at"	"201123_s_at"	0.57
"215787_at"	"213753_x_at"	0.57
"200974_at"	"201841_s_at"	0.718
"215787_at"	"201841_s_at"	0.718
"200974_at"	"200737_at"	0.684
"200974_at"	"200738_s_at"	0.684
"200974_at"	"217356_s_at"	0.684
"200974_at"	"217383_at"	0.684
"215787_at"	"200737_at"	0.684
"215787_at"	"200738_s_at"	0.684
