"207384_at"	"201681_s_at"	0.348
"207384_at"	"210469_at"	0.348
"207384_at"	"202415_s_at"	0.098
"210382_at"	"207577_at"	0.657
"210382_at"	"207578_s_at"	0.657
"210382_at"	"216939_s_at"	0.657
"210382_at"	"211201_at"	0.463
"210382_at"	"200744_s_at"	0.508
"210382_at"	"200745_s_at"	0.508
"210382_at"	"200746_s_at"	0.508
"210382_at"	"220538_at"	0.52
"210382_at"	"200852_x_at"	0.52
"210382_at"	"213245_at"	0.458
"210382_at"	"215340_at"	0.458
"210382_at"	"215348_at"	0.458
"210382_at"	"214510_at"	0.6
"204144_s_at"	"205873_at"	0.782
"204144_s_at"	"213889_at"	0.782
"203396_at"	"218481_at"	0.454
"203396_at"	"205377_s_at"	0.215
"203396_at"	"205378_s_at"	0.215
"203396_at"	"210332_at"	0.215
"203396_at"	"207535_s_at"	0.303
"203396_at"	"209636_at"	0.303
"203396_at"	"211524_at"	0.303
"203396_at"	"201114_x_at"	1
"203396_at"	"216088_s_at"	1
"203396_at"	"201568_at"	0.286
"203396_at"	"201252_at"	0.812
"203396_at"	"200967_at"	0.186
"203396_at"	"200968_s_at"	0.186
"203396_at"	"202186_x_at"	0.361
"203396_at"	"202187_s_at"	0.361
"203396_at"	"204695_at"	0.346
"203396_at"	"204696_s_at"	0.346
"203396_at"	"201011_at"	0.559
"203396_at"	"202240_at"	0.276
"203396_at"	"207113_s_at"	0.17
"203396_at"	"205205_at"	0.19
"203396_at"	"202243_s_at"	1
"203396_at"	"202244_at"	1
"203396_at"	"202024_at"	0.052
"203396_at"	"218555_at"	0.532
"203396_at"	"212219_at"	0.727
"203396_at"	"212220_at"	0.727
"203396_at"	"212222_at"	0.727
"203396_at"	"201364_s_at"	0.476
"203396_at"	"201365_at"	0.476
"203396_at"	"214062_x_at"	0.353
"203396_at"	"214448_x_at"	0.353
"200678_x_at"	"205936_s_at"	0.449
"211284_s_at"	"205936_s_at"	0.449
"216041_x_at"	"205936_s_at"	0.449
"200678_x_at"	"207163_s_at"	0.32
"211284_s_at"	"207163_s_at"	0.32
"216041_x_at"	"207163_s_at"	0.32
"200678_x_at"	"206493_at"	0.505
"200678_x_at"	"206494_s_at"	0.505
"200678_x_at"	"216956_s_at"	0.505
"200678_x_at"	"216966_at"	0.505
"211284_s_at"	"206493_at"	0.505
"211284_s_at"	"206494_s_at"	0.505
"211284_s_at"	"216956_s_at"	0.505
"211284_s_at"	"216966_at"	0.505
"216041_x_at"	"206493_at"	0.505
"216041_x_at"	"206494_s_at"	0.505
"216041_x_at"	"216956_s_at"	0.505
"216041_x_at"	"216966_at"	0.505
"200678_x_at"	"207113_s_at"	0.336
"211284_s_at"	"207113_s_at"	0.336
"216041_x_at"	"207113_s_at"	0.336
"204581_at"	"204563_at"	0.54
"217422_s_at"	"204563_at"	0.54
"220674_at"	"204563_at"	0.54
"38521_at"	"204563_at"	0.54
"204581_at"	"221345_at"	0.447
"217422_s_at"	"221345_at"	0.447
"220674_at"	"221345_at"	0.447
"38521_at"	"221345_at"	0.447
"204581_at"	"214049_x_at"	0.565
"204581_at"	"214551_s_at"	0.565
"217422_s_at"	"214049_x_at"	0.565
"217422_s_at"	"214551_s_at"	0.565
"220674_at"	"214049_x_at"	0.565
"220674_at"	"214551_s_at"	0.565
"38521_at"	"214049_x_at"	0.565
"38521_at"	"214551_s_at"	0.565
"204581_at"	"207113_s_at"	0.383
"217422_s_at"	"207113_s_at"	0.383
"220674_at"	"207113_s_at"	0.383
"38521_at"	"207113_s_at"	0.383
"204581_at"	"205049_s_at"	0.671
"217422_s_at"	"205049_s_at"	0.671
"220674_at"	"205049_s_at"	0.671
"38521_at"	"205049_s_at"	0.671
"204581_at"	"206056_x_at"	0.479
"204581_at"	"206057_x_at"	0.479
"204581_at"	"216980_s_at"	0.479
"204581_at"	"216981_x_at"	0.479
"217422_s_at"	"206056_x_at"	0.479
"217422_s_at"	"206057_x_at"	0.479
"217422_s_at"	"216980_s_at"	0.479
"217422_s_at"	"216981_x_at"	0.479
"220674_at"	"206056_x_at"	0.479
"220674_at"	"206057_x_at"	0.479
