"207384_at"	"201681_s_at"	0.075
"207384_at"	"210469_at"	0.075
"207384_at"	"202415_s_at"	0.177
"210382_at"	"207577_at"	0.479
"210382_at"	"207578_s_at"	0.479
"210382_at"	"216939_s_at"	0.479
"210382_at"	"211201_at"	0.472
"210382_at"	"200744_s_at"	0.387
"210382_at"	"200745_s_at"	0.387
"210382_at"	"200746_s_at"	0.387
"210382_at"	"220538_at"	1e-08
"210382_at"	"200852_x_at"	0.299
"210382_at"	"213245_at"	0.473
"210382_at"	"215340_at"	0.473
"210382_at"	"215348_at"	0.473
"210382_at"	"214510_at"	0.484
"204144_s_at"	"205873_at"	0.984
"204144_s_at"	"213889_at"	0.984
"203396_at"	"218481_at"	0.616
"203396_at"	"205377_s_at"	0.296
"203396_at"	"205378_s_at"	0.296
"203396_at"	"210332_at"	0.296
"203396_at"	"207535_s_at"	0.568
"203396_at"	"209636_at"	0.568
"203396_at"	"211524_at"	0.568
"203396_at"	"201114_x_at"	0.816
"203396_at"	"216088_s_at"	0.816
"203396_at"	"201568_at"	0.343
"203396_at"	"201252_at"	0.681
"203396_at"	"200967_at"	0.448
"203396_at"	"200968_s_at"	0.448
"203396_at"	"202186_x_at"	0.522
"203396_at"	"202187_s_at"	0.522
"203396_at"	"204695_at"	0.559
"203396_at"	"204696_s_at"	0.559
"203396_at"	"201011_at"	0.395
"203396_at"	"202240_at"	0.476
"203396_at"	"207113_s_at"	0.216
"203396_at"	"205205_at"	0.578
"203396_at"	"202243_s_at"	0.849
"203396_at"	"202244_at"	0.849
"203396_at"	"202024_at"	0.541
"203396_at"	"218555_at"	0.572
"203396_at"	"212219_at"	0.76
"203396_at"	"212220_at"	0.76
"203396_at"	"212222_at"	0.76
"203396_at"	"201364_s_at"	0.504
"203396_at"	"201365_at"	0.504
"203396_at"	"214062_x_at"	0.925
"203396_at"	"214448_x_at"	0.925
"200678_x_at"	"205936_s_at"	0.656
"211284_s_at"	"205936_s_at"	0.656
"216041_x_at"	"205936_s_at"	0.656
"200678_x_at"	"207163_s_at"	0.345
"211284_s_at"	"207163_s_at"	0.345
"216041_x_at"	"207163_s_at"	0.345
"200678_x_at"	"206493_at"	0.494
"200678_x_at"	"206494_s_at"	0.494
"200678_x_at"	"216956_s_at"	0.494
"200678_x_at"	"216966_at"	0.494
"211284_s_at"	"206493_at"	0.494
"211284_s_at"	"206494_s_at"	0.494
"211284_s_at"	"216956_s_at"	0.494
"211284_s_at"	"216966_at"	0.494
"216041_x_at"	"206493_at"	0.494
"216041_x_at"	"206494_s_at"	0.494
"216041_x_at"	"216956_s_at"	0.494
"216041_x_at"	"216966_at"	0.494
