"205377_s_at"	"207613_s_at"	0.454
"205377_s_at"	"213108_at"	0.454
"205378_s_at"	"207613_s_at"	0.454
"205378_s_at"	"213108_at"	0.454
"210332_at"	"207613_s_at"	0.454
"210332_at"	"213108_at"	0.454
"205377_s_at"	"220138_at"	0.39
"205378_s_at"	"220138_at"	0.39
"210332_at"	"220138_at"	0.39
"203872_at"	"200974_at"	0.744
"203872_at"	"215787_at"	0.744
"203872_at"	"200601_at"	0.394
"203872_at"	"207163_s_at"	0.325
"203872_at"	"202329_at"	0.22
"203872_at"	"208674_x_at"	0.119
"203872_at"	"208675_s_at"	0.119
"203872_at"	"200094_s_at"	0.232
"203872_at"	"204102_s_at"	0.232
"203872_at"	"201122_x_at"	0.186
"203872_at"	"201123_s_at"	0.186
"203872_at"	"213753_x_at"	0.186
"203872_at"	"201841_s_at"	0.363
"203872_at"	"210150_s_at"	0.395
"203872_at"	"200737_at"	0.385
"203872_at"	"200738_s_at"	0.385
"203872_at"	"217356_s_at"	0.385
"203872_at"	"217383_at"	0.385
"203872_at"	"211570_s_at"	0.038
"203872_at"	"201033_x_at"	0.292
"203872_at"	"208856_x_at"	0.292
"203872_at"	"211720_x_at"	0.292
"203872_at"	"211972_x_at"	0.292
"203872_at"	"214167_s_at"	0.292
"203872_at"	"200908_s_at"	0.221
"203872_at"	"217670_at"	0.221
"203872_at"	"214317_x_at"	0.308
"203872_at"	"217747_s_at"	0.308
"203872_at"	"216438_s_at"	0.378
"203872_at"	"205177_at"	0.672
"203872_at"	"206393_at"	0.787
"203872_at"	"204083_s_at"	0.623
"203872_at"	"212654_at"	0.623
"203872_at"	"206769_at"	0.385
"203872_at"	"205541_s_at"	0.247
"203872_at"	"221021_s_at"	0.331
"203872_at"	"209026_x_at"	0.131
"203872_at"	"211714_x_at"	0.131
"203872_at"	"212320_at"	0.131
"203872_at"	"214023_x_at"	0.365
"200974_at"	"200601_at"	0.354
"215787_at"	"200601_at"	0.354
"200974_at"	"208960_s_at"	0.587
"200974_at"	"208961_s_at"	0.587
"200974_at"	"211610_at"	0.587
"215787_at"	"208960_s_at"	0.587
"215787_at"	"208961_s_at"	0.587
"215787_at"	"211610_at"	0.587
"200974_at"	"200094_s_at"	0.348
"200974_at"	"204102_s_at"	0.348
"215787_at"	"200094_s_at"	0.348
"215787_at"	"204102_s_at"	0.348
"200974_at"	"201122_x_at"	0.226
"200974_at"	"201123_s_at"	0.226
"200974_at"	"213753_x_at"	0.226
"215787_at"	"201122_x_at"	0.226
"215787_at"	"201123_s_at"	0.226
"215787_at"	"213753_x_at"	0.226
"200974_at"	"201841_s_at"	0.461
"215787_at"	"201841_s_at"	0.461
"200974_at"	"200737_at"	0.371
"200974_at"	"200738_s_at"	0.371
"200974_at"	"217356_s_at"	0.371
"200974_at"	"217383_at"	0.371
"215787_at"	"200737_at"	0.371
"215787_at"	"200738_s_at"	0.371
