"205377_s_at"	"207613_s_at"	0.39
"205377_s_at"	"213108_at"	0.39
"205378_s_at"	"207613_s_at"	0.39
"205378_s_at"	"213108_at"	0.39
"210332_at"	"207613_s_at"	0.39
"210332_at"	"213108_at"	0.39
"205377_s_at"	"220138_at"	0.29175
"205378_s_at"	"220138_at"	0.29175
"210332_at"	"220138_at"	0.29175
"203872_at"	"200974_at"	0.34875
"203872_at"	"215787_at"	0.34875
"203872_at"	"200601_at"	0.42625
"203872_at"	"207163_s_at"	0.37775
"203872_at"	"202329_at"	0.295
"203872_at"	"208674_x_at"	0.272
"203872_at"	"208675_s_at"	0.272
"203872_at"	"200094_s_at"	0.39275
"203872_at"	"204102_s_at"	0.39275
"203872_at"	"201122_x_at"	0.37875
"203872_at"	"201123_s_at"	0.37875
"203872_at"	"213753_x_at"	0.37875
"203872_at"	"201841_s_at"	0.345
"203872_at"	"210150_s_at"	0.2835
"203872_at"	"201507_at"	0.14775
"203872_at"	"200737_at"	0.524
"203872_at"	"200738_s_at"	0.524
"203872_at"	"217356_s_at"	0.524
"203872_at"	"217383_at"	0.524
"203872_at"	"211570_s_at"	0.193
"203872_at"	"201033_x_at"	0.4825
"203872_at"	"208856_x_at"	0.4825
"203872_at"	"211720_x_at"	0.4825
"203872_at"	"211972_x_at"	0.4825
"203872_at"	"214167_s_at"	0.4825
"203872_at"	"200908_s_at"	0.45975
"203872_at"	"217670_at"	0.45975
"203872_at"	"214317_x_at"	0.45075
"203872_at"	"217747_s_at"	0.45075
"203872_at"	"216438_s_at"	0.45625
"203872_at"	"205177_at"	0.688
"203872_at"	"206393_at"	0.422
"203872_at"	"204083_s_at"	0.407
"203872_at"	"212654_at"	0.407
"203872_at"	"206769_at"	0.395
"203872_at"	"205541_s_at"	0.371
"203872_at"	"221021_s_at"	0.36125
"203872_at"	"209026_x_at"	0.589
"203872_at"	"211714_x_at"	0.589
"203872_at"	"212320_at"	0.589
"203872_at"	"214023_x_at"	0.6235
"200974_at"	"200601_at"	0.34875
"215787_at"	"200601_at"	0.34875
"200974_at"	"208960_s_at"	0.34875
"200974_at"	"208961_s_at"	0.34875
"200974_at"	"211610_at"	0.34875
"215787_at"	"208960_s_at"	0.34875
"215787_at"	"208961_s_at"	0.34875
"215787_at"	"211610_at"	0.34875
"200974_at"	"200094_s_at"	0.851
"200974_at"	"204102_s_at"	0.851
"215787_at"	"200094_s_at"	0.851
"215787_at"	"204102_s_at"	0.851
"200974_at"	"201122_x_at"	0.34875
"200974_at"	"201123_s_at"	0.34875
"200974_at"	"213753_x_at"	0.34875
"215787_at"	"201122_x_at"	0.34875
"215787_at"	"201123_s_at"	0.34875
"215787_at"	"213753_x_at"	0.34875
"200974_at"	"201841_s_at"	0.851
"215787_at"	"201841_s_at"	0.851
"200974_at"	"200737_at"	0.34875
"200974_at"	"200738_s_at"	0.34875
"200974_at"	"217356_s_at"	0.34875
"200974_at"	"217383_at"	0.34875
"215787_at"	"200737_at"	0.34875
"215787_at"	"200738_s_at"	0.34875
"215787_at"	"217356_s_at"	0.34875
"215787_at"	"217383_at"	0.34875
"200974_at"	"200717_x_at"	0.34875
"200974_at"	"212042_x_at"	0.34875
"215787_at"	"200717_x_at"	0.34875
"215787_at"	"212042_x_at"	0.34875
"200974_at"	"201033_x_at"	0.34875
"200974_at"	"208856_x_at"	0.34875
"200974_at"	"211720_x_at"	0.34875
"200974_at"	"211972_x_at"	0.34875
"200974_at"	"214167_s_at"	0.34875
"215787_at"	"201033_x_at"	0.34875
"215787_at"	"208856_x_at"	0.34875
"215787_at"	"211720_x_at"	0.34875
"215787_at"	"211972_x_at"	0.34875
"215787_at"	"214167_s_at"	0.34875
"200974_at"	"200908_s_at"	0.34875
"200974_at"	"217670_at"	0.34875
"215787_at"	"200908_s_at"	0.34875
"215787_at"	"217670_at"	0.34875
"200974_at"	"214317_x_at"	0.34875
"200974_at"	"217747_s_at"	0.34875
"215787_at"	"214317_x_at"	0.34875
"215787_at"	"217747_s_at"	0.34875
"200974_at"	"200926_at"	0.34875
"215787_at"	"200926_at"	0.34875
"200974_at"	"202400_s_at"	0.34875
"200974_at"	"202401_s_at"	0.34875
"215787_at"	"202400_s_at"	0.34875
"215787_at"	"202401_s_at"	0.34875
"200974_at"	"216438_s_at"	0.68175
"215787_at"	"216438_s_at"	0.68175
"200974_at"	"204083_s_at"	0.2435
"200974_at"	"212654_at"	0.2435
"215787_at"	"204083_s_at"	0.2435
"215787_at"	"212654_at"	0.2435
"200974_at"	"200074_s_at"	0.34875
"200974_at"	"213588_x_at"	0.34875
"200974_at"	"219138_at"	0.34875
"215787_at"	"200074_s_at"	0.34875
"215787_at"	"213588_x_at"	0.34875
"215787_at"	"219138_at"	0.34875
"200974_at"	"201954_at"	0.34875
"215787_at"	"201954_at"	0.34875
"200974_at"	"205541_s_at"	0.34875
"215787_at"	"205541_s_at"	0.34875
"200974_at"	"209026_x_at"	0.54325
"200974_at"	"211714_x_at"	0.54325
"200974_at"	"212320_at"	0.54325
"215787_at"	"209026_x_at"	0.54325
"215787_at"	"211714_x_at"	0.54325
"215787_at"	"212320_at"	0.54325
"200974_at"	"214023_x_at"	0.34875
"215787_at"	"214023_x_at"	0.34875
"200601_at"	"207163_s_at"	0.369
"200601_at"	"207613_s_at"	0.36425
"200601_at"	"213108_at"	0.36425
"200601_at"	"202329_at"	0.33225
"200601_at"	"201390_s_at"	0.49425
"200601_at"	"202253_s_at"	0.446
"200601_at"	"216024_at"	0.446
"200601_at"	"200094_s_at"	0.4755
"200601_at"	"204102_s_at"	0.4755
"200601_at"	"200019_s_at"	0.811
"200601_at"	"200744_s_at"	0.3765
"200601_at"	"200745_s_at"	0.3765
"200601_at"	"200746_s_at"	0.3765
"200601_at"	"200852_x_at"	0.3765
"200601_at"	"209036_s_at"	0.278
"200601_at"	"213333_at"	0.278
"200601_at"	"200600_at"	0.45325
"200601_at"	"212082_s_at"	0.2705
"200601_at"	"214002_at"	0.2705
"200601_at"	"206390_x_at"	0.38375
"200601_at"	"200737_at"	0.36375
"200601_at"	"200738_s_at"	0.36375
"200601_at"	"217356_s_at"	0.36375
"200601_at"	"217383_at"	0.36375
"200601_at"	"201140_s_at"	0.3845
"200601_at"	"201156_s_at"	0.3845
"200601_at"	"200717_x_at"	0.504
"200601_at"	"212042_x_at"	0.504
"200601_at"	"200936_at"	0.2835
"200601_at"	"212044_s_at"	0.414
"200601_at"	"200908_s_at"	0.30075
