"207372_s_at"	"202586_at"	0.557
"207372_s_at"	"211730_s_at"	0.557
"210447_at"	"203663_s_at"	0.285
"215794_x_at"	"203663_s_at"	0.285
"202473_x_at"	"218555_at"	1
"202474_s_at"	"218555_at"	1
"214062_x_at"	"202586_at"	0.465
"214062_x_at"	"211730_s_at"	0.465
"214448_x_at"	"202586_at"	0.465
"214448_x_at"	"211730_s_at"	0.465
"214062_x_at"	"202917_s_at"	0.546
"214062_x_at"	"214370_at"	0.546
"214448_x_at"	"202917_s_at"	0.546
"214448_x_at"	"214370_at"	0.546
"202586_at"	"214317_x_at"	0.461
"202586_at"	"217747_s_at"	0.461
"211730_s_at"	"214317_x_at"	0.461
"211730_s_at"	"217747_s_at"	0.461
"202586_at"	"201954_at"	0.465
"211730_s_at"	"201954_at"	0.465
"202586_at"	"218555_at"	1
"211730_s_at"	"218555_at"	1
"214317_x_at"	"203663_s_at"	0.545
"217747_s_at"	"203663_s_at"	0.545
"214317_x_at"	"201954_at"	0.662
"217747_s_at"	"201954_at"	0.662
"214317_x_at"	"205541_s_at"	0.698
"217747_s_at"	"205541_s_at"	0.698
"214317_x_at"	"218555_at"	1
"217747_s_at"	"218555_at"	1
"214317_x_at"	"222240_s_at"	0.541
"217747_s_at"	"222240_s_at"	0.541
"206634_at"	"206140_at"	1
"206634_at"	"211219_s_at"	1
"210314_x_at"	"207641_at"	0.811
"218555_at"	"218679_s_at"	1
