"204638_at"	"209235_at"	0.152
"204638_at"	"221961_at"	0.152
"204638_at"	"38069_at"	0.152
"204638_at"	"218678_at"	0.254
"204638_at"	"220428_at"	0.08
"205713_s_at"	"218678_at"	0.428
"205713_s_at"	"206022_at"	0.441
"206634_at"	"207372_s_at"	0.202
"206634_at"	"206140_at"	0.677
"206634_at"	"211219_s_at"	0.677
"207641_at"	"210314_x_at"	0.541
"212836_at"	"202586_at"	0.625
"212836_at"	"211730_s_at"	0.625
"221657_s_at"	"218555_at"	0.663
"214317_x_at"	"205541_s_at"	0.693
"217747_s_at"	"205541_s_at"	0.693
"217973_at"	"218678_at"	0.192
"207853_s_at"	"211560_s_at"	0.251
"202586_at"	"207372_s_at"	0.466
"211730_s_at"	"207372_s_at"	0.466
"218678_at"	"206022_at"	0.432
"202917_s_at"	"205237_at"	0.349
"214370_at"	"205237_at"	0.349
