"symbol1"	"symbol2"	"MF"
"ATP5G2"	"COX5A"	NA
"ENTPD2"	"POLR2L"	0.296
"FRG1"	"RPS9"	0.618
"GLUD2"	"COX5A"	0.288
"HCFC1"	"ANAPC2"	1
"NFKBIB"	"POLR2L"	0.273
"NFKBIB"	"S100A8"	0.356
"POLR2L"	"RPS9"	0.232
"POLR2L"	"ARPC1B"	0.277
"POLR2L"	"ANAPC2"	1
"POLR2L"	"YIF1B"	NA
"RPS9"	"COX5A"	0.296
"RPS9"	"ARPC1B"	0.508
"RPS9"	"GSPT2"	0.573
"RPS9"	"ANAPC2"	1
"RPS9"	"ISYNA1"	0.339
"SIX3"	"LHX2"	1
"TNFSF13"	"TNFRSF13B"	0.501
"RABAC1"	"YIF1B"	NA
"ANAPC2"	"VPS28"	1
"ANAPC2"	"PCGF6"	1
