"probe1"	"probe2"	"ont"
"200601_at"	"210231_x_at"	0.391
"200601_at"	"213048_s_at"	0.391
"200601_at"	"200665_s_at"	0.498
"200601_at"	"212667_at"	0.498
"200601_at"	"216438_s_at"	0.57
"200601_at"	"206393_at"	0.385
"200601_at"	"205693_at"	0.249
"200601_at"	"204083_s_at"	0.265
"200601_at"	"212654_at"	0.265
"200601_at"	"215624_at"	0.423
"200601_at"	"215735_s_at"	0.423
"200601_at"	"203683_s_at"	0.448
"200601_at"	"202112_at"	0.38
"200601_at"	"209830_s_at"	0.481
"200601_at"	"201954_at"	0.249
"200601_at"	"204910_s_at"	0.248
"200601_at"	"204911_s_at"	0.248
"200601_at"	"213884_s_at"	0.248
"200601_at"	"213885_at"	0.248
"200601_at"	"209026_x_at"	0.48
"200601_at"	"211714_x_at"	0.48
"200601_at"	"212320_at"	0.48
"201786_s_at"	"201693_s_at"	0.382
"201786_s_at"	"201694_s_at"	0.382
"201786_s_at"	"217502_at"	0.472
"201786_s_at"	"203275_at"	0.659
"201786_s_at"	"202621_at"	0.492
"201786_s_at"	"208436_s_at"	0.545
"201786_s_at"	"200057_s_at"	0.417
"201786_s_at"	"208698_s_at"	0.417
"201786_s_at"	"210470_x_at"	0.417
"201786_s_at"	"200063_s_at"	0.383
"201786_s_at"	"221691_x_at"	0.383
"201786_s_at"	"221923_s_at"	0.383
"201786_s_at"	"208620_at"	0.497
"201786_s_at"	"202243_s_at"	0.207
"201786_s_at"	"202244_at"	0.207
"201786_s_at"	"200010_at"	0.356
"201786_s_at"	"221798_x_at"	0.349
"201786_s_at"	"200002_at"	0.291
"213245_at"	"211201_at"	0.443
"215340_at"	"211201_at"	0.443
"215348_at"	"211201_at"	0.443
"213245_at"	"201040_at"	0.565
"213245_at"	"215996_at"	0.565
"215340_at"	"201040_at"	0.565
"215340_at"	"215996_at"	0.565
"215348_at"	"201040_at"	0.565
"215348_at"	"215996_at"	0.565
"213245_at"	"200852_x_at"	0.435
"215340_at"	"200852_x_at"	0.435
"215348_at"	"200852_x_at"	0.435
"213245_at"	"210234_at"	0.517
"215340_at"	"210234_at"	0.517
"215348_at"	"210234_at"	0.517
"213245_at"	"212983_at"	0.402
"215340_at"	"212983_at"	0.402
"215348_at"	"212983_at"	0.402
"213245_at"	"207577_at"	0.526
"213245_at"	"207578_s_at"	0.526
"213245_at"	"216939_s_at"	0.526
"215340_at"	"207577_at"	0.526
"215340_at"	"207578_s_at"	0.526
"215340_at"	"216939_s_at"	0.526
"215348_at"	"207577_at"	0.526
"215348_at"	"207578_s_at"	0.526
"215348_at"	"216939_s_at"	0.526
"213245_at"	"206001_at"	0.399
"215340_at"	"206001_at"	0.399
"215348_at"	"206001_at"	0.399
"213245_at"	"210382_at"	0.446
"215340_at"	"210382_at"	0.446
"215348_at"	"210382_at"	0.446
"213245_at"	"209201_x_at"	0.443
"213245_at"	"211919_s_at"	0.443
"213245_at"	"217028_at"	0.443
"215340_at"	"209201_x_at"	0.443
"215340_at"	"211919_s_at"	0.443
"215340_at"	"217028_at"	0.443
"215348_at"	"209201_x_at"	0.443
"215348_at"	"211919_s_at"	0.443
"215348_at"	"217028_at"	0.443
"213245_at"	"220538_at"	0.466
"215340_at"	"220538_at"	0.466
"215348_at"	"220538_at"	0.466
"207163_s_at"	"203388_at"	0.531
"207163_s_at"	"1861_at"	0.57
"207163_s_at"	"209364_at"	0.57
"207163_s_at"	"211962_s_at"	0.573
"207163_s_at"	"211965_at"	0.573
"207163_s_at"	"213277_at"	0.573
"207163_s_at"	"213284_at"	0.573
"207163_s_at"	"207613_s_at"	0.519
"207163_s_at"	"213108_at"	0.519
"207163_s_at"	"202224_at"	0.54
"207163_s_at"	"202225_at"	0.54
"207163_s_at"	"202226_s_at"	0.54
"207163_s_at"	"202329_at"	0.373
"207163_s_at"	"208674_x_at"	0.318
"207163_s_at"	"208675_s_at"	0.318
"207163_s_at"	"200094_s_at"	0.257
"207163_s_at"	"204102_s_at"	0.257
"207163_s_at"	"201693_s_at"	0.468
"207163_s_at"	"201694_s_at"	0.468
"207163_s_at"	"221539_at"	0.222
"207163_s_at"	"202580_x_at"	0.469
"207163_s_at"	"212024_x_at"	NA
"207163_s_at"	"212025_s_at"	NA
"207163_s_at"	"222065_s_at"	NA
"207163_s_at"	"207954_at"	0.504
"207163_s_at"	"209710_at"	0.504
"207163_s_at"	"210358_x_at"	0.504
"207163_s_at"	"201040_at"	0.484
"207163_s_at"	"215996_at"	0.484
"207163_s_at"	"200852_x_at"	0.286
"207163_s_at"	"201673_s_at"	0.943
"207163_s_at"	"212983_at"	0.633
"207163_s_at"	"201841_s_at"	0.595
"207163_s_at"	"202621_at"	0.461
"207163_s_at"	"206493_at"	0.16
"207163_s_at"	"206494_s_at"	0.16
"207163_s_at"	"216956_s_at"	0.16
"207163_s_at"	"216966_at"	0.16
"207163_s_at"	"204989_s_at"	0.345
"207163_s_at"	"204990_s_at"	0.345
"207163_s_at"	"211905_s_at"	0.345
"207163_s_at"	"214292_at"	0.345
"207163_s_at"	"200796_s_at"	0.446
"207163_s_at"	"200797_s_at"	0.446
"207163_s_at"	"200798_x_at"	0.446
"207163_s_at"	"214056_at"	0.446
"207163_s_at"	"214057_at"	0.446
"207163_s_at"	"203003_at"	0.348
"207163_s_at"	"203004_s_at"	0.348
"207163_s_at"	"200600_at"	0.458
"207163_s_at"	"200057_s_at"	0.378
"207163_s_at"	"208698_s_at"	0.378
"207163_s_at"	"210470_x_at"	0.378
"207163_s_at"	"200063_s_at"	0.591
"207163_s_at"	"221691_x_at"	0.591
"207163_s_at"	"221923_s_at"	0.591
"207163_s_at"	"208620_at"	0.337
"207163_s_at"	"204855_at"	1
"207163_s_at"	"202240_at"	0.519
"207163_s_at"	"202186_x_at"	0.239
"207163_s_at"	"202187_s_at"	0.239
"207163_s_at"	"201114_x_at"	0.204
"207163_s_at"	"216088_s_at"	0.204
"207163_s_at"	"202243_s_at"	0.204
"207163_s_at"	"202244_at"	0.204
"207163_s_at"	"201252_at"	0.247
"207163_s_at"	"200717_x_at"	0.284
"207163_s_at"	"212042_x_at"	0.284
"207163_s_at"	"221798_x_at"	0.301
"207163_s_at"	"214317_x_at"	0.353
"207163_s_at"	"217747_s_at"	0.353
"207163_s_at"	"202004_x_at"	0.237
"207163_s_at"	"210131_x_at"	0.237
"207163_s_at"	"215088_s_at"	0.237
"207163_s_at"	"216591_s_at"	0.237
"207163_s_at"	"212777_at"	0.578
"207163_s_at"	"212780_at"	0.578
"207163_s_at"	"202005_at"	0.282
"207163_s_at"	"216905_s_at"	0.282
"207163_s_at"	"216906_at"	0.282
"207163_s_at"	"208991_at"	0.649
"207163_s_at"	"208992_s_at"	0.649
"207163_s_at"	"203010_at"	0.492
"207163_s_at"	"204292_x_at"	0.559
"207163_s_at"	"41657_at"	0.559
"207163_s_at"	"207113_s_at"	0.675
"207163_s_at"	"204083_s_at"	0.152
"207163_s_at"	"212654_at"	0.152
"207163_s_at"	"215624_at"	0.585
"207163_s_at"	"215735_s_at"	0.585
"207163_s_at"	"203315_at"	0.544
"207163_s_at"	"217862_at"	0.447
"207163_s_at"	"217863_at"	0.447
"207163_s_at"	"217864_s_at"	0.447
"207163_s_at"	"204371_s_at"	0.368
"207163_s_at"	"204372_s_at"	0.368
"207163_s_at"	"212303_x_at"	0.368
"207163_s_at"	"216326_s_at"	0.525
"207163_s_at"	"219257_s_at"	0.574
"207163_s_at"	"201173_x_at"	0.319
"207163_s_at"	"210574_s_at"	0.319
"207163_s_at"	"210575_at"	0.319
"207163_s_at"	"218223_s_at"	NA
"207163_s_at"	"209026_x_at"	0.441
"207163_s_at"	"211714_x_at"	0.441
"207163_s_at"	"212320_at"	0.441
"211560_s_at"	"207889_at"	0.016
"211560_s_at"	"210063_at"	0.016
"211560_s_at"	"210862_s_at"	0.016
"211560_s_at"	"211322_s_at"	0.016
"211560_s_at"	"206834_at"	0.315
"211560_s_at"	"202245_at"	0.211
"211560_s_at"	"211018_at"	0.211
"211560_s_at"	"211019_s_at"	0.211
"211560_s_at"	"209036_s_at"	0.044
"211560_s_at"	"213333_at"	0.044
"211560_s_at"	"208714_at"	0.021
"211560_s_at"	"218034_at"	0.168
"204174_at"	"203416_at"	0.268
"204174_at"	"201136_at"	0.238
"204174_at"	"217728_at"	0.264
"204174_at"	"208130_s_at"	0.49
"204174_at"	"210629_x_at"	0.15
"204174_at"	"211581_x_at"	0.15
"204174_at"	"211582_x_at"	0.15
"204174_at"	"214181_x_at"	0.15
"204174_at"	"214574_x_at"	0.15
"204174_at"	"215633_x_at"	0.15
"204174_at"	"202546_at"	0.082
