"probe1"	"probe2"	"ont"
"200601_at"	"210231_x_at"	0.192
"200601_at"	"213048_s_at"	0.192
"200601_at"	"200665_s_at"	0.273
"200601_at"	"212667_at"	0.273
"200601_at"	"216438_s_at"	0.484
"200601_at"	"206393_at"	0.378
"200601_at"	"205693_at"	0.354
"200601_at"	"204083_s_at"	0.485
"200601_at"	"212654_at"	0.485
"200601_at"	"215624_at"	0.283
"200601_at"	"215735_s_at"	0.283
"200601_at"	"203683_s_at"	0.324
"200601_at"	"202112_at"	0.446
"200601_at"	"209830_s_at"	0.352
"200601_at"	"201954_at"	0.375
"200601_at"	"204910_s_at"	0.203
"200601_at"	"204911_s_at"	0.203
"200601_at"	"213884_s_at"	0.203
"200601_at"	"213885_at"	0.203
"200601_at"	"209026_x_at"	0.375
"200601_at"	"211714_x_at"	0.375
"200601_at"	"212320_at"	0.375
"201786_s_at"	"201693_s_at"	0.337
"201786_s_at"	"201694_s_at"	0.337
"201786_s_at"	"217502_at"	0.55
"201786_s_at"	"203275_at"	0.333
"201786_s_at"	"202621_at"	0.314
"201786_s_at"	"208436_s_at"	0.362
"201786_s_at"	"200057_s_at"	0.431
"201786_s_at"	"208698_s_at"	0.431
"201786_s_at"	"210470_x_at"	0.431
"201786_s_at"	"200063_s_at"	0.285
"201786_s_at"	"221691_x_at"	0.285
"201786_s_at"	"221923_s_at"	0.285
"201786_s_at"	"208620_at"	0.526
"201786_s_at"	"202243_s_at"	0.356
"201786_s_at"	"202244_at"	0.356
"201786_s_at"	"200010_at"	0.458
"201786_s_at"	"221798_x_at"	0.443
"201786_s_at"	"200002_at"	0.425
"213245_at"	"211201_at"	0
"215340_at"	"211201_at"	0
"215348_at"	"211201_at"	0
"213245_at"	"201040_at"	0.079
"213245_at"	"215996_at"	0.079
"215340_at"	"201040_at"	0.079
"215340_at"	"215996_at"	0.079
"215348_at"	"201040_at"	0.079
"215348_at"	"215996_at"	0.079
"213245_at"	"200852_x_at"	0.092
"215340_at"	"200852_x_at"	0.092
"215348_at"	"200852_x_at"	0.092
"213245_at"	"210234_at"	0
"215340_at"	"210234_at"	0
"215348_at"	"210234_at"	0
"213245_at"	"212983_at"	0.079
"215340_at"	"212983_at"	0.079
"215348_at"	"212983_at"	0.079
"213245_at"	"207577_at"	0
"213245_at"	"207578_s_at"	0
"213245_at"	"216939_s_at"	0
"215340_at"	"207577_at"	0
"215340_at"	"207578_s_at"	0
"215340_at"	"216939_s_at"	0
"215348_at"	"207577_at"	0
