"id"
"5-HT3C2"
"A3GALT2"
"ABCA7"
"ABHD9"
"ACAD9"
"ACCN4"
"ACHE"
"ACP5"
"ACTA1"
"ACTA2"
"ACTN4"
"ADAM15"
"ADAMTS13"
"ADAMTS4"
"ADAMTSL2"
"ADAR"
"ADCY1"
"ADFP"
"ADM2"
"ADRBK1"
"AFAR3"
"AGPAT1"
"AKT1"
"ALAS2"
"ALDOAP2"
"ALKBH7"
"ALOX5AP"
"ALX4"
"AMBP"
"AMDHD2"
"ANAPC2"
"ANKRD44"
"ANP32E"
"ANXA11"
"ANXA5"
"AP2A1"
"APEX2"
"APLP1"
"APOB48R"
"APOL1"
"APOL3"
"AQP7"
"ARF1"
"ARFRP1"
"ARHGAP17"
"ARHGAP9"
"ARHGEF16"
"ARL16"
"ARPC1B"
"ARPC4"
"ARPC5"
"ARPP-19"
"ARR3"
"ARRB2"
"ASB2"
"ASIP"
"ASL"
"ASNA1"
"ATP5G1"
"ATP5G2"
"ATP6AP1"
"ATP6V1F"
"ATP8"
"ATXN7L2"
"ATXN7L3"
"AZGP1"
"AZI1"
"B3GAT3"
"B3GNT7"
"BAD"
"BAGE2"
"BAGE3"
"BAI1"
"BAI2"
"BAIAP2L2"
"BARHL1"
"BAT2"
"BAT5"
"BATF"
"BAZ1B"
"BBC3"
"BC37295_3"
"BCL3"
"BCL7C"
"BCL9L"
"BET1L"
"BID"
"BIN2"
"BLES03"
"BLOC1S3"
"BRI3"
"BRLZ"
"BRSK1"
"BST2"
"C10ORF37"
"C10ORF61"
"C11ORF10"
"C11ORF3"
"C11ORF35"
"C11ORF36"
"C11ORF9"
"C12ORF25"
"C14ORF120"
"C14ORF122"
"C14ORF150"
"C14ORF166"
"C14ORF173"
"C14ORF2"
"C14ORF80"
"C14ORF83"
"C15ORF21"
"C16ORF24"
"C16ORF50"
"C16ORF58"
"C16ORF59"
"C17ORF45"
"C17ORF59"
"C17ORF63"
"C17ORF65"
"C17ORF77"
"C19ORF20"
"C19ORF21"
"C1ORF117"
"C1ORF33"
"C1ORF78"
"C1QL4"
"C1QTNF4"
"C20ORF114"
"C20ORF120"
"C20ORF144"
"C20ORF18"
"C20ORF29"
"C20ORF3"
"C20ORF96"
"C21ORF100"
"C21ORF111"
"C21ORF84"
"C21ORF90"
"C21ORF96"
"C22ORF13"
"C22ORF25"
"C2ORF21"
"C3ORF1"
"C6ORF160"
"C6ORF165"
"C7ORF13"
"C7ORF20"
"C7ORF21"
"C8G"
"C8ORF47"
"C9ORF19"
"C9ORF50"
"C9ORF7"
"C9ORF86"
