"symbol1" "symbol2" "BP"
"ACP5" "CLCN7" 0
"ACP5" "NES" 0.146
"ACP5" "CD207" 0.015
"COMP" "NES" 0.338
"COMP" "NDP" 0.484
"HRK" "BBC3" 0.758
"SIX3" "ENTPD2" 0.337
"SIX3" "LHX2" 0.799
"TNFRSF13B" "TNFSF13" 0.625
"PRKCG" "ADRBK1" NA
"POLD3" "POLR2L" 0.46
"ASB6" "ANAPC2" 0.264
"ANXA5" "BBC3" 0.456
"RPS9" "GSPT2" 0.658
"DCXR" "NES" 0.074
"SNCB" "ALAS2" 0.257
"ADRBK1" "GIT1" NA
"ANAPC2" "PCGF6" 0.145
"COX5A" "ATP5G2" NA
"POLR2L" "ENTPD2" 0.498
"LCE3B" "S100A8" 0.331
"NES" "NDP" 0.48
"S100A8" "FCN1" 0.443
"TLX1" "LHX2" NA
"LHX2" "CRB2" 0.518
