"AKT1"	"GYS1"	"UGP2"
"HRAS"	"STAT3"	"HCK"	"STAT5A"
"RPL4"	"RPL27A"	"RPL37"	"RPLP2"	"RPL37A"	"RPL8"	"RPL18"	"RPL15"	"RPL41"	"RPL32"	"RPL35"	"RPS2"	"RPL14"	"RPS23"	"RPL13A"	"RPS9"	"RPS21"	"RPL7"	"RPLP0"	"RPL10"	"RPL30"	"GSPT2"	"RPL11"	"MRPS12"	"EEF2"	"MRPL16"	"EIF4A2"	"RPN1"	"SMG6"	"EEF1G"	"DDOST"	"SEC61A1"
"TNF"	"SERPINB5"	"IL13"
"GNB1"	"OR4C46"	"OR1M1"	"ARRB2"
"PLK1"	"MYT1"	"PKMYT1"	"DUSP23"
"HDAC3"	"HIST1H2AA"	"MTA2"	"HIST1H2AC"	"SAP30"	"SUDS3"	"SIN3B"	"HINT1"
"ACTA1"	"TNNI2"	"TNNT3"	"TNNI1"	"MYL6"	"TPM2"	"TNNT2"	"MYL3"	"MYL2"	"TCAP"
"GNB2"	"GNAI2"	"CORT"	"GRM4"	"NPW"	"NPY"	"ADCY1"	"CXCR4"	"PF4"
"SH3GL1"	"NDP"	"ZBTB32"	"COMP"
"POLR2L"	"GTF2F1"	"GTF2H4"	"XAB2"	"PCBP1"	"SF3A2"	"LSM2"	"LSM7"	"CPSF1"	"PCBP2"	"PQBP1"	"CTNNBL1"
"DNM2"	"IGF2R"	"ARPC5"	"ARPC4"	"AP2A1"	"RAB5B"	"RAB5C"	"SYT8"	"VAMP8"	"TGOLN2"
"HLA-DQA2"	"HLA-DRB1"	"HLA-DRA"	"IFI30"	"HLA-G"	"IRF2"	"TRIM22"	"IRF7"	"IRF3"	"IFITM1"
"SP1"	"NFKB2"
"DYNC1H1"	"TUBB"	"PCNT"	"DYNC1LI1"	"TUBGCP2"	"KIFC1"	"TUBB2B"
"SOS1"	"VAV1"	"LAT"	"CRK"	"PIK3R5"
"FGF8"	"LHX2"	"SIX3"	"GBX2"	"PAX8"
"NDUFV1"	"NDUFB11"	"NDUFB7"	"NDUFB10"	"NDUFA3"	"NDUFS7"	"ACAD9"
"VWF"	"CD68"	"CD79A"	"CD7"	"SPN"
"SPI1"	"GATA2"	"CEBPA"	"TAL1"
"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"PSME4"	"NFKBIB"
"UBE2R2"	"HECTD3"	"RNF130"	"ASB2"	"MIB2"	"DTX3L"	"UBE2V1"	"ANAPC2"	"SOCS1"
"PPP3CC"	"PPP1R1B"
"ANXA5"	"MCL1"	"BBC3"
"GGT1"	"CNDP2"	"GSS"	"GCLM"
"RHOG"	"OBSCN"	"RHOBTB1"	"RHOT2"	"FGD3"	"ARHGAP17"
"P2RY11"	"UTS2R"	"PLCB3"	"PLCB2"	"PROK2"
"CAB39"	"LRG1"
"FOXM1"	"NKX6-2"
"CAMK2A"	"DLGAP1"	"SYNGAP1"
"EGR1"	"DAXX"
"COX5A"	"COX7C"	"UQCRC2"	"UQCRQ"	"SDHC"	"MDH2"
"TH"	"PNMT"	"COMT"	"DBH"
"NPM1"	"NPM3"
"IL7R"	"CTF1"	"IL6R"	"CNTFR"
"STK11"	"WDTC1"
"WNT11"	"VANGL1"
"POM121"	"NUP210"	"THOC2"	"THOC6"
"CACNA1A"	"CACNA1H"
"KRTAP6-3"	"KRTAP11-1"	"KRTAP23-1"	"KRTAP6-2"	"KRTAP19-6"
"KHSRP"	"EXOSC3"	"EXOSC5"	"EXOSC7"	"MPHOSPH6"
"HBE1"	"HBD"	"HBQ1"	"HBZ"
"RIPK1"	"NTAN1"
"HTR4"	"SCTR"	"GPR20"	"ADM2"	"FSHR"
"KLC2"	"KIF1A"
"AMBP"	"TYRO3"
"MSN"	"SLC9A3R2"
"PRMT5"	"PRMT8"
"MRPL21"	"MRPL17"	"MRPS24"	"MRPL52"
"GABRD"	"KCNK3"
"KCNE1"	"KCNIP2"
"VTN"	"C8G"
"FCN1"	"CFP"
"ECHS1"	"IDH2"
"TCF7"	"BCL9L"
"WNT10B"	"WNT3"
"SRF"	"FOXK1"	"HCFC1"
"BST2"	"ADAR"	"IFIT2"
"CDC25A"	"CKS1B"
"BID"	"BAD"
"SPARC"	"VEGFB"
"CD22"	"TNFRSF13B"
"S100A8"	"S100A12"
"UNG"	"APEX2"
"EPHB3"	"NCK2"
"EIF4EBP1"	"EIF4G3"
"TAF1C"	"BAZ1B"	"MYBBP1A"
"CSNK2B"	"STK24"
"ANP32E"	"ZNHIT1"
"EXT2"	"CHPF"	"B3GAT3"
"PEPD"	"HARS2"
