"AKT1"	"ACTA2"	"RHOG"	"DNM2"	"RHOBTB1"	"ACTA1"
"FAU"	"RPL4"	"RPL30"	"RPL27A"	"RPS23"	"RPL37A"	"RPLP0"	"RPL8"	"RPL18"	"RPL37"	"RPL32"	"RPL35"	"RPL13A"	"RPL41"	"RPS21"	"RPL7"	"RPL15"	"RPL14"	"MRPS12"	"RPL10"	"RPS9"	"RPL11"	"RPS2"	"MRPL16"	"RPLP2"	"EEF2"	"GSPT2"	"RPL36AL"	"EIF4A2"	"EIF5A"	"RPN1"	"EXOSC7"	"EXOSC3"	"MPHOSPH6"
"TNF"	"IL13"	"STAT3"	"STAT4"	"STAT5A"
"PLK1"	"ANAPC2"	"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"CDC25A"
"HRAS"	"WDTC1"	"GP9"	"ITGA2B"	"VWF"
"GNAI2"	"DIRAS2"
"EGR1"	"LHX2"
"HDAC3"	"MTA2"	"MTA1"	"HIST1H2AA"	"HIST1H2AC"	"PRMT5"
"TGOLN2"	"SH3GL1"	"VAMP8"
"SP1"	"SRF"	"MYOG"	"MEF2D"	"NFATC4"
"GNB1"	"GNB2"	"ADM2"
"XAB2"	"SF3A2"	"LSM7"	"LSM2"	"PCBP1"	"PCBP2"	"CPSF1"	"CTNNBL1"	"PQBP1"	"GTF2F1"
"SPI1"	"ZFPM1"	"GATA2"	"TAL1"
"IRF3"	"IRF7"	"IRF2"	"IFITM1"	"TRIM22"	"IFIT2"	"BST2"
"PPP3CC"	"PLCB3"	"PLCB2"
"RAB5C"	"ARF1"	"RAB5B"	"RAB11B"
"DYNC1H1"	"DNAH11"	"KIF25"	"KIFC1"	"KIF1A"
"UBE2R2"	"MIB2"	"HECTD3"	"ASB2"	"UBE2V1"	"RNF130"	"DTX3L"
"COX5A"	"COX7C"	"UQCRQ"	"NDUFB7"	"NDUFB10"	"NDUFV1"	"NDUFA3"	"NDUFS7"	"SDHC"
"HCK"	"ILKAP"	"CSK"
"SOS1"	"VAV1"	"LAT"
"AMBP"	"PCNT"	"ZBTB32"
"TH"	"PAH"	"CYGB"
"MYL2"	"TNNI1"	"TNNT2"	"TNNT3"	"TNNI2"	"TPM2"	"MYL3"
"CXCR4"	"CD63"
"FOXM1"	"NKX6-2"
"INCENP"	"RANGAP1"	"NUDC"	"PPP2R5A"
"PF4"	"NPW"
"TUBB"	"INVS"
"HLA-DRA"	"HLA-DMA"	"HLA-DRB1"
"IGF2R"	"TSSC4"
"MCL1"	"HRK"	"BBC3"
"NPM1"	"SURF4"
"TXNRD2"	"TXN2"
"P2RY11"	"GPR20"	"HTR4"	"SCTR"	"FSHR"
"GGT1"	"CNDP2"	"PEPD"
"AP2A1"	"EPN3"
"OBSCN"	"CABP2"
"NPY"	"ASIP"
"IL7R"	"SLAMF1"
"HBD"	"HBQ1"	"HBE1"	"HBZ"
"COMP"	"NES"
"KCNE1"	"KCNIP2"
"CRK"	"NCK2"
"STK11"	"CAB39"	"BRSK1"
"RIPK1"	"SQSTM1"
"POLR2L"	"POLR2J2"
"PPIB"	"CRTAP"
"CACNA1A"	"CACNA2D4"	"CACNA1H"
"WNT11"	"WNT3"	"WNT10B"
"NFKB2"	"RELB"	"NFKBIB"
"KHSRP"	"GEMIN7"	"GEMIN4"	"POM121"
"MRPL52"	"MRPL21"	"MRPS24"	"MRPL17"
"CSNK2B"	"PLEKHO1"
"TBX5"	"IRX4"
"GTF2H4"	"DDX11"
"LRG1"	"EEF1G"
"ARPC5"	"ARPC1B"	"ARPC4"
"ECHS1"	"DDA1"
"IL6R"	"CNTFR"
"SEC61A1"	"OS9"
"CFP"	"ADAMTS4"	"ADAMTSL2"	"ADAMTS13"
"S100A8"	"S100A12"
"RTN4R"	"DIRAS3"
"CEBPA"	"BATF"	"DBP"
"NR5A1"	"TCF7"
"MYBBP1A"	"PPAN"
"FOXK1"	"KLF16"
"SIN3B"	"SAP30"	"SUDS3"
"EIF4EBP1"	"LRRC20"
"DDOST"	"ORMDL3"
"PGK1"	"GLUD2"
"VPS28"	"CYHR1"
"RHPN1"	"USP2"
"PFDN2"	"ODF3"
"LY6H"	"LY6E"
"CDA"	"TIMM8A"
"B3GAT3"	"EXT2"	"CHPF"
