"RPL4"	"RPS23"	"FAU"	"RPL30"	"RPL27A"	"RPL37A"	"RPLP0"	"RPL15"	"RPL14"	"RPS21"	"RPL36AL"	"RPS2"	"RPL7"	"RPL10"	"RPS9"	"RPL11"	"EEF2"	"RPL35"	"RPL13A"	"RPL8"	"RPL18"	"RPL32"	"RPL37"	"RPL41"	"RPLP2"	"MRPS12"	"EIF5A"	"PCBP1"	"MRPL16"	"RPN1"	"MRPL17"	"PPIB"	"HARS2"	"EIF4A2"	"GSPT2"	"PCBP2"	"PPAN"	"FTSJ3"	"ARF1"	"NPM1"	"PSMA7"	"PSMA4"	"PSMC4"	"CKS1B"	"XAB2"	"PSMB4"	"NONO"	"CPSF1"	"CSNK2B"	"SURF4"	"DDOST"	"TUBB"	"LSM2"	"TRAPPC5"	"PYCR2"	"GNB1"	"THOC2"	"EXOSC7"	"MYBBP1A"	"EXOSC3"	"SET"	"ANAPC2"	"GNB2"
"NUDC"	"INCENP"	"CENPH"	"RANGAP1"	"PLK1"	"RRM2"	"POLD3"	"DNAJC9"	"DDX11"
"HDAC3"	"PHC1"	"MTA1"	"KLHDC3"	"MTA2"	"SAP30"	"SIN3B"	"SUDS3"
"AKT1"	"PLEKHO1"
"STAT3"	"DIRAS3"
"CRK"	"GP9"	"ITGA2B"	"VWF"	"CSK"	"SOS1"	"NCK2"
"NDUFB10"	"TXN2"	"ECHS1"	"CLPP"	"ASNA1"	"HINT1"	"UQCRC2"	"NIPSNAP1"
"MSN"	"CD63"	"IGF2R"	"LAMP1"
"MUS81"	"GEMIN4"	"PRMT5"	"GEMIN7"
"DYNC1H1"	"PCNT"	"DYNC1LI1"	"CSNK1E"	"TUBGCP2"
"RAB5C"	"RAB5B"	"RAB11B"	"RABAC1"	"AP2A1"
"COX5A"	"NDUFB11"	"NDUFS7"	"NDUFA3"	"NDUFB7"	"NDUFV1"
"SP1"	"EGR1"	"SRF"	"MYOG"	"TFAP4"	"MEF2D"
"GABARAP"	"FIS1"	"PDCL3"	"ARPC5"
"ACTN4"	"TPM2"	"TNNI2"	"TNNT3"	"TNNI1"	"MYL2"	"TCAP"	"MYL3"	"ACTA1"
"ARHGAP17"	"VPS28"
"HCK"	"ILKAP"	"LIMK2"	"PIM2"
"POLR2L"	"POLR2J2"
"SEC61A1"	"OS9"
"IRF2"	"IRF3"	"IRF7"	"IFIT2"	"ADAR"	"GTF2F1"
"HRAS"	"GNAI2"	"RGS14"
"SH3GL1"	"SH3GLB2"	"UBE2R2"	"CRTAP"
"FRG1"	"MPHOSPH6"	"DNM2"	"EXOSC5"
"CXCR4"	"ARR3"	"ARRB2"
"ARPC1B"	"ARPC4"
"MDH2"	"PDAP1"	"RBM10"
"CD79A"	"FATE1"	"PRRG2"
"PGK1"	"DDA1"	"WDTC1"	"TRPC4AP"
"RHOG"	"RHOT2"	"RHOBTB1"	"ARHGEF16"	"ARHGAP9"
"HLA-DRB1"	"HLA-DMA"	"HLA-DRA"
"SPI1"	"GATA2"	"ZFPM1"	"CEBPA"	"STAT5A"
"HSPB1"	"ACTA2"
"GIT1"	"CAMK2A"	"PIP5K1C"	"PPFIA3"
"RIPK1"	"BID"	"SQSTM1"
"PAF1"	"PFDN2"	"ZNHIT1"
"ZNF598"	"EIF4G3"
"STK11"	"CAB39"	"BRSK1"
"NFKB2"	"RELB"	"BCL3"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"GTF2H4"	"ZBED1"	"LRRC20"
"PIAS1"	"NR5A1"
"TNFRSF13B"	"TNFSF13"	"TRAF5"
"TSC2"	"KLC2"
"BAD"	"HRK"	"MCL1"	"BBC3"
"TIMM8A"	"CHCHD4"	"JOSD1"
"PRMT8"	"DPH5"
"SPARC"	"TMSB4X"	"VEGFB"	"PF4"
"PLCB3"	"PROK2"	"FFAR2"	"RGS2"
"SPN"	"CD53"	"ALOX5AP"
"USP22"	"ATXN7L3"
"TUBB2B"	"TBCA"
"NFKBIB"	"CCDC28A"
"VAMP8"	"BET1L"
"UGP2"	"GYS1"
"SDHC"	"DHRS7B"
"FSHR"	"SCTR"	"HTR4"	"ADM2"
"CDC25A"	"FOXM1"	"TACC3"
"PLP2"	"PLAUR"
"UBL5"	"SH3BP1"
"PPP3CC"	"BIN2"
"MSX1"	"LHX2"	"SIX3"
"GSS"	"GSTM1"	"GGT1"
"MRPL52"	"MRPS24"	"MRPL21"
"CACNA1A"	"CACNA2D4"
"WDR6"	"HIPK4"
"WNT3"	"WNT10B"	"WNT11"
"NQO2"	"IL32"
"S100A8"	"S100A12"
