"PSMA4"	"RRM2"	"PSMB4"	"PSMA7"	"CDC25A"	"NUDC"	"PSMC4"	"PCBP1"	"RPL11"	"POLR2L"	"RPL4"	"RPLP0"	"RPS9"	"RPS2"	"RPL35"	"MARS"	"RPL7"	"PCBP2"	"MYBBP1A"	"EEF2"	"RPLP2"	"EIF5A"	"RPL13A"	"RPL14"	"RPS23"	"RPL18"	"RPL10"	"RPL30"	"PPIB"	"RPL15"	"RPL27A"	"RPL8"	"RPL36AL"	"RPL32"	"NPM1"	"PRMT5"	"RPN1"	"RPL37A"	"CSNK2B"	"NONO"	"SET"	"FTSJ3"	"HARS2"	"TUBB"	"DDOST"	"EIF4A2"	"RPL37"	"PPAN"	"CPSF1"	"MUS81"	"TIMM13"	"CKS1B"	"ARF1"	"SEC61A1"	"LSM2"	"GSPT2"	"EXOSC3"	"XAB2"	"EXOSC5"	"EXOSC7"	"TRAPPC5"	"PYCR2"	"PGK1"	"POLR2J2"	"DNAJC9"	"GNB1"	"GNB2"
"HDAC3"	"AKT1"	"STAT3"	"IRF3"	"EGR1"	"GATA2"	"SPI1"	"STAT5A"
"NDUFV1"	"NIPSNAP1"	"UQCRC2"	"CLPP"	"MDH2"	"COX5A"	"NDUFB10"	"NDUFB11"	"NDUFB7"	"MRPL17"	"UQCRQ"	"MRPS24"	"COX7C"	"MRPS12"	"NDUFA3"	"SDHC"	"COX7A2L"	"TIMM8A"	"NDUFS7"	"MRPL16"	"IDH2"	"ECHS1"	"CHCHD2"
"PLK1"	"FOXM1"	"FANCG"	"KIFC1"	"TACC3"	"INCENP"	"DDX11"
"ARHGAP17"	"ARHGEF16"	"RHOBTB1"	"RHOT2"	"RHOG"	"SOS1"	"ARHGAP9"	"FGD3"
"CRK"	"HSPBP1"	"ASNA1"
"RAB5C"	"SERINC2"	"RAB5B"	"LAMP1"	"DYRK1B"	"RAB11B"
"ACTN4"	"TRIM3"
"MSN"	"HCK"	"ARPC1B"	"ARPC5"	"GNAI2"
"MTA1"	"SUDS3"	"SIN3B"	"SAP30"	"HCFC1"	"MTA2"	"RCOR2"
"DYNC1H1"	"CSK"	"ARRB2"	"FLII"
"HLA-DRB1"	"HLA-DRA"	"HLA-DMA"	"HLA-G"	"HLA-DQA2"
"SP1"	"MYOG"	"MEF2D"	"TFAP4"	"SRF"
"GABARAP"	"UBE2R2"	"SH3GL1"	"SH3GLB2"	"ANAPC2"
"HRAS"	"FRS3"
"SURF4"	"YIF1B"	"ORMDL3"
"GTF2H4"	"GTF2F1"	"PAF1"	"SF3A2"	"FRG1"	"CTNNBL1"
"ACTA1"	"ACTA2"	"HSPB1"	"TMSB4X"
"NFKB2"	"NFKBIB"	"TSC22D3"	"RIPK1"
"TPM2"	"TNNI1"	"TNNT3"	"TNNI2"	"MYL3"	"TCAP"	"MYL2"
"PIAS1"	"NR5A1"	"WAC"
"CXCR4"	"ADCY1"	"GRM4"	"NPY"	"NPW"
"HINT1"	"TBCA"	"UBL5"	"LSM7"
"STK11"	"TSC2"
"CAMK2A"	"SYNGAP1"
"IGF2R"	"VAMP8"	"TGOLN2"
"CD79A"	"TNFRSF13B"	"CD22"
"BAD"	"HRK"	"MCL1"	"BID"	"BBC3"
"RELB"	"KPNA6"	"USP11"
"IRF7"	"ADAR"	"IFIT2"	"IRF2"
"VWF"	"SPARC"	"PF4"	"VEGFB"
"TUBB2B"	"PDCL3"	"PPP3CC"
"USP22"	"BAZ1B"
"POR"	"LSS"	"AGPAT1"
"ALOX5AP"	"PLP2"	"TBXAS1"
"PLCB3"	"PLCB2"	"PIP5K1C"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"RANGAP1"	"DYNC1LI1"
"CSNK1E"	"KLHDC3"
"P2RY11"	"PRMT8"	"DPH5"
"PIM2"	"SOCS1"	"EIF4EBP1"
"ILKAP"	"LIMK2"
"GEMIN4"	"PIAS3"
"VPS28"	"MYL6"	"FAU"
"DNM2"	"AP2A1"
"CNDP2"	"SCLY"
"UGP2"	"CAB39"
"RGS2"	"UTS2R"	"FFAR2"
"OR5A2"	"OR4C46"	"OR1M1"	"OR6N1"
"GSS"	"GGT1"	"GSTM1"
"SMARCD3"	"TBX5"	"ALX4"
"TUBGCP2"	"PCNT"
"ATP6V1F"	"GLUD2"
"ITGA2B"	"ITGB4"
"SPN"	"CD7"
"TXN2"	"ALKBH7"
"SCTR"	"HTR4"	"FSHR"
"CEBPA"	"DBP"	"BATF"
"S100A8"	"S100A12"
"UNG"	"APEX2"
"RABAC1"	"SNX15"
"PCGF6"	"PHC1"
"NCK2"	"TNK2"
"POLD3"	"CENPH"
"ALAS2"	"SARDH"
"CACNA1A"	"PRKCG"
"DDA1"	"WDTC1"
"POU3F4"	"POU3F1"	"SIX3"
"DBH"	"COMT"	"PNMT"
