"RPL4"	"RRM2"	"RPS9"	"RPS2"	"PCBP2"	"RPL7"	"RPLP0"	"RPLP2"	"RPL11"	"PCBP1"	"EEF2"	"RPL14"	"RPL30"	"RPL35"	"RPL18"	"RPL13A"	"RPS23"	"RPL8"	"NPM1"	"RPL15"	"RPL10"	"RPL27A"	"RPL32"	"RPL36AL"	"EIF5A"	"PSMC4"	"MARS"	"PSMA4"	"MYBBP1A"	"PSMA7"	"RPL37A"	"PSMB4"	"RPN1"	"PPIB"	"POLR2L"	"CSNK2B"	"PRMT5"	"DDOST"	"NONO"	"SEC61A1"	"RPL37"	"ARF1"	"SET"	"FTSJ3"	"TUBB"	"PGK1"	"GNB1"	"HARS2"	"PPAN"	"DNAJC9"	"LSM2"	"CKS1B"	"CPSF1"	"NUDC"	"XAB2"	"TIMM13"	"EXOSC3"
"NDUFV1"	"NIPSNAP1"	"UQCRC2"	"COX5A"	"NDUFB10"	"CLPP"	"NDUFB11"	"NDUFB7"	"MRPL17"	"MRPS24"	"UQCRQ"	"MDH2"	"MRPS12"	"COX7C"	"SDHC"	"NDUFA3"	"COX7A2L"	"TIMM8A"	"NDUFS7"	"IDH2"	"ECHS1"	"MRPL16"	"CHCHD2"
"HDAC3"	"AKT1"	"STAT3"	"IRF3"	"EGR1"	"GATA2"	"SPI1"	"STAT5A"
"PLK1"	"FOXM1"	"CDC25A"	"CSNK1E"	"FANCG"
"MUS81"	"SIN3B"	"SMARCD3"	"USP22"	"BAZ1B"
"GNB2"	"RAB5C"	"VPS28"	"MYL6"	"RAB11B"	"SURF4"
"CRK"	"HSPBP1"	"ASNA1"
"CSK"	"SOS1"	"NCK2"	"ARHGAP17"	"RHOG"	"RHOBTB1"	"ARHGEF16"	"RHOT2"
"DYNC1H1"	"KIFC1"	"TUBGCP2"	"PCNT"	"TUBB2B"	"DYNC1LI1"
"HRAS"	"FRS3"
"HLA-DRB1"	"HLA-DRA"	"HLA-DMA"	"HLA-DQA2"	"HLA-G"
"ACTN4"	"TRIM3"
"MTA1"	"SUDS3"	"SAP30"	"HCFC1"	"MTA2"	"RCOR2"
"SP1"	"MYOG"	"MEF2D"	"TFAP4"
"GSPT2"	"UBE2R2"	"SH3GL1"	"SH3GLB2"	"GABARAP"
"MSN"	"IGF2R"	"CD63"	"LAMP1"	"VAMP8"
"HCK"	"GNAI2"	"ARPC1B"	"ARPC5"
"GTF2H4"	"POLR2J2"	"GTF2F1"	"PAF1"	"ZBED1"
"TNNI1"	"TNNT3"	"TCAP"	"MYL3"	"TNNI2"	"TPM2"	"MYL2"
"EIF4A2"	"EIF4G3"	"KPNA6"
"RAB5B"	"RABAC1"	"SERINC2"	"SNX15"
"ADCY1"	"GRM4"	"CXCR4"	"NPW"	"NPY"
"NFKB2"	"NFKBIB"	"TSC22D3"	"RIPK1"
"PIAS1"	"NR5A1"	"WAC"
"EXOSC5"	"EXOSC7"	"MPHOSPH6"	"KHSRP"
"HINT1"	"ATP6V1F"
"VWF"	"VEGFB"	"SPARC"	"PF4"	"TMSB4X"
"CAMK2A"	"SYNGAP1"
"CD79A"	"TNFRSF13B"	"CD22"
"BAD"	"HRK"	"MCL1"	"BID"	"BBC3"
"IRF7"	"IRF2"	"ADAR"	"IFIT2"	"IFI30"
"ANAPC2"	"PHC1"	"PCGF6"
"DDX11"	"INCENP"	"POLD3"	"CENPH"
"ILKAP"	"STK11"	"LIMK2"
"ALOX5AP"	"PLP2"	"TBXAS1"
"HSPB1"	"ACTA2"	"ACTA1"
"AP2A1"	"ARRB2"
"FRG1"	"SF3A2"	"CTNNBL1"
"GEMIN4"	"PIAS3"
"RELB"	"USP11"	"DYRK1B"
"UGP2"	"CAB39"
"GSS"	"CNDP2"	"GCLM"
"PRMT8"	"DPH5"
"OR5A2"	"OR4C46"	"OR1M1"	"OR6N1"
"HBE1"	"HBD"	"HBZ"	"HBQ1"
"LSS"	"AGPAT1"
"PIP5K1C"	"PLCB2"	"PLCB3"
"PPP3CC"	"PPP1R1B"
"POR"	"SLC39A7"
"TSC2"	"TMEM115"
"PIM2"	"SOCS1"	"EIF4EBP1"
"SPN"	"SIGLEC1"
"ITGA2B"	"ITGB4"
"TBCA"	"UBL5"
"CEBPA"	"DBP"	"BATF"
"S100A8"	"S100A12"
"HTR4"	"FSHR"	"SCTR"
"TXN2"	"ALKBH7"
"COMT"	"RGS2"
"ALAS2"	"SARDH"
"DDA1"	"WDTC1"
"FOXH1"	"ALX4"	"DRAP1"	"TBX5"
"POU3F4"	"POU3F1"	"SIX3"
