topology,subject,measure,ontology,edge,node,cluster,time
string,mets,Resnik,MF,22,29,1,0.01423 
string,mets,Resnik,BP,21,28,1,0.00397 
string,mets,Resnik,CC,19,26,1,0.00355 
string,mets,Lin,MF,22,29,1,0.00328 
string,mets,Lin,BP,21,28,1,0.00331 
string,mets,Lin,CC,19,26,1,0.0042 
string,mets,Rel,MF,22,29,1,0.0039 
string,mets,Rel,BP,21,28,1,0.00408 
string,mets,Rel,CC,19,26,1,0.0039 
string,mets,Jiang,MF,22,29,1,0.00462 
string,mets,Jiang,BP,21,28,1,0.00364 
string,mets,Jiang,CC,19,26,1,0.00324 
string,mets,Wang,MF,22,29,1,0.0034 
string,mets,Wang,BP,21,28,1,0.00374 
string,mets,Wang,CC,19,26,1,0.0034 
string,t2d,Resnik,MF,93,93,7,0.01531 
string,t2d,Resnik,BP,91,92,6,0.01718 
string,t2d,Resnik,CC,95,95,8,0.01539 
string,t2d,Lin,MF,93,93,9,0.01858 
string,t2d,Lin,BP,91,92,8,0.0204 
string,t2d,Lin,CC,95,95,9,0.01704 
string,t2d,Rel,MF,93,93,8,0.01761 
string,t2d,Rel,BP,91,92,8,0.01821 
string,t2d,Rel,CC,95,95,11,0.02201 
string,t2d,Jiang,MF,93,93,9,0.02155 
string,t2d,Jiang,BP,91,92,8,0.01733 
string,t2d,Jiang,CC,95,95,12,0.02466 
string,t2d,Wang,MF,93,93,9,0.02453 
string,t2d,Wang,BP,92,93,7,0.01524 
string,t2d,Wang,CC,96,97,13,0.04718 
string,cad,Resnik,MF,3482,711,204,5.46589 
string,cad,Resnik,BP,3382,694,227,5.20463 
string,cad,Resnik,CC,3462,713,215,5.24714 
string,cad,Lin,MF,3482,711,275,5.77589 
string,cad,Lin,BP,3382,694,240,5.23025 
string,cad,Lin,CC,3462,713,226,5.2532 
string,cad,Rel,MF,3482,711,258,5.82964 
string,cad,Rel,BP,3382,694,235,5.04644 
string,cad,Rel,CC,3462,713,253,5.24607 
string,cad,Jiang,MF,3482,711,246,5.46855 
string,cad,Jiang,BP,3382,694,230,4.99791 
string,cad,Jiang,CC,3462,713,227,5.27348 
string,cad,Wang,MF,3492,716,235,5.19589 
string,cad,Wang,BP,3446,700,226,5.24154 
string,cad,Wang,CC,3522,717,245,5.62929 
inet,mets,Resnik,MF,18,19,1,0.00348 
inet,mets,Resnik,BP,19,20,1,0.00333 
inet,mets,Resnik,CC,19,19,1,0.00353 
inet,mets,Lin,MF,18,19,1,0.00384 
inet,mets,Lin,BP,19,20,1,0.00334 
inet,mets,Lin,CC,19,19,1,0.00357 
inet,mets,Rel,MF,18,19,2,0.00562 
inet,mets,Rel,BP,19,20,1,0.00418 
inet,mets,Rel,CC,19,19,1,0.00526 
inet,mets,Jiang,MF,18,19,1,0.00444 
inet,mets,Jiang,BP,19,20,1,0.00448 
inet,mets,Jiang,CC,19,19,2,0.00568 
inet,mets,Wang,MF,18,19,2,0.00467 
inet,mets,Wang,BP,19,20,1,0.00385 
inet,mets,Wang,CC,19,19,1,0.00419 
inet,t2d,Resnik,MF,37,50,2,0.00665 
inet,t2d,Resnik,BP,39,51,3,0.00972 
inet,t2d,Resnik,CC,41,53,3,0.00889 
inet,t2d,Lin,MF,37,50,2,0.00594 
inet,t2d,Lin,BP,39,51,3,0.00603 
inet,t2d,Lin,CC,41,53,3,0.00637 
inet,t2d,Rel,MF,37,50,2,0.00571 
inet,t2d,Rel,BP,39,51,3,0.01013 
inet,t2d,Rel,CC,41,53,3,0.00967 
inet,t2d,Jiang,MF,37,50,2,0.00797 
inet,t2d,Jiang,BP,39,51,3,0.00576 
inet,t2d,Jiang,CC,41,53,3,0.01506 
inet,t2d,Wang,MF,37,50,2,0.00562 
inet,t2d,Wang,BP,40,52,3,0.00731 
inet,t2d,Wang,CC,41,53,3,0.00706 
inet,cad,Resnik,MF,5484,575,100,26.84818 
inet,cad,Resnik,BP,5271,562,160,24.81721 
inet,cad,Resnik,CC,5430,579,163,27.56795 
inet,cad,Lin,MF,5484,575,160,28.94515 
inet,cad,Lin,BP,5271,562,189,24.26003 
inet,cad,Lin,CC,5430,579,101,28.92979 
inet,cad,Rel,MF,5484,575,137,28.1541 
inet,cad,Rel,BP,5271,562,162,24.43994 
inet,cad,Rel,CC,5430,579,105,25.80151 
inet,cad,Jiang,MF,5484,575,113,26.3535 
inet,cad,Jiang,BP,5271,562,170,24.21437 
inet,cad,Jiang,CC,5430,579,101,25.38509 
inet,cad,Wang,MF,5503,580,137,27.05656 
inet,cad,Wang,BP,5347,566,217,25.89744 
inet,cad,Wang,CC,5475,580,150,26.75573
