"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000300215","EPB42",NA
"9606.ENSP00000300226","MS4A8B",NA
"9606.ENSP00000300231","MAP1A",NA
"9606.ENSP00000300249","MAPRE2",NA
"9606.ENSP00000300255","EVA1C",NA
"9606.ENSP00000300258","TCP10L",NA
"9606.ENSP00000300283","CKMT1B",NA
"9606.ENSP00000300289","PDIA3",NA
"9606.ENSP00000300291","NUDT21",NA
"9606.ENSP00000300303","NAT16",NA
"9606.ENSP00000300305","RUNX1",NA
"9606.ENSP00000300399","BPIFC",NA
"9606.ENSP00000300403","TPX2",NA
"9606.ENSP00000300404","B4GALNT2",NA
"9606.ENSP00000300406","GNGT2",NA
"9606.ENSP00000300408","PHB",NA
"9606.ENSP00000300413","SNRPD1",NA
"9606.ENSP00000300417","LRSAM1",NA
"9606.ENSP00000300433","TMEM92",NA
"9606.ENSP00000300441","ACSF2",NA
"9606.ENSP00000322649","SLC25A41",NA
"9606.ENSP00000300452","COQ4",NA
"9606.ENSP00000300456","SLC27A4",NA
"9606.ENSP00000300482","TRPM2",NA
"9606.ENSP00000300504","TBC1D21",NA
"9606.ENSP00000300515","GOLGA6L9",NA
"9606.ENSP00000300527","COL6A2",NA
"9606.ENSP00000300557","PRR15L",NA
"9606.ENSP00000300571","GPRC5B",NA
"9606.ENSP00000300574","CRK",NA
"9606.ENSP00000300575","C16orf92",NA
"9606.ENSP00000300576","GOLGA6C",NA
"9606.ENSP00000300584","TBC1D2B",NA
"9606.ENSP00000300589","NOD2",NA
"9606.ENSP00000300591","LOXHD1",NA
"9606.ENSP00000300605","HDHD2",NA
"9606.ENSP00000300618","C17orf78",NA
"9606.ENSP00000300651","MED1",NA
"9606.ENSP00000300658","PGAP3",NA
"9606.ENSP00000300659","NFATC3",NA
"9606.ENSP00000300688","ATP5L",NA
"9606.ENSP00000300692","CD3D",NA
"9606.ENSP00000300714","ENTHD2",NA
"9606.ENSP00000300737","STIM1",NA
"9606.ENSP00000300738","RRM1",NA
"9606.ENSP00000300747","TRIM68",NA
"9606.ENSP00000300762","MMP26",NA
"9606.ENSP00000300773","OR51B5",NA
"9606.ENSP00000300778","OR51Q1",NA
"9606.ENSP00000301071","TUBA1A",NA
"9606.ENSP00000300784","FN3K",NA
"9606.ENSP00000300811","ZNF428",NA
"9606.ENSP00000300835","PRR14",NA
"9606.ENSP00000300850","ZNF646",NA
"9606.ENSP00000300870","ZNF267",NA
"9606.ENSP00000300873","GNG8",NA
"9606.ENSP00000300896","USP32",NA
"9606.ENSP00000300900","CA4",NA
"9606.ENSP00000300917","SMG8",NA
"9606.ENSP00000300935","RAB8A",NA
"9606.ENSP00000300952","MIDN",NA
"9606.ENSP00000300954","PCSK4",NA
"9606.ENSP00000300961","JSRP1",NA
"9606.ENSP00000300976","KLHL26",NA
"9606.ENSP00000301011","ZC3H18",NA
"9606.ENSP00000301015","PIEZO1",NA
"9606.ENSP00000301019","CDT1",NA
"9606.ENSP00000301021","TRAPPC2L",NA
"9606.ENSP00000301030","ANKRD11",NA
"9606.ENSP00000301031","C16orf55",NA
"9606.ENSP00000301037","SGK494",NA
"9606.ENSP00000301039","PROCA1",NA
"9606.ENSP00000301042","ZNF641",NA
"9606.ENSP00000301046","LALBA",NA
"9606.ENSP00000301050","CACNB3",NA
"9606.ENSP00000301057","TP53I13",NA
"9606.ENSP00000301061","WNT10B",NA
"9606.ENSP00000301067","MLL2",NA
"9606.ENSP00000301068","RHEBL1",NA
"9606.ENSP00000301072","TUBA1C",NA
"9606.ENSP00000301073","ZNF524",NA
"9606.ENSP00000301093","ZNF701",NA
"9606.ENSP00000301096","ZNF83",NA
"9606.ENSP00000301141","CYP2A6",NA
"9606.ENSP00000301146","CYP2A7",NA
"9606.ENSP00000301149","GPD1",NA
"9606.ENSP00000301159","LIN37",NA
"9606.ENSP00000301175","PRODH2",NA
"9606.ENSP00000301178","AXL",NA
"9606.ENSP00000301180","DIP2B",NA
"9606.ENSP00000301190","ANKRD33",NA
"9606.ENSP00000301200","CDC42EP5",NA
"9606.ENSP00000301202","LAIR2",NA
"9606.ENSP00000301204","TMEM145",NA
"9606.ENSP00000301215","ZNF526",NA
"9606.ENSP00000301219","LILRA5",NA
"9606.ENSP00000301242","PPP1R14A",NA
"9606.ENSP00000301244","SPINT2",NA
"9606.ENSP00000301246","C19orf33",NA
"9606.ENSP00000301258","PSCA",NA
"9606.ENSP00000301263","LY6D",NA
"9606.ENSP00000301264","DAPK3",NA
"9606.ENSP00000301272","TMIGD2",NA
"9606.ENSP00000301280","CHAF1A",NA
"9606.ENSP00000301281","UBXN6",NA
"9606.ENSP00000301284","HDGFRP2",NA
"9606.ENSP00000301286","PLIN4",NA
"9606.ENSP00000301293","SEMA6B",NA
"9606.ENSP00000301295","NLRP4",NA
"9606.ENSP00000301305","SLC39A4",NA
"9606.ENSP00000301310","ZNF582",NA
"9606.ENSP00000301318","ZFP28",NA
"9606.ENSP00000301327","MFSD3",NA
"9606.ENSP00000301329","GLOD4",NA
"9606.ENSP00000301332","KIFC2",NA
"9606.ENSP00000301336","RILP",NA
"9606.ENSP00000301364","TSR1",NA
"9606.ENSP00000301391","CYB5D2",NA
"9606.ENSP00000301396","PELP1",NA
"9606.ENSP00000301399","ZNF577",NA
"9606.ENSP00000301407","CGB1",NA
"9606.ENSP00000301408","CGB5",NA
"9606.ENSP00000301411","NTF4",NA
"9606.ENSP00000301419","C19orf48",NA
"9606.ENSP00000301420","KLK1",NA
"9606.ENSP00000301439","ENSG00000167765",NA
"9606.ENSP00000301452","ACER1",NA
"9606.ENSP00000301454","SLC25A23",NA
"9606.ENSP00000301729","ECI1",NA
"9606.ENSP00000301730","RNPS1",NA
"9606.ENSP00000301455","ANGPTL4",NA
"9606.ENSP00000301457","ENSG00000267855",NA
"9606.ENSP00000301458","CD320",NA
"9606.ENSP00000301459","RCOR2",NA
"9606.ENSP00000301463","SPRYD3",NA
"9606.ENSP00000301464","IGFBP6",NA
"9606.ENSP00000301466","SOAT2",NA
"9606.ENSP00000301475","ZNF558",NA
"9606.ENSP00000301480","ZNF560",NA
"9606.ENSP00000301488","CDK2AP2",NA
"9606.ENSP00000301490","NUDT8",NA
"9606.ENSP00000301522","PRDX2",NA
"9606.ENSP00000301529","OR8J3",NA
"9606.ENSP00000301532","OR5I1",NA
"9606.ENSP00000301547","ZNF443",NA
"9606.ENSP00000301585","ICT1",NA
"9606.ENSP00000301587","ATP5H",NA
"9606.ENSP00000301599","TMEM88",NA
"9606.ENSP00000301607","EVPL",NA
"9606.ENSP00000301633","BIRC5",NA
"9606.ENSP00000301634","TK1",NA
"9606.ENSP00000301645","CYP7A1",NA
"9606.ENSP00000301653","KRT16","150350"
"9606.ENSP00000301656","KRT27",NA
"9606.ENSP00000301659","GSDMA","953"
"9606.ENSP00000301665","TMEM99","954"
"9606.ENSP00000301671","GHDC","956"
"9606.ENSP00000301678","ITFG3","9583"
"9606.ENSP00000301691","SOST","957"
"9606.ENSP00000301698","PRR25","955"
"9606.ENSP00000301717","SPSB3","57089"
"9606.ENSP00000301727","E4F1","377841"
"9606.ENSP00000326259","OR52H1","56943"
"9606.ENSP00000301732","ABCA3","285203"
"9606.ENSP00000301738","KCTD5","8320"
"9606.ENSP00000301740","SRRM2","2033"
"9606.ENSP00000301744","ZNF597","57634"
"9606.ENSP00000301761","SDHAF2","347918"
"9606.ENSP00000301764","DDB1","2034"
"9606.ENSP00000301765","VPS37C","2035"
"9606.ENSP00000301776","ASRGL1","2036"
"9606.ENSP00000301785","HNRNPUL2","2037"
"9606.ENSP00000301908","PNOC","23136"
"9606.ENSP00000301917","GPR25","64097"
"9606.ENSP00000301920","MMADHC","54566"
"9606.ENSP00000301788","POLR2G","57669"
"9606.ENSP00000301790","HRASLS5","2038"
"9606.ENSP00000301825","ENTPD3",NA
"9606.ENSP00000301831","ULK4","80314"
"9606.ENSP00000301838","FADD","26122"
"9606.ENSP00000301873","LTBP3","4072"
"9606.ENSP00000301887","BATF2","54749"
"9606.ENSP00000301891","SLC22A11","57724"
"9606.ENSP00000301896","C11orf85","255324"
"9606.ENSP00000301904","SCARA3","2041"
"9606.ENSP00000301905","PBK","284656"
"9606.ENSP00000301921","SOX7","1969"
"9606.ENSP00000301924","TRIM35","2042"
"9606.ENSP00000301939","C17orf61","2043"
"9606.ENSP00000301945","ANTXR1","2044"
"9606.ENSP00000301956","ACSM1","285220"
"9606.ENSP00000301962","USP42","2045"
"9606.ENSP00000301972","MYRIP","2046"
"9606.ENSP00000301974","PTAFR","2047"
"9606.ENSP00000301995","SCAND1","2048"
"9606.ENSP00000302021","MUC7","2049"
"9606.ENSP00000302037","MFF","2050"
"9606.ENSP00000302046","RNASE6","2051"
"9606.ENSP00000302051","ECEL1","2052"
"9606.ENSP00000302057","OR5AU1","2053"
"9606.ENSP00000302077","SLFN12","79852"
"9606.ENSP00000302079","C3AR1","253152"
"9606.ENSP00000406027","EPM2AIP1","7957"
"9606.ENSP00000302088","RER1","9852"
"9606.ENSP00000302100","LGALS4","29924"
"9606.ENSP00000302105","CRYGA","22905"
"9606.ENSP00000302108","PANK1","55040"
"9606.ENSP00000302111","MGMT","2056"
"9606.ENSP00000302114","PRELID1","2057"
"9606.ENSP00000302120","TRIM8","57119"
"9606.ENSP00000302144","TMEM154","83481"
"9606.ENSP00000302150","PRL",NA
"9606.ENSP00000302160","LSM3","2058"
"9606.ENSP00000302166","KCNK9","2060"
"9606.ENSP00000302176","ASPSCR1","58513"
"9606.ENSP00000302177","MBOAT2","2059"
"9606.ENSP00000302189","NHLH1","54869"
"9606.ENSP00000302194","ATP6V1G2","64787"
"9606.ENSP00000302199","OR10V1","79574"
"9606.ENSP00000302297","LGI3","94240"
"9606.ENSP00000302216","ATOH1",NA
"9606.ENSP00000302222","ZNF25","8288"
"9606.ENSP00000302227","CCBL1","1833"
"9606.ENSP00000302232","ALKBH3","54586"
"9606.ENSP00000302234","CCL11","26284"
"9606.ENSP00000302239","USP8","51752"
"9606.ENSP00000302251","GBX2","64167"
"9606.ENSP00000302260","C8orf46","3266"
"9606.ENSP00000302274","C1QTNF4","2064"
"9606.ENSP00000302276","HEXIM2",NA
"9606.ENSP00000302289","EMB","2065"
"9606.ENSP00000364677","ZBTB12","2066"
"9606.ENSP00000302324","RNASE3","23085"
"9606.ENSP00000302327","PYGO1","26059"
"9606.ENSP00000302393","LDHAL6B","2067"
"9606.ENSP00000302397","ATP1A3","2068"
"9606.ENSP00000302400","SMR3B","2071"
"9606.ENSP00000302413","TPST1","2072"
"9606.ENSP00000302422","OR52K1","2073"
"9606.ENSP00000302437","OR10G3","2074"
"9606.ENSP00000302441","NANP","54821"
"9606.ENSP00000302456","KLF13","375748"
"9606.ENSP00000302476","ENSG00000170276","1161"
"9606.ENSP00000302478","POLR1D","2069"
"9606.ENSP00000302485","CSDC2","2077"
"9606.ENSP00000302486","MAP2K1","2078"
"9606.ENSP00000360017","ZNF280C","57222"
"9606.ENSP00000302501","ZEB2","51290"
"9606.ENSP00000302502","ZNF434","51614"
"9606.ENSP00000302530","BUB1","2079"
"9606.ENSP00000302537","MDM1","90459"
"9606.ENSP00000302543","CXXC5","112479"
"9606.ENSP00000302548","HOXD4","79033"
"9606.ENSP00000302552","GLOD5","157697"
"9606.ENSP00000302562","HSPBAP1","285141"
"9606.ENSP00000302564","BCL2L1","27248"
"9606.ENSP00000302569","CLEC7A","10613"
"9606.ENSP00000302578","FAM84B","11160"
"9606.ENSP00000302579","SCEL","114625"
"9606.ENSP00000302586","KBTBD2","57471"
"9606.ENSP00000302599","FUT9","79956"
"9606.ENSP00000302603","ZNF556","2081"
"9606.ENSP00000302606","OR9I1","10595"
"9606.ENSP00000302620","AGXT",NA
"9606.ENSP00000302625","AXIN2",NA
"9606.ENSP00000302629","CHSY3","121506"
"9606.ENSP00000302630","ONECUT1","10961"
"9606.ENSP00000302639","OR5AR1","23071"
"9606.ENSP00000302640","UBTF","54206"
"9606.ENSP00000302647","RALGAPA1","2086"
"9606.ENSP00000302648","NRTN","405754"
"9606.ENSP00000302657","ABHD15","100288413"
"9606.ENSP00000302665","IGF1","147664"
"9606.ENSP00000302676","GPR22","100271846"
"9606.ENSP00000302707","FPR1","30816"
"9606.ENSP00000302716","MUC17","90952"
"9606.ENSP00000302719","KCNAB3","114799"
"9606.ENSP00000302724","INSL5","157570"
"9606.ENSP00000406037","KAT8","2098"
"9606.ENSP00000302768","PAIP1","51575"
"9606.ENSP00000302770","ZNF296","11082"
"9606.ENSP00000302783","TRAPPC1","9700"
"9606.ENSP00000302790","XPO6","83715"
"9606.ENSP00000302801","TRMT61B","339768"
"9606.ENSP00000302805","DDI1","2099"
"9606.ENSP00000302811","MTNR1A","2100"
"9606.ENSP00000302812","SP7","54845"
"9606.ENSP00000302814","OTP","80004"
"9606.ENSP00000302830","MAEA","2101"
"9606.ENSP00000302833","GIMAP1","2103"
"9606.ENSP00000302836","HOXC9","2104"
"9606.ENSP00000302843","DNAJC18","80712"
"9606.ENSP00000302935","IL16","23344"
"9606.ENSP00000302846","PTGER4","57488"
"9606.ENSP00000302851","SLC23A1","83850"
"9606.ENSP00000302855","ZNF280A","54465"
"9606.ENSP00000302863","OR1L3","2107"
"9606.ENSP00000302867","OR7G3","2108"
"9606.ENSP00000302886","PA2G4","2109"
"9606.ENSP00000302895","ARAP2","2110"
"9606.ENSP00000302896","RPS9","23474"
"9606.ENSP00000302898","AURKC","55500"
"9606.ENSP00000302913","SH3D19","55224"
"9606.ENSP00000302918","C11orf40","2113"
"9606.ENSP00000302924","IL17D","2114"
"9606.ENSP00000329384","IL22","2115"
"9606.ENSP00000302936","DYNLRB2","2116"
"9606.ENSP00000302938","WFDC13","2117"
"9606.ENSP00000302951","STRA13","440695"
"9606.ENSP00000302961","HSPA4","2118"
"9606.ENSP00000302967","HDAC3","2119"
"9606.ENSP00000302968","CDY1","2120"
"9606.ENSP00000302978","SPRY3","51513"
"9606.ENSP00000303015","ZRSR2","84141"
"9606.ENSP00000303028","TM4SF20","55194"
"9606.ENSP00000303042","AFAP1L2","59271"
"9606.ENSP00000303057","PPIC","2121"
"9606.ENSP00000303149","GPR27","132884"
"9606.ENSP00000303058","CEP120","2123"
"9606.ENSP00000303061","XAGE3","2124"
"9606.ENSP00000303070","SCGB1D1","7813"
"9606.ENSP00000303076","OR5B2","115704"
"9606.ENSP00000303077","GOT1L1","51466"
"9606.ENSP00000303088","POLR3D","2125"
"9606.ENSP00000303092","CACNG5","645027"
"9606.ENSP00000303096","OR5A1","2128"
"9606.ENSP00000303111","OR5AP2","344191"
"9606.ENSP00000303129","VAT1L","2130"
"9606.ENSP00000303145","TMED10","161829"
"9606.ENSP00000303147","MAT2A","55218"
"9606.ENSP00000303148","TMEM37","54932"
"9606.ENSP00000303151","OR1B1","9156"
"9606.ENSP00000303174","UGT1A6","64789"
"9606.ENSP00000303178","CDY1B","55763"
"9606.ENSP00000303192","RGL1","55770"
"9606.ENSP00000303206","REG1B","11336"
"9606.ENSP00000303208","PCSK9","283849"
"9606.ENSP00000303211","ACHE","90332"
"9606.ENSP00000303212","SEMA3E","91828"
"9606.ENSP00000303222","MTCH2","60412"
"9606.ENSP00000303231","IL12A","10640"
"9606.ENSP00000303234","C14orf183","54536"
"9606.ENSP00000303242","ITGB2","23233"
"9606.ENSP00000303246","ACOT12","23265"
"9606.ENSP00000360020","DIRAS3","149371"
"9606.ENSP00000303248","RXFP1","9941"
"9606.ENSP00000303252","ZNF804A","51013"
"9606.ENSP00000303276","RNASE2","5394"
"9606.ENSP00000303279","IARS2","23404"
"9606.ENSP00000303300","PRY2","51010"
"9606.ENSP00000303315","JUNB","54512"
"9606.ENSP00000303325","TACR3","56915"
"9606.ENSP00000303351","ITGB1","118460"
"9606.ENSP00000303356","DCXR","23016"
"9606.ENSP00000303366","LMAN2","11340"
"9606.ENSP00000303373","HIST1H2AE","5393"
"9606.ENSP00000303394","HSPB3","23086"
"9606.ENSP00000303476","TLN2","2131"
"9606.ENSP00000414982","KLC1","2132"
"9606.ENSP00000303398","MTBP","2134"
"9606.ENSP00000303408","HIST1H2BO","2135"
"9606.ENSP00000303423","FNTA","2137"
"9606.ENSP00000303424","PTGDR","2138"
"9606.ENSP00000303427","PDS5A","2139"
"9606.ENSP00000303434","USP38","2140"
"9606.ENSP00000303437","TSNARE1","2070"
"9606.ENSP00000303452","TRH","346007"
"9606.ENSP00000303468","ZCCHC4","2145"
"9606.ENSP00000303469","OR52A5","2146"
"9606.ENSP00000303482","REEP4","7430"
"9606.ENSP00000303486","BAHCC1","2159"
"9606.ENSP00000303507","BCR","2160"
"9606.ENSP00000303508","FRMD3","50848"
"9606.ENSP00000303511","PEX6","2161"
"9606.ENSP00000303515","DUS1L","2162"
"9606.ENSP00000303518","ANKRD49","2165"
"9606.ENSP00000303522","TACR1","2147"
"9606.ENSP00000303525","CBR4","2149"
"9606.ENSP00000303532","DEFB4A","2150"
"9606.ENSP00000303540","SCN1A","2151"
"9606.ENSP00000303549","GPR82","9002"
"9606.ENSP00000303550","CYTL1","2152"
"9606.ENSP00000303554","PTPN9","2153"
"9606.ENSP00000303570","ANKMY2","2155"
"9606.ENSP00000303575","NUDT9","2157"
"9606.ENSP00000303580","NKIRAS2","8263"
"9606.ENSP00000303584","N6AMT1","474383"
"9606.ENSP00000303585","CLIP1","474384"
"9606.ENSP00000303599","HSFY1","2158"
"9606.ENSP00000303634","LRP8","79152"
"9606.ENSP00000303686","NTSR2","2166"
"9606.ENSP00000303696","ZNF57","158584"
"9606.ENSP00000303706","CDC25A","2168"
"9606.ENSP00000303709","UBE2E1","646486"
"9606.ENSP00000303710","C10orf68","2169"
"9606.ENSP00000303712","RBMY1A1","2170"
"9606.ENSP00000303736","PRYP4","2167"
"9606.ENSP00000303887","DCLK2","2171"
"9606.ENSP00000303740","B3GALT1","2172"
"9606.ENSP00000303754","PPID","2173"
"9606.ENSP00000303758","LUZP1","646480"
"9606.ENSP00000303766","HTRA3","8772"
"9606.ENSP00000303769","AKNA","3992"
"9606.ENSP00000303775","PROKR1","9415"
"9606.ENSP00000303777","TEX13B","3995"
"9606.ENSP00000303779","EME2","283985"
"9606.ENSP00000303822","OR7G2","11124"
"9606.ENSP00000303830","INSR","23197"
"9606.ENSP00000303834","OR5A2","2184"
"9606.ENSP00000303862","OR10A2","81889"
"9606.ENSP00000440243","UBAP1L","51011"
"9606.ENSP00000303908","TWF2","151313"
"9606.ENSP00000303909","ABR","55179"
"9606.ENSP00000303915","ZNF561","23017"
"9606.ENSP00000303920","MZB1",NA
"9606.ENSP00000303928","KIAA0232",NA
"9606.ENSP00000303939","CTLA4",NA
"9606.ENSP00000303942","GP9",NA
"9606.ENSP00000303963","CTRB2",NA
"9606.ENSP00000303987","TMEM223","399665"
"9606.ENSP00000303992","TMEM43","284611"
"9606.ENSP00000303997","GTPBP2","83640"
"9606.ENSP00000303999","TMEM133","84923"
"9606.ENSP00000304004","FOXA3","90736"
"9606.ENSP00000304032","STARD5","54491"
"9606.ENSP00000304308","ZNF217",NA
"9606.ENSP00000304414","CXCR6","80039"
"9606.ENSP00000304051","RNF139","11170"
"9606.ENSP00000304060","OR8J1","83641"
"9606.ENSP00000304065","C2orf27B",NA
"9606.ENSP00000304071","C7orf33",NA
"9606.ENSP00000304077","OR4K15",NA
"9606.ENSP00000304078","FAM83B","144717"
"9606.ENSP00000304102","COPS6","150368"
"9606.ENSP00000304108","FAM171B","83541"
"9606.ENSP00000304111","ABCG4","90362"
"9606.ENSP00000304127","KCNG3","642273"
"9606.ENSP00000304133","SCG2","79927"
"9606.ENSP00000304139","RBMXL2","63901"
"9606.ENSP00000304147","MYEOV2","374393"
"9606.ENSP00000304151","BOP1","92689"
"9606.ENSP00000304169","PITX2","10827"
"9606.ENSP00000304185","GTSF1",NA
"9606.ENSP00000304188","OR8U1",NA
"9606.ENSP00000304192","PCNX","81558"
"9606.ENSP00000304198","MBD3L1","150864"
"9606.ENSP00000376799","C11orf65","55007"
"9606.ENSP00000304226","HIPK3","79607"
"9606.ENSP00000304229","HINT1","23196"
"9606.ENSP00000304234","PCDHA10","158293"
"9606.ENSP00000304235","OR1L6","84498"
"9606.ENSP00000304236","CD14","54954"
"9606.ENSP00000304250","CDK5R2","116224"
"9606.ENSP00000304277","TM4SF1","159090"
"9606.ENSP00000304283","RAC3","159091"
"9606.ENSP00000304286","FOXI1",NA
"9606.ENSP00000304290","CHRNB1",NA
"9606.ENSP00000304311","REG3A",NA
"9606.ENSP00000304327","C17orf79","220108"
"9606.ENSP00000304331","GSX1","79843"
"9606.ENSP00000304336","PYDC1",NA
"9606.ENSP00000304350","PRPF8",NA
"9606.ENSP00000304353","POP7","84668"
"9606.ENSP00000304355","CCDC126","285172"
"9606.ENSP00000304360","SMYD4",NA
"9606.ENSP00000304364","C1GALT1C1",NA
"9606.ENSP00000304370","CDC40",NA
"9606.ENSP00000304376","RAB24","116496"
"9606.ENSP00000304401","SLFNL1","64855"
"9606.ENSP00000304408","COL3A1","199786"
"9606.ENSP00000304410","C2orf68","131408"
"9606.ENSP00000304422","KREMEN2","9715"
"9606.ENSP00000304429","SNX7","348487"
"9606.ENSP00000304437","KNDC1",NA
"9606.ENSP00000304440","HAS3",NA
"9606.ENSP00000304447","PTCRA","286499"
"9606.ENSP00000304467","THOP1","257415"
"9606.ENSP00000304501","ADORA2B",NA
"9606.ENSP00000304502","SIX2",NA
"9606.ENSP00000304544","COMMD5",NA
"9606.ENSP00000304553","MPLKIP","57579"
"9606.ENSP00000304565","RAB31","51059"
"9606.ENSP00000304586","ANKS3","84908"
"9606.ENSP00000304592","FASN","645520"
"9606.ENSP00000304593","ZNHIT1","654835"
"9606.ENSP00000304604","MAGI3","10144"
"9606.ENSP00000329403","PCP4","51306"
"9606.ENSP00000304669","CTNNA1","220965"
"9606.ENSP00000304670","RNFT1","25854"
"9606.ENSP00000304676","ATOH8","317662"
"9606.ENSP00000304689","THAP11",NA
"9606.ENSP00000304697","UBB",NA
"9606.ENSP00000304707","SLN","338094"
"9606.ENSP00000304710","TMC7","167555"
"9606.ENSP00000304713","MSANTD4","285596"
"9606.ENSP00000304736","ELOVL6","202134"
"9606.ENSP00000304762","SPACA5B","653316"
"9606.ENSP00000304767","P2RY1",NA
"9606.ENSP00000304769","ZNF467",NA
"9606.ENSP00000304782","CES3","728215"
"9606.ENSP00000305260","GNB2","27112"
"9606.ENSP00000304783","SLC26A5","29057"
"9606.ENSP00000304802","DTYMK","727866"
"9606.ENSP00000304807","OR6Y1","728262"
"9606.ENSP00000304811","UGT2B7",NA
"9606.ENSP00000304822","CSN3",NA
"9606.ENSP00000304843","MCOLN3","729830"
"9606.ENSP00000304845","UGT1A1","84067"
"9606.ENSP00000304846","OR2AT4","57700"
"9606.ENSP00000304854","NUDCD2","64760"
"9606.ENSP00000304858","ORMDL3","84140"
"9606.ENSP00000304891","ATP6V1E2","145483"
"9606.ENSP00000304895","IRS1","26355"
"9606.ENSP00000304903","CD2BP2","221303"
"9606.ENSP00000305958","STIP1","148753"
"9606.ENSP00000304908","TXNDC2","642968"
"9606.ENSP00000304915","IL13",NA
"9606.ENSP00000304923","LRRC28",NA
"9606.ENSP00000304930","SOSTDC1","401565"
"9606.ENSP00000304941","TCTN2","730112"
"9606.ENSP00000304945","ROBO4","83648"
"9606.ENSP00000304956","MN1","84734"
"9606.ENSP00000304985","ZFX","23201"
"9606.ENSP00000304987","BFSP2","130074"
"9606.ENSP00000304994","DACH1","26049"
"9606.ENSP00000305005","PSG8","283777"
"9606.ENSP00000305011","OR4K14","340069"
"9606.ENSP00000305055","OR2K2","170370"
"9606.ENSP00000305056","PCSK6","221061"
"9606.ENSP00000305059","MAP1LC3B2","284069"
"9606.ENSP00000305065","ZBBX","165215"
"9606.ENSP00000305069","TMEM192","83989"
"9606.ENSP00000305071","RFXANK","65990"
"9606.ENSP00000440272","ENSG00000255767","134145"
"9606.ENSP00000305133","SOCS5","345757"
"9606.ENSP00000305138","FAM195A","400451"
"9606.ENSP00000305151","PWWP2A",NA
"9606.ENSP00000305152","PLP1",NA
"9606.ENSP00000305161","TRIM56","283635"
"9606.ENSP00000305193","HS1BP3","400823"
"9606.ENSP00000305200","IL1RAPL1",NA
"9606.ENSP00000305204","CKAP2L","51252"
"9606.ENSP00000305207","OR1A1",NA
"9606.ENSP00000305221","UGT2B4",NA
"9606.ENSP00000305230","SRP9","389558"
"9606.ENSP00000305244","IRX1","399888"
"9606.ENSP00000305255","STX8","90050"
"9606.ENSP00000305263","KRT28","220382"
"9606.ENSP00000305288","NLGN2","284800"
"9606.ENSP00000305302","SLC6A19","728882"
"9606.ENSP00000305334","FSTL5","440585"
"9606.ENSP00000305343","SOX14",NA
"9606.ENSP00000305355","PRKCB","79632"
"9606.ENSP00000305372","ADRB2","27146"
"9606.ENSP00000305373","ZNF440","222234"
"9606.ENSP00000305403","OR5T3","121006"
"9606.ENSP00000305416","S1PR1","84070"
"9606.ENSP00000305422","CEBPB","100528020"
"9606.ENSP00000305424","OR1F1","148109"
"9606.ENSP00000305426","TUB",NA
"9606.ENSP00000305442","COG7",NA
"9606.ENSP00000305449","CNNM3",NA
"9606.ENSP00000305464","APLN","23359"
"9606.ENSP00000305465","PDILT","9413"
"9606.ENSP00000305469","OR1S2","10712"
"9606.ENSP00000305480","FEN1",NA
"9606.ENSP00000305494","SPATA5L1",NA
"9606.ENSP00000305502","ASCC2",NA
"9606.ENSP00000305503","NUP62",NA
"9606.ENSP00000305524","TSEN34",NA
"9606.ENSP00000305529","SIRPG","80011"
"9606.ENSP00000305533","THAP9","8603"
"9606.ENSP00000305556","PCBP1","54540"
"9606.ENSP00000305964","COX7B2",NA
"9606.ENSP00000305595","B3GNT2",NA
"9606.ENSP00000305596","FAM71B",NA
"9606.ENSP00000305603","FUT3",NA
"9606.ENSP00000305613","CPLX1","642938"
"9606.ENSP00000305631","NXNL1","100131897"
"9606.ENSP00000305632","HOMER2","100289265"
"9606.ENSP00000305640","OR6F1","729085"
"9606.ENSP00000305647","VAMP5","51313"
"9606.ENSP00000305648","RAB40A","139231"
"9606.ENSP00000305651","CXCL10","407738"
"9606.ENSP00000305653","LETM1","338811"
"9606.ENSP00000305654","FAM18B1","284467"
"9606.ENSP00000305664","TRABD","151647"
"9606.ENSP00000305675","SDPR","25817"
"9606.ENSP00000305699","HOOK3","221786"
"9606.ENSP00000305702","KCTD19","285550"
"9606.ENSP00000305714","BMP1","158228"
"9606.ENSP00000305721","IBTK",NA
"9606.ENSP00000305725","CHST11",NA
"9606.ENSP00000305731","CST1","63877"
"9606.ENSP00000305742","LRTOMT","259308"
"9606.ENSP00000305766","MRGPRX1",NA
"9606.ENSP00000305769","SMAD1",NA
"9606.ENSP00000305777","CSNK1G1","54942"
"9606.ENSP00000305785","DMRT2","85395"
"9606.ENSP00000305790","SF3B3","23272"
"9606.ENSP00000305804","ZNF131","54906"
"9606.ENSP00000305810","STX18","200232"
"9606.ENSP00000305824","KCNS3","388799"
"9606.ENSP00000305839","GPRIN1","54757"
"9606.ENSP00000305847","SPACA5","9917"
"9606.ENSP00000305852","TM4SF4","56975"
"9606.ENSP00000305875","C20orf196","125228"
"9606.ENSP00000305877","NMUR1","116151"
"9606.ENSP00000305892","TMEM208",NA
"9606.ENSP00000305899","SUV420H1",NA
"9606.ENSP00000305906","UTF1","389119"
"9606.ENSP00000305913","COL8A2","55924"
"9606.ENSP00000305918","BRD3","84293"
"9606.ENSP00000305919","HTRA4","127281"
"9606.ENSP00000305924","PPP4R4","56204"
"9606.ENSP00000305926","OTUD7A","80256"
"9606.ENSP00000305941","USH2A","23591"
"9606.ENSP00000305973","HOXC4","29902"
