"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000070846","PKP2","125981"
"9606.ENSP00000071281","FHL1","340485"
"9606.ENSP00000072644","YIPF1","55331"
"9606.ENSP00000072869","ADCK2","43"
"9606.ENSP00000074304","INPP4A","22985"
"9606.ENSP00000075120","SLC2A3","47"
"9606.ENSP00000075503","STYK1","130013"
"9606.ENSP00000161559","CEACAM1",NA
"9606.ENSP00000078429","GNA11","48"
"9606.ENSP00000078445","CREB3L3","50"
"9606.ENSP00000078527","PIGV","641371"
"9606.ENSP00000080059","HDAC7","26027"
"9606.ENSP00000081029","MRPS35","134526"
"9606.ENSP00000083182","APPBP2","55856"
"9606.ENSP00000084798","CA11","10965"
"9606.ENSP00000085068","ISOC2","122970"
"9606.ENSP00000085219","CD22","641372"
"9606.ENSP00000086933","GSC2","11332"
"9606.ENSP00000155093","ZFY","10005"
"9606.ENSP00000155840","KCNQ1","23597"
"9606.ENSP00000155858","TRPM5","51"
"9606.ENSP00000155926","TRIB2","8309"
"9606.ENSP00000156084","OTUD5","8310"
"9606.ENSP00000156109","GPKOW","55289"
"9606.ENSP00000156471","AQR","52"
"9606.ENSP00000156499","KLK14","53"
"9606.ENSP00000156626","ST6GALNAC1","54"
"9606.ENSP00000156825","MBD3","51205"
"9606.ENSP00000157600","LMCD1",NA
"9606.ENSP00000157812","PSMC4","55"
"9606.ENSP00000158009","FNDC8",NA
"9606.ENSP00000160827","KIF22","49"
"9606.ENSP00000161006","PRSS22","84519"
"9606.ENSP00000158166","CAMKK1",NA
"9606.ENSP00000158762","ACAP1","56"
"9606.ENSP00000158771","DERL2","23205"
"9606.ENSP00000159060","NOX3","81616"
"9606.ENSP00000159087","ANO8","80221"
"9606.ENSP00000159111","KDM4B","197322"
"9606.ENSP00000160262","ICAM3","2180"
"9606.ENSP00000160373","CTTNBP2","2181"
"9606.ENSP00000160382","ACTL6B","2182"
"9606.ENSP00000160740","CIC","51703"
"9606.ENSP00000161863","YTHDC2","23305"
"9606.ENSP00000162023","MEF2B","116285"
"9606.ENSP00000162044","TMEM161A","123876"
"9606.ENSP00000162391","FOXJ2","348158"
"9606.ENSP00000162749","TNFRSF1A","6296"
"9606.ENSP00000163416","GOLGA5","341392"
"9606.ENSP00000164024","CELSR3","54988"
"9606.ENSP00000164133","PPP2R5B","84532"
"9606.ENSP00000164139","PYGM","55902"
"9606.ENSP00000164227","BCL3","79611"
"9606.ENSP00000164305","PIGB","58"
"9606.ENSP00000164640","PDZD4","59"
"9606.ENSP00000165524","PRLH","60"
"9606.ENSP00000171887","TNS1","345651"
"9606.ENSP00000166139","FSTL3","70"
"9606.ENSP00000166244","EPHA8","71"
"9606.ENSP00000166345","TRIP13","72"
"9606.ENSP00000166534","P4HA2","170487"
"9606.ENSP00000167106","VASH1","86"
"9606.ENSP00000167586","KRT14","51412"
"9606.ENSP00000167588","KRT20","10881"
"9606.ENSP00000168148","SPP2","10880"
"9606.ENSP00000177648","ALPK1","81569"
"9606.ENSP00000184956","HEATR6","284382"
"9606.ENSP00000261475","PPP2R3C","87"
"9606.ENSP00000168216","HSD17B10","88"
"9606.ENSP00000168712","FGF4","81"
"9606.ENSP00000168977","NMRK2","55860"
"9606.ENSP00000169298","ST6GAL1","10121"
"9606.ENSP00000169551","TIMM21","10120"
"9606.ENSP00000170150","BPIFB2","10097"
"9606.ENSP00000170168","REXO1","10096"
"9606.ENSP00000170447","MKRN2","57180"
