"symbol1","symbol2","MF","BP","CC"
"ACHE","CAMK2A",0.465,0.454,0.424
"ACHE","HAND1",0.297,0.39,0.196
"ACP5","CD68",NA,0.053,0.487
"ACTA1","ACTA2",0.374,0.744,0.713
"ACTA1","ACTN4",0.498,0.394,0.596
"ACTA1","AKT1",0.421,0.325,0.446
"ACTA1","ARF1",0.521,0.183,0.485
"ACTA1","CSK",0.325,0.22,0.465
"ACTA1","DDOST",0.324,0.119,0.221
"ACTA1","EEF2",0.479,0.232,0.439
"ACTA1","EIF4A2",0.417,0.207,0.245
"ACTA1","EIF5A",0.468,0.186,0.279
"ACTA1","HSPB1",0.41,0.363,0.591
"ACTA1","LAMA5",0.328,0.395,0.477
"ACTA1","PFDN1",0.11,NA,NA
"ACTA1","PGK1",0.627,0.385,0.461
"ACTA1","RAPSN",0.218,0.038,0.389
"ACTA1","RPL4",0.642,0.221,0.465
"ACTA1","RPLP0",0.604,0.292,0.426
"ACTA1","RPLP2",0.568,0.221,0.471
"ACTA1","RPS9",0.551,0.308,0.466
"ACTA1","TMSB4X",0.563,0.378,0.465
"ACTA1","TNNI1",1,0.672,0.499
"ACTA1","TNNI2",0.517,0.787,0.506
"ACTA1","TPM2",0.458,0.623,0.6
"ACTA1","TMSB4Y",0.486,0.385,0.6
"ACTA1","GSPT2",0.451,0.247,0.236
"ACTA1","CTNNBL1",0.443,0.331,0.182
"ACTA1","TUBB",0.707,0.131,0.652
"ACTA1","HIST1H2AA",0.586,0.415,0.447
"ACTA1","TUBB2B",0.754,0.365,0.449
"ACTA2","ACTN4",0.374,0.354,0.664
"ACTA2","KLF6",0.374,0.587,0.344
"ACTA2","EEF2",1,0.348,0.591
"ACTA2","EIF5A",0.374,0.226,0.427
"ACTA2","HSPB1",1,0.461,0.617
"ACTA2","PGK1",0.374,0.371,0.521
"ACTA2","RPL4",0.374,0.278,0.559
"ACTA2","RPL7",0.374,0.28,0.436
"ACTA2","RPLP0",0.374,0.285,0.541
"ACTA2","RPLP2",0.374,0.278,0.517
"ACTA2","RPS9",0.374,0.33,0.561
"ACTA2","RPS23",0.374,0.28,0.401
"ACTA2","SRF",0.374,0.502,0.349
"ACTA2","TMSB4X",0.808,0.384,0.594
"ACTA2","TPM2",0.258,0.375,0.29
"ACTA2","RPL14",0.374,0.272,0.53
"ACTA2","ARPC1B",0.374,0.214,0.511
"ACTA2","GSPT2",0.374,0.291,0.346
"ACTA2","PYCR2",0.374,0.224,0.226
"ACTA2","TUBB",0.619,0.124,0.614
"ACTA2","TUBB2B",0.374,0.278,0.328
"ACTN4","AP2A1",0.38,0.364,0.368
"ACTN4","AKT1",0.409,0.485,0.658
"ACTN4","CAMK2A",0.397,0.474,0.539
"ACTN4","CSK",0.362,0.399,0.536
"ACTN4","CSNK2B",0.56,0.452,0.69
"ACTN4","DNM2",0.512,0.553,0.526
"ACTN4","EEF2",0.562,0.405,0.699
"ACTN4","FAU",1,NA,NA
"ACTN4","GNB1",0.421,0.291,0.51
"ACTN4","GNB2",0.421,0.23,0.612
"ACTN4","MDH2",0.308,0.158,0.51
"ACTN4","MSN",0.521,0.437,0.689
"ACTN4","MYL6",0.29,0.241,0.56
"ACTN4","PF4",0.441,0.481,0.571
"ACTN4","PGK1",0.426,0.313,0.472
"ACTN4","RAB5C",0.431,0.472,0.437
"ACTN4","RPL4",0.486,0.36,0.745
"ACTN4","RPL7",0.596,0.368,0.63
"ACTN4","RPL8",0.308,0.37,0.431
"ACTN4","RPL27A",0.486,0.36,0.398
"ACTN4","RPLP2",0.329,0.36,0.619
"ACTN4","RPN1",0.486,0.173,0.352
"ACTN4","SET",0.309,0.406,0.618
"ACTN4","SPARC",0.384,0.544,0.608
"ACTN4","TMSB4X",0.582,0.627,0.71
"ACTN4","TNNI2",0.483,0.36,0.491
"ACTN4","TNNT3",0.445,0.293,0.376
"ACTN4","TPM2",0.526,0.323,0.408
"ACTN4","TSC2",0.394,0.472,0.516
"ACTN4","VEGFB",0.416,0.504,0.473
"ACTN4","VWF",0.523,0.383,0.554
"ACTN4","SLC9A3R2",0.457,0.333,0.425
"ACTN4","ARPC1B",0.473,0.367,0.677
"ACTN4","TRIM3",0.327,0.156,1
"ACTN4","RPL13A",0.338,0.408,0.647
"ACTN4","TUBB",0.455,0.327,0.693
"ADAR","EGR1",0.421,0.458,0.781
