"symbol1","symbol2","MF","BP","CC"
"ACP5","CLCN7",0.023,0,0.332
"ACP5","NES",0.026,0.124,0.181
"ACP5","CD207",0.032,0,0.284
"COMP","NES",0.521,0.267,0.035
"COMP","NDP",0.222,0.274,0.707
"HRK","BBC3",0.657,0.783,0.962
"SIX3","ENTPD2",0,0.315,0.117
"SIX3","LHX2",0.945,0.686,NA
"TNFRSF13B","TNFSF13",0.329,0.654,0.035
"PRKCG","ADRBK1",NA,NA,NA
"POLD3","POLR2L",0.627,0.499,0.658
"ASB6","ANAPC2",0.657,0.359,0.925
"ANXA5","BBC3",0.225,0.497,0.171
"RPS9","GSPT2",0.482,0.649,0.292
"DCXR","NES",0.035,0.058,0.332
"SNCB","ALAS2",0.21,0.176,0.238
"ADRBK1","GIT1",NA,NA,NA
"ANAPC2","PCGF6",0.657,0.254,0.68
"COX5A","ATP5G2",NA,NA,NA
"POLR2L","ENTPD2",0.236,0.374,0.117
"LCE3B","S100A8",0,0.374,0.198
"NES","NDP",0.044,0.365,0.012
"S100A8","FCN1",0.39,0.49,0.562
"TLX1","LHX2",0.945,NA,NA
"LHX2","CRB2",0,0.469,NA
