"symbol1","symbol2","MF","BP","CC"
"NDUFB7","NDUFB10",0.999,0.999,0.915
"NDUFB7","NDUFV1",0.999,0.991,0.869
"NDUFB7","UQCRC2",0.19,0.778,0.834
"NDUFB7","UQCRQ",0.437,0.854,0.896
"NDUFB7","COX5A",0.519,0.85,0.859
"NDUFB7","NDUFB11",0,0.999,0.947
"NDUFB7","ZNHIT1",0,0.386,0.375
"NDUFB7","ACAD9",0.432,0.656,0.752
"NDUFB7","NDUFS7",0.999,0.807,0.835
"NDUFB7","SDHC",0.519,0.578,0.824
"NDUFB7","COX7C",0.474,0.631,0.898
"NDUFB7","ATP5G1",NA,NA,NA
"NDUFB7","NDUFA3",0.999,0.999,0.947
"TIMM13","CAB39",0.028,0.175,0.237
"TIMM13","CHCHD4",0.037,0.34,0.782
"TIMM13","TMPRSS9",NA,NA,NA
"TIMM13","ATP5G1",NA,NA,NA
"TIMM13","TIMM8A",0.075,0.569,0.782
"PDXP","ECE1",0.424,0.276,0.31
"PDXP","SH3GL1",0.231,0.121,0.282
"PDXP","MCL1",0.199,0.238,0.358
"PDXP","AMBP",0.15,0.231,0.192
"PDXP","COMP",0.26,0.107,0.014
"PDXP","TH",0.282,0.181,0.415
"PDXP","PPP2R4",NA,NA,NA
"PDXP","NDP",0.218,0.238,0.012
"PDXP","TYRO3",0.256,0.233,0.303
"PDXP","TNFRSF10C",0,0.133,0.247
"JOSD1","TIMM8A",0.657,0,0.21
"NIPSNAP1","B3GAT3",0.657,0,0.274
"NIPSNAP1","CHCHD2",0.657,0,0.962
"TXN2","EEF2",0.657,0.225,0.237
"TXN2","GLRX",0.184,0.366,0.241
"TXN2","APEX2",0,0.135,0.505
"TXN2","CLPP",0.657,0.593,0.729
"TXN2","SEC61A1",0.657,0.016,0.226
"TXN2","RPL8",0.098,0.446,0.213
"TXN2","MDH2",0.098,0.475,0.717
"TXN2","TXNRD2",0.657,0.018,0.715
"EFS","CRK",0.429,0.41,0.276
"GSS","TXNRD2",0.257,0.396,0.498
"GSS","CNDP2",0.145,1,0.795
"GSS","GLRX",0.111,0.169,0.95
"GSS","GGT1",0.245,0.552,0.568
"GSS","ALOX5AP",0.314,0.252,0.175
"GSS","GSTM1",0.594,0.416,0.639
"GSS","GCLM",0.199,0.633,0.498
"SRMS","ILKAP",0.657,NA,0.428
"SRMS","PPP3CC",0.338,0.333,0.548
"SRMS","CD79A",0.316,0.263,0.4
"PQBP1","SF3A2",0.473,0.535,0.521
"PQBP1","PCBP2",0.428,0.709,0.6
"PQBP1","GTF2F1",0.466,0.649,0.538
"PQBP1","POLR2L",0.148,0.562,0.729
"PQBP1","LSM2",0.424,0.427,0.589
"PQBP1","CPSF1",0.344,0.458,0.687
"PQBP1","XAB2",0.657,0.572,0.485
"PQBP1","CTNNBL1",0.27,0.511,0.522
"PQBP1","PCBP1",0.465,0.515,0.651
"PQBP1","LSM7",0.459,0.427,0.583
"PQBP1","DNM2",0.302,0.408,0.203
"PCSK1N","CPE",0.208,NA,0.948
"PCSK1N","UTS2R",0,NA,0
"USP11","MCM3AP",NA,NA,0.756
"USP11","RBM10",0.204,NA,0.599
"USP11","USP5",0.83,0.997,0.517
"ACP5","CLCN7",0.023,0,0.332
"ACP5","NES",0.026,0.124,0.181
"ACP5","TNF",0.033,0.156,0.327
"ACP5","CD207",0.032,0,0.284
"ACP5","VANGL1",0.047,0.209,NA
"MT4","MT1X",0.941,0.862,0.643
"MMP15","TNF",0.303,0.232,0.882
"MMP15","HLA-G",0.249,0.071,0.882
"TSC2","STK11",0.337,0.577,0.548
"TSC2","HRAS",0.227,0.585,0.581
"TSC2","EIF4EBP1",0.258,0.345,0.416
"TSC2","AKT1",0.42,0.611,0.508
"TSC2","CRTC2",0.289,0.148,0.404
"TSC2","PLK1",0.343,0.593,0.337
"TSC2","EEF2",0.36,0.287,0.482
"TSC2","PI3",0.176,0.205,0.311
"TSC2","CAMKK2",0.108,0.437,0.356
"TSC2","PPP2R4",NA,NA,NA
"TSC2","FKBP1C",NA,NA,NA
"ZP2","ZP3",0.557,0.39,0.714
"ZP2","FGF8",0.147,0.115,0.913
"ZP2","ALX4",0.052,0,0.315
"MAZ","HRAS",0.333,0.127,NA
"MAZ","AKT1",0.224,0.107,NA
"CSK","GNB1",0.364,0.276,0.709
"CSK","HRAS",0.427,0.433,0.678
"CSK","VWF",0.363,0.351,0.502
"CSK","STAT3",0.311,0.317,0.527
"CSK","HLA-DQA2",0,0.486,0.445
"CSK","ARRB2",0.318,0.445,0.666
"CSK","RHOG",0.409,0.388,0.635
"CSK","ILKAP",0.657,NA,0.412
"CSK","PPP3CC",0.306,0.267,0.467
"CSK","ACTN4",0.258,0.369,0.429
"CSK","AKT1",0.571,0.381,0.579
"CSK","ITGA2B",0.45,0.378,0.555
"CSK","HLA-DRA",0.205,0.431,0.462
"CSK","HCK",0.551,0.484,0.462
"CSK","PPP2R4",NA,NA,NA
"CSK","PLAUR",0.284,0.425,0.37
"CSK","DNM2",0.344,0.34,0.438
"CSK","CD79A",0.426,0.518,0.448
"CSK","PORCN",0.332,0.333,0.295
"CSK","ACTA1",0.206,0.176,0.395
"CSK","HLA-DRB1",0.029,0.47,0.469
"CTSH","BID",0.125,0.372,0.274
"CTSH","HLA-DRB1",0.014,0.314,0.509
"CTSH","HLA-DQA2",0.322,0.334,0.406
"CTSH","HLA-DRA",0.149,0.387,0.531
"PYCRL","PYCR2",NA,NA,NA
"PYCRL","PRODH",NA,NA,NA
"EXOSC5","RPL7",0.23,0.629,0.541
"EXOSC5","RPL27A",0.282,0.466,0.395
"EXOSC5","RPL11",0.238,0.509,0.589
"EXOSC5","RPLP2",0.328,0.466,0.348
"EXOSC5","RPS9",0.209,0.569,0.578
"EXOSC5","RPS2",0.243,0.584,0.519
"EXOSC5","RPL4",0.282,0.466,0.528
"EXOSC5","RPL36AL",0.657,NA,0.494
"EXOSC5","RPL18",0.049,0.456,0.523
"EXOSC5","RPL15",0.271,0.456,0.547
"EXOSC5","RPL13A",0.053,0.535,0.536
"EXOSC5","MPHOSPH6",0.657,0.544,0.784
"EXOSC5","RPL41",0.049,0.456,0.409
"EXOSC5","ZFP36L1",0.173,0.375,0.563
"EXOSC5","RPLP0",0.242,0.489,0.435
"EXOSC5","RPL35",0.053,0.555,0.543
"EXOSC5","RPL30",0.282,0.52,0.425
"EXOSC5","RPL14",0.271,0.618,0.356
"EXOSC5","RPL32",0.049,0.456,0.377
"EXOSC5","KHSRP",0.291,0.621,0.724
"EXOSC5","KPNA6",0.272,0,0.53
"EXOSC5","RPL8",0.049,0.456,0.315
"EXOSC5","EXOSC7",0.576,0.864,0.825
"EXOSC5","EXOSC3",0.682,0.927,0.925
"EXOSC5","RPL10",0.235,0.497,0.487
"EXOSC5","RPL37",0.049,0.466,0.415
"EXOSC5","RPL37A",0.282,0.466,0.483
"PAF1","GTF2F1",0.399,0.577,0.598
"PAF1","POLR2L",0.181,0.545,0.536
"PAF1","CSNK2B",0.389,0.394,0.449
"PAF1","KLC2",0.322,0.081,0.471
"PAF1","KIAA0101",NA,NA,NA
"PAF1","GTF2H4",0.182,0.518,0.52
"PAF1","IFIT2",0.33,0.297,0.283
"RELB","NFKB2",0.738,0.627,0.619
"RELB","PSMB4",0.176,0.147,0.583
"RELB","PSME4",0.163,0.345,0.637
"RELB","PSMA7",0.187,0.147,0.546
"RELB","STAT3",0.672,0.549,0.613
"RELB","TRAF5",0.278,0.467,0.616
"RELB","TNF",0.456,0.525,0.06
"RELB","NFKBIB",0.344,0.419,0.925
"RELB","AKT1",0.233,0.465,0.705
"RELB","ANXA5",0.199,0.393,0.241
"RELB","DAXX",0.409,0.44,0.6
"RELB","IRF3",0.665,0.663,0.601
"RELB","CORT",0.089,0.232,0
"SF3A2","RANGAP1",0.516,0.015,0.303
"SF3A2","AGPAT1",0.353,0.173,0.198
"SF3A2","LSM2",0.65,0.869,0.753
"SF3A2","PCBP2",0.63,0.554,0.374
"SF3A2","GTF2F1",0.399,0.564,0.498
"SF3A2","POLR2L",0.186,0.556,0.506
"SF3A2","RBM10",0.596,NA,0.438
"SF3A2","EEF2",0.605,0.286,0.391
"SF3A2","CPSF1",0.537,0.759,0.552
"SF3A2","EIF4G3",0.674,0.34,0.201
"SF3A2","XAB2",0.657,0.775,0.705
"SF3A2","CTNNBL1",0.436,0.68,0.687
"SF3A2","LSM7",0.751,0.869,0.796
"SF3A2","PCBP1",0.664,0.755,0.482
"FSD1","SRF",0.176,0.137,0.2
"FSD1","MYOG",0.177,0.18,0.162
"FSD1","RPS2",0.14,0.183,0.18
"CD79A","SELL",0.227,0.46,0.635
"CD79A","SLC3A2",0.242,0.217,0.537
"CD79A","IL13",0.657,0.212,0
"CD79A","VWF",0.418,0.357,0.197
"CD79A","IL7R",0.271,0.474,0.583
"CD79A","CD7",0,0.618,0.503
"CD79A","AKT1",0.322,0.25,0.367
"CD79A","CXCR4",0.191,0.319,0.58
"CD79A","UNG",0.278,0.127,0.08
"CD79A","GGT1",0.314,0.181,0.459
"CD79A","COX5A",0.314,0.018,0.296
"CD79A","CD68",NA,0.719,0.569
"CD79A","TNF",0.421,0.309,0.661
"CD79A","VAV1",0.268,0.505,0.457
"CD79A","SPN",0.17,0.403,0.492
"CD79A","CD72",0.379,0,0.544
"CD79A","HLA-DRB1",0.043,0.516,0.626
"CD79A","TNFRSF13B",0.392,0.592,0.882
"CD79A","CFP",0.392,0.565,0.148
"CD79A","MGAM",0,0.43,0.553
"CD79A","S100A8",0.249,0.35,0.328
"CD79A","AMBP",0.38,0.265,0.45
"CD79A","SOS1",0.314,0.429,0.422
"LIM2","GJA8",NA,0,0.643
"LIM2","FTL",NA,0.022,0.122
"RABAC1","RAB5C",0.332,NA,0.566
"DBP","CEBPA",0.58,0.398,0.811
"DBP","BATF",0.787,0.111,0.811
"MLL4","HCFC1",NA,NA,NA
"MLL4","HDAC3",NA,NA,NA
"COMP","TNFRSF10C",0,0.352,0
"COMP","UNG",0.261,0.014,0.109
"COMP","HINT1",0.138,0.164,0.457
"COMP","TYRO3",0.167,0.33,0.064
"COMP","MICAL1",0.268,0.231,0.023
"COMP","FOXM1",0.235,0.236,0.176
"COMP","ITGA2B",0.237,0.406,0.569
"COMP","NES",0.521,0.267,0.035
"COMP","TH",0.292,0.316,0.15
"COMP","ECE1",0.285,0.278,0.42
"COMP","SH3GL1",0.235,0.309,0
"COMP","MCL1",0.204,0.411,0.064
"COMP","COL9A3",0.319,0.479,0.741
"COMP","NDP",0.222,0.274,0.707
"COMP","ZBTB32",0.292,0.127,0.1
"COMP","RAB5C",0.33,0.087,0.528
"COMP","TNIP1",0.279,0.112,0.05
"COMP","AMBP",0.219,0.186,0.695
"HAMP","GDF15",NA,0.305,0.57
"HAMP","STAT3",NA,0.406,0
"HAMP","TNF",NA,0.375,0.338
"HAMP","FTL",NA,0.588,0.351
"DLX5","FGF8",0.016,0.557,0
"DLX5","MSX1",0.443,0.288,0.546
"DLX5","WNT10B",0.03,0.544,0
"MOSPD3","OSBPL1A",NA,NA,NA
"MOSPD3","ISYNA1",NA,NA,NA
"FIS1","RHOT2",0.342,0.691,0.672
"FIS1","DNM2",0.305,0.464,0.286
"FIS1","ZNHIT1",0.376,0.297,0.241
"C8G","LCN1",NA,0.678,0.821
"C8G","VTN",NA,0.999,0.701
"ACTA2","MYL2",0.245,0.468,0.27
"ACTA2","RASL10B",NA,0.267,NA
"ACTA2","EGR1",0.483,0.498,0.217
"ACTA2","MYL6",0.245,0.446,0.467
"ACTA2","TMSB4X",0.773,0.351,0.466
"ACTA2","PRKCG",0,0.295,0.348
"ACTA2","ANXA5",0.788,0.22,0.475
"ACTA2","GSPT2",0.245,0.264,0.289
"ACTA2","RHOG",0.99,0.342,0.528
"ACTA2","DYNC1H1",0.245,0.09,0.455
"ACTA2","EEF2",0.99,0.322,0.497
"ACTA2","MYO18B",NA,NA,0.334
"ACTA2","ACTN4",0.245,0.313,0.561
"ACTA2","TNNT2",0.245,0.482,0.283
"ACTA2","HK3",0,0.195,0.47
"ACTA2","RPL14",0.245,0.248,0.471
"ACTA2","RPS23",0.245,0.253,0.327
"ACTA2","CALML5",0.045,0.237,0.403
"ACTA2","ARPC4",0.773,0.181,0.468
"ACTA2","VWF",0.55,0.134,0.436
"ACTA2","OBSCN",0.623,0.267,0.23
"ACTA2","TUBB",0.593,0.071,0.515
"ACTA2","SRF",0.245,0.474,0.217
"ACTA2","DIRAS3",0.245,0.212,NA
"ACTA2","ARPC5",0.245,0.146,0.469
"ACTA2","RPL18",0.053,0.269,0.283
"ACTA2","AKT1",0.773,0.322,0.44
"ACTA2","CDC25A",0.99,0.178,0.32
"ACTA2","MYL3",0.112,0.481,0.285
"ACTA2","PGK1",0.245,0.335,0.472
"ACTA2","PLK1",0.99,0.193,0.233
"ACTA2","CALB2",0.045,0.125,0.387
"ACTA2","SMARCD3",0.179,0.46,0.175
"ACTA2","TUBB2B",0.245,0.243,0.201
"ACTA2","TNF",0.55,0.389,0.272
"ACTA2","DIRAS2",0.042,NA,0.035
"ACTA2","DNAH11",0.113,0.124,0.416
"ACTA2","HDAC3",0.773,0.328,0.324
"ACTA2","DNM2",0.773,0.312,0.393
"ACTA2","SP1",0.544,0.624,0.185
"ACTA2","FAU",0.053,NA,NA
"ACTA2","ARPC1B",0.245,0.178,0.453
"ACTA2","MYO1A",NA,0.181,0.332
"ACTA2","RHOBTB1",0.99,0.188,0.292
"ACTA2","HRAS",0.245,0.41,0.312
"ACTA2","GABARAP",0.593,0.156,0.349
"ACTA2","CABP2",0,0.333,0.117
"ACTA2","TPM2",0.169,0.341,0.225
"ACTA2","ZNHIT1",0.544,0.126,0.144
"WNT3","GBX2",0,0.857,NA
"WNT3","DHH",0.313,NA,NA
"WNT3","MSX1",0.113,0.404,0.201
"WNT3","AKT1",0.227,0.416,0.412
"WNT3","TCF7",0.215,0.45,0.243
"WNT3","EVX1",0,NA,0.458
"WNT3","PORCN",0,0.345,0.333
"WNT3","WNT10B",0.845,0.746,0.456
"WNT3","WNT11",0.65,0.602,0.494
"WNT3","FGF8",0.224,0.544,0.913
"PIGL","MSX1",0,0.011,0.295
"PIGL","GYS1",0.129,0.313,0.359
