"symbol1","symbol2","MF","BP","CC"
"ACHE","CAMK2A",0.369,0.435,0.336
"ACHE","HAND1",0.23,0.356,0.126
"ACP5","CD68",NA,0.018,0.358
"ACTA1","ACTA2",0.245,0.735,0.666
"ACTA1","ACTN4",0.413,0.362,0.546
"ACTA1","AKT1",0.341,0.282,0.389
"ACTA1","ARF1",0.415,0.161,0.425
"ACTA1","CSK",0.206,0.176,0.395
"ACTA1","DDOST",0.203,0.081,0.158
"ACTA1","EEF2",0.352,0.207,0.374
"ACTA1","EIF4A2",0.308,0.178,0.191
"ACTA1","EIF5A",0.352,0.16,0.209
"ACTA1","HSPB1",0.291,0.327,0.536
"ACTA1","LAMA5",0.273,0.365,0.413
"ACTA1","PFDN1",0.067,NA,NA
"ACTA1","PGK1",0.545,0.349,0.411
"ACTA1","RAPSN",0.143,0.013,0.348
"ACTA1","RPL4",0.517,0.189,0.412
"ACTA1","RPLP0",0.488,0.262,0.371
"ACTA1","RPLP2",0.426,0.189,0.434
"ACTA1","RPS9",0.445,0.277,0.413
"ACTA1","TMSB4X",0.443,0.346,0.378
"ACTA1","TNNI1",0.657,0.653,0.473
"ACTA1","TNNI2",0.402,0.774,0.466
"ACTA1","TPM2",0.389,0.6,0.575
"ACTA1","TMSB4Y",0.357,0.368,0.403
"ACTA1","GSPT2",0.337,0.215,0.185
"ACTA1","CTNNBL1",0.279,0.289,0.115
"ACTA1","TUBB",0.612,0.096,0.601
"ACTA1","HIST1H2AA",0.506,0.391,0.394
"ACTA1","TUBB2B",0.648,0.342,0.389
"ACTA2","ACTN4",0.245,0.313,0.561
"ACTA2","KLF6",0.245,0.555,0.249
"ACTA2","EEF2",0.99,0.322,0.497
"ACTA2","EIF5A",0.245,0.206,0.325
"ACTA2","HSPB1",0.99,0.426,0.52
"ACTA2","PGK1",0.245,0.335,0.472
"ACTA2","RPL4",0.245,0.252,0.468
"ACTA2","RPL7",0.245,0.256,0.337
"ACTA2","RPLP0",0.245,0.252,0.45
"ACTA2","RPLP2",0.245,0.252,0.465
"ACTA2","RPS9",0.245,0.304,0.469
"ACTA2","RPS23",0.245,0.253,0.327
"ACTA2","SRF",0.245,0.474,0.217
"ACTA2","TMSB4X",0.773,0.351,0.466
"ACTA2","TPM2",0.169,0.341,0.225
"ACTA2","RPL14",0.245,0.248,0.471
"ACTA2","ARPC1B",0.245,0.178,0.453
"ACTA2","GSPT2",0.245,0.264,0.289
"ACTA2","PYCR2",0.245,0.187,0.145
"ACTA2","TUBB",0.593,0.071,0.515
"ACTA2","TUBB2B",0.245,0.243,0.201
"ACTN4","AP2A1",0.271,0.336,0.314
"ACTN4","AKT1",0.332,0.455,0.548
"ACTN4","CAMK2A",0.319,0.446,0.44
"ACTN4","CSK",0.258,0.369,0.429
"ACTN4","CSNK2B",0.488,0.424,0.591
"ACTN4","DNM2",0.422,0.526,0.454
"ACTN4","EEF2",0.464,0.369,0.599
"ACTN4","FAU",0.959,NA,NA
"ACTN4","GNB1",0.312,0.236,0.442
"ACTN4","GNB2",0.312,0.171,0.548
"ACTN4","MDH2",0.249,0.113,0.42
"ACTN4","MSN",0.434,0.411,0.61
"ACTN4","MYL6",0.18,0.217,0.498
"ACTN4","PF4",0.345,0.453,0.471
"ACTN4","PGK1",0.331,0.27,0.41
"ACTN4","RAB5C",0.331,0.448,0.38
"ACTN4","RPL4",0.38,0.321,0.652
"ACTN4","RPL7",0.51,0.33,0.531
"ACTN4","RPL8",0.249,0.331,0.369
"ACTN4","RPL27A",0.38,0.321,0.328
"ACTN4","RPLP2",0.204,0.321,0.558
"ACTN4","RPN1",0.38,0.114,0.28
"ACTN4","SET",0.192,0.366,0.506
"ACTN4","SPARC",0.273,0.521,0.523
"ACTN4","TMSB4X",0.484,0.61,0.564
"ACTN4","TNNI2",0.378,0.329,0.405
"ACTN4","TNNT3",0.354,0.267,0.311
"ACTN4","TPM2",0.485,0.296,0.354
"ACTN4","TSC2",0.283,0.448,0.413
"ACTN4","VEGFB",0.324,0.48,0.427
"ACTN4","VWF",0.446,0.345,0.495
"ACTN4","SLC9A3R2",0.352,0.296,0.364
"ACTN4","ARPC1B",0.375,0.337,0.616
"ACTN4","TRIM3",0.203,0.108,0.67
"ACTN4","RPL13A",0.281,0.373,0.557
"ACTN4","TUBB",0.375,0.277,0.594
"ADAR","EGR1",0.337,0.433,0.641
"ADAR","IFIT2",0.55,0.511,0.331
"ADAR","IRF2",0.333,0.641,0.469
"ADAR","IRF3",0.314,0.501,0.617
"ADAR","IRF7",0.362,0.565,0.618
"ADAR","NONO",0.431,0.427,0.615
"ADAR","NPM1",0.285,0.416,0.611
"ADAR","PCBP1",0.526,0.439,0.619
"ADAR","PSMB4",0.356,0.186,0.501
"ADAR","RPL11",0.458,0.395,0.625
"ADAR","RPS2",0.443,0.363,0.572
"ADAR","RPL35",0.425,0.298,0.618
"ADCY1","FSHR",0,0.514,0.565
"ADCY1","GNAI2",0.079,0.475,0.6
"ADCY1","GNB2",0.092,0.394,0.603
"ADCY1","GRM4",0,0.496,0.7
"ADCY1","HRAS",0.079,0.311,0.578
"ADCY1","HTR4",0,0.491,0.627
"ADCY1","NPY",0,0.379,0.399
"ADCY1","SCTR",0,0.42,0.473
"ADCY1","CXCR4",0,0.414,0.555
"ADCY1","ADM2",0,0.415,0.724
"ADCY1","NPW",0,0.392,0.724
"AP2A1","ARRB2",0.519,0.489,0.678
"AP2A1","CAMK2A",0.301,0.39,0.585
"AP2A1","CD22",0.41,0.397,0.491
"AP2A1","CRK",0.466,0.44,0.411
"AP2A1","CSNK2B",0.287,0.391,0.504
"AP2A1","DNM2",0.362,0.577,0.533
"AP2A1","EEF2",0.439,0.342,0.533
"AP2A1","EIF5A",0.247,0.33,0.479
"AP2A1","HLA-DRB1",0.038,0.306,0.71
"AP2A1","PPP3CC",0.294,0.119,0.307
"AP2A1","RAB5B",0.257,0.515,0.657
"AP2A1","RAB5C",0.272,0.46,0.67
"AP2A1","RPN1",0.279,0.131,0.479
"AP2A1","RPS9",0.223,0.351,0.447
"AP2A1","RAB11B",0.234,0.49,0.664
"AP2A1","PIP5K1C",0.232,0.504,0.486
"AP2A1","RPL13A",0.056,0.396,0.385
"AP2A1","BIN2",0.321,0.403,0.49
"AP2A1","EPN3",0.657,NA,0.491
"AKT1","ARF1",0.434,0.368,0.562
"AKT1","ARRB2",0.285,0.559,0.682
"AKT1","BAD",0.46,0.615,0.364
"AKT1","ZFP36L1",0.298,0.593,0.605
"AKT1","CAMK2A",0.635,0.551,0.593
"AKT1","CRK",0.209,0.528,0.685
"AKT1","CSK",0.571,0.381,0.579
"AKT1","DDOST",0.299,0.295,0.527
"AKT1","EEF2",0.285,0.288,0.626
"AKT1","EGR1",0.284,0.493,0.521
"AKT1","EIF4EBP1",0.167,0.302,0.358
"AKT1","FOXM1",0.25,0.471,0.938
"AKT1","FLII",0.184,NA,0.612
"AKT1","GATA2",0.193,0.508,0.521
"AKT1","GNAI2",0.357,0.351,0.704
"AKT1","GNB2",0.307,0.184,0.491
"AKT1","GYS1",0.367,0.957,0.364
"AKT1","HRAS",0.388,0.619,0.511
"AKT1","HSPB1",0.443,0.606,0.602
"AKT1","IRF3",0.33,0.441,0.598
"AKT1","ITGA2B",0.32,0.213,0.349
"AKT1","ITGB4",0.18,0.325,0.312
"AKT1","MCL1",0.321,0.472,0.549
"AKT1","MEF2D",0.217,0.296,0.477
"AKT1","MSN",0.301,0.49,0.491
"AKT1","NONO",0.325,0.378,0.512
"AKT1","NPM1",0.345,0.573,0.692
"AKT1","PCBP1",0.242,0.132,0.689
"AKT1","SERPINB5",0.237,0.998,0.214
"AKT1","PLK1",0.695,0.526,0.644
"AKT1","PPP2R5A",0.366,0.325,0.624
"AKT1","PSMA7",0.391,0.17,0.594
"AKT1","PSMB4",0.266,0.17,0.628
"AKT1","PSMC4",0.266,0.234,0.565
"AKT1","RPL7",0.349,0.274,0.587
"AKT1","RPS2",0.288,0.32,0.648
"AKT1","RPS9",0.207,0.34,0.677
"AKT1","SDHC",0.141,0.233,0.311
"AKT1","SOS1",0.339,0.532,0.483
"AKT1","ST14",0.116,0.212,0.254
"AKT1","STAT3",0.373,0.627,0.712
"AKT1","STAT5A",0.37,0.494,0.512
"AKT1","STK11",0.593,0.58,0.657
"AKT1","TNF",0.399,0.712,0.321
"AKT1","TPM2",0.312,0.152,0.43
"AKT1","TSC2",0.42,0.611,0.508
"AKT1","NCK2",0.176,0.502,0.405
"AKT1","PIAS1",0.329,0.456,0.435
"AKT1","KHSRP",0.231,0.394,0.586
"AKT1","HDAC3",0.297,0.529,0.694
"AKT1","SPHK1",0.458,0.571,0.483
"AKT1","NUDC",0.184,0.101,0.552
"AKT1","PLEKHO1",0.657,NA,NA
"AKT1","SYTL1",0.179,0.385,0.436
"AKT1","RASL10B",NA,0.223,NA
"AKT1","TUBB",0.317,0.179,0.548
"ALAS2","SARDH",0.082,0.221,0.839
"ALAS2","HBD",0.466,0.375,0.187
"ALAS2","LSS",0.128,0.316,0.246
"ALAS2","MDH2",0.091,0.134,0.74
"ALAS2","NDUFV1",0.147,0.112,0.833
"ALAS2","FIS1",0.292,0.244,0.593
"ALOX5AP","CD53",0.657,0.219,0.354
"ALOX5AP","CD68",NA,0.155,0.509
"ALOX5AP","HLA-DRB1",0.024,0.258,0.454
"ALOX5AP","PLP2",0.19,0.227,0.695
"ALOX5AP","S100A6",0.232,0.205,0.445
"ALOX5AP","TBXAS1",0.142,0.526,0.867
"ALOX5AP","LST1",NA,0.136,0.479
"ALOX5AP","VAMP8",0.192,0.165,0.415
"AMBP","CD79A",0.38,0.265,0.45
"ANXA5","EEF2",0.253,0.274,0.583
