"symbol1","symbol2","MF","BP","CC"
"ACP5","CLCN7",0.18,0.152,0.494
"ACP5","NES",0.23,0.254,0.482
"ACP5","CD207",0.245,0.08,0.375
"COMP","NES",0.478,0.428,0.16
"COMP","NDP",0.606,0.441,0.694
"HRK","BBC3",1,0.626,1
"SIX3","ENTPD2",0.141,0.202,0.318
"SIX3","LHX2",1,0.677,NA
"TNFRSF13B","TNFSF13",0.815,0.541,0.425
"PRKCG","ADRBK1",NA,NA,NA
"POLD3","POLR2L",0.605,0.625,0.792
"ASB6","ANAPC2",1,0.663,1
"ANXA5","BBC3",0.491,0.402,0.337
"RPS9","GSPT2",0.707,0.693,0.476
"DCXR","NES",0.38,0.192,0.5
"SNCB","ALAS2",0.311,0.251,0.509
"ADRBK1","GIT1",NA,NA,NA
"ANAPC2","PCGF6",1,0.252,0.776
"COX5A","ATP5G2",NA,NA,NA
"POLR2L","ENTPD2",0.149,0.466,0.252
"LCE3B","S100A8",0.34,0.351,0.471
"NES","NDP",0.474,0.432,0.299
"S100A8","FCN1",0.542,0.349,0.687
"TLX1","LHX2",1,NA,NA
"LHX2","CRB2",0.173,0.564,NA
