"symbol1","symbol2","MF","BP","CC"
"ACP5","CLCN7",0.056,0,0.468
"ACP5","NES",0.064,0.168,0.29
"ACP5","CD207",0.08,0,0.387
"COMP","NES",0.53,0.31,0.067
"COMP","NDP",0.353,0.336,0.753
"HRK","BBC3",1,0.792,1
"SIX3","ENTPD2",0,0.356,0.225
"SIX3","LHX2",1,0.72,NA
"TNFRSF13B","TNFSF13",0.501,0.68,0.155
"PRKCG","ADRBK1",NA,NA,NA
"POLD3","POLR2L",0.728,0.52,0.731
"ASB6","ANAPC2",1,0.384,1
"ANXA5","BBC3",0.331,0.521,0.266
"RPS9","GSPT2",0.573,0.664,0.362
"DCXR","NES",0.086,0.067,0.426
"SNCB","ALAS2",0.246,0.236,0.337
"ADRBK1","GIT1",NA,NA,NA
"ANAPC2","PCGF6",1,0.286,0.747
"COX5A","ATP5G2",NA,NA,NA
"POLR2L","ENTPD2",0.296,0.422,0.211
"LCE3B","S100A8",0,0.401,0.296
"NES","NDP",0.109,0.41,0.056
"S100A8","FCN1",0.467,0.51,0.62
"TLX1","LHX2",1,NA,NA
"LHX2","CRB2",0,0.492,NA
