"symbol1","symbol2","MF","BP","CC"
"NDUFB7","NDUFB10",0.644,0.632,0.44
"NDUFB7","NDUFV1",0.644,0.628,0.379
"NDUFB7","UQCRC2",0.142,0.506,0.399
"NDUFB7","UQCRQ",0.321,0.609,0.408
"NDUFB7","COX5A",0.321,0.609,0.428
"NDUFB7","NDUFB11",0,0.605,0.418
"NDUFB7","ZNHIT1",0,0.261,0.191
"NDUFB7","ACAD9",0.321,0.412,0.299
"NDUFB7","NDUFS7",0.644,0.511,0.427
"NDUFB7","SDHC",0.321,0.389,0.397
"NDUFB7","COX7C",0.321,0.425,0.408
"NDUFB7","ATP5G1",NA,NA,NA
"NDUFB7","NDUFA3",0.644,0.632,0.418
"TIMM13","CAB39",0.02,0.131,0.129
"TIMM13","CHCHD4",0.023,0.29,0.389
"TIMM13","TMPRSS9",NA,NA,NA
"TIMM13","ATP5G1",NA,NA,NA
"TIMM13","TIMM8A",0.046,0.424,0.389
"PDXP","ECE1",0.171,0.232,0.128
"PDXP","SH3GL1",0.058,0.076,0.071
"PDXP","MCL1",0.056,0.173,0.097
"PDXP","AMBP",0.043,0.183,0.067
"PDXP","COMP",0.102,0.077,0.01
"PDXP","TH",0.111,0.154,0.158
"PDXP","PPP2R4",NA,NA,NA
"PDXP","NDP",0.065,0.148,0.02
"PDXP","TYRO3",0.103,0.156,0.109
"PDXP","TNFRSF10C",0,0.104,0.082
"JOSD1","TIMM8A",0.095,0,0.085
"NIPSNAP1","B3GAT3",0.095,0,0.113
"NIPSNAP1","CHCHD2",0.095,0,0.286
"TXN2","EEF2",0.095,0.173,0.099
"TXN2","GLRX",0.095,0.284,0.101
"TXN2","APEX2",0,0.123,0.207
"TXN2","CLPP",0.095,0.355,0.278
"TXN2","SEC61A1",0.095,0.034,0.104
"TXN2","RPL8",0.046,0.308,0.104
"TXN2","MDH2",0.046,0.35,0.265
"TXN2","TXNRD2",0.095,0.034,0.262
"EFS","CRK",0.179,0.212,0.051
"GSS","TXNRD2",0.089,0.213,0.143
"GSS","CNDP2",0.142,0.729,0.237
"GSS","GLRX",0.094,0.114,0.276
"GSS","GGT1",0.094,0.335,0.191
"GSS","ALOX5AP",0.16,0.166,0.079
"GSS","GSTM1",0.329,0.294,0.207
"GSS","GCLM",0.187,0.366,0.142
"SRMS","ILKAP",0.095,NA,0.115
"SRMS","PPP3CC",0.115,0.187,0.123
"SRMS","CD79A",0.063,0.138,0.227
"PQBP1","SF3A2",0.121,0.257,0.187
"PQBP1","PCBP2",0.116,0.378,0.151
"PQBP1","GTF2F1",0.162,0.3,0.18
"PQBP1","POLR2L",0.034,0.269,0.233
"PQBP1","LSM2",0.128,0.218,0.181
"PQBP1","CPSF1",0.118,0.231,0.218
"PQBP1","XAB2",0.095,0.279,0.149
"PQBP1","CTNNBL1",0.06,0.263,0.14
"PQBP1","PCBP1",0.151,0.239,0.212
"PQBP1","LSM7",0.132,0.218,0.187
"PQBP1","DNM2",0.096,0.186,0.075
"PCSK1N","CPE",0.111,NA,0.259
"PCSK1N","UTS2R",0,NA,0
"USP11","MCM3AP",NA,NA,0.188
"USP11","RBM10",0.047,NA,0.165
"USP11","USP5",0.385,0.477,0.154
"ACP5","CLCN7",0.023,0,0.104
"ACP5","NES",0.046,0.087,0.057
"ACP5","TNF",0.041,0.129,0.124
"ACP5","CD207",0.038,0,0.116
"ACP5","VANGL1",0.046,0.14,NA
"MT4","MT1X",0.252,0.607,0.117
"MMP15","TNF",0.104,0.136,0.187
"MMP15","HLA-G",0.058,0.061,0.187
"TSC2","STK11",0.133,0.333,0.134
"TSC2","HRAS",0.069,0.311,0.164
"TSC2","EIF4EBP1",0.074,0.211,0.117
"TSC2","AKT1",0.167,0.365,0.135
"TSC2","CRTC2",0.083,0.097,0.098
"TSC2","PLK1",0.125,0.321,0.117
"TSC2","EEF2",0.128,0.163,0.135
"TSC2","PI3",0.089,0.14,0.109
"TSC2","CAMKK2",0.068,0.251,0.112
"TSC2","PPP2R4",NA,NA,NA
"TSC2","FKBP1C",NA,NA,NA
"ZP2","ZP3",0.266,0.326,0.212
"ZP2","FGF8",0.094,0.089,0.214
"ZP2","ALX4",0.031,0,0.101
"MAZ","HRAS",0.11,0.08,NA
"MAZ","AKT1",0.07,0.077,NA
"CSK","GNB1",0.141,0.179,0.209
"CSK","HRAS",0.179,0.246,0.152
"CSK","VWF",0.137,0.216,0.193
"CSK","STAT3",0.123,0.193,0.13
"CSK","HLA-DQA2",0,0.29,0.168
"CSK","ARRB2",0.123,0.267,0.169
"CSK","RHOG",0.168,0.243,0.171
"CSK","ILKAP",0.095,NA,0.117
"CSK","PPP3CC",0.111,0.157,0.102
"CSK","ACTN4",0.094,0.255,0.128
"CSK","AKT1",0.21,0.229,0.142
"CSK","ITGA2B",0.129,0.249,0.193
"CSK","HLA-DRA",0.057,0.268,0.175
"CSK","HCK",0.214,0.273,0.137
"CSK","PPP2R4",NA,NA,NA
"CSK","PLAUR",0.094,0.238,0.127
"CSK","DNM2",0.134,0.214,0.132
"CSK","CD79A",0.129,0.323,0.169
"CSK","PORCN",0.224,0.188,0.107
"CSK","ACTA1",0.06,0.108,0.139
"CSK","HLA-DRB1",0.034,0.3,0.175
"CTSH","BID",0.028,0.197,0.106
"CTSH","HLA-DRB1",0.015,0.188,0.253
"CTSH","HLA-DQA2",0.298,0.179,0.216
"CTSH","HLA-DRA",0.066,0.22,0.26
"PYCRL","PYCR2",NA,NA,NA
"PYCRL","PRODH",NA,NA,NA
"EXOSC5","RPL7",0.053,0.382,0.173
"EXOSC5","RPL27A",0.047,0.297,0.16
"EXOSC5","RPL11",0.054,0.315,0.193
"EXOSC5","RPLP2",0.048,0.297,0.145
"EXOSC5","RPS9",0.04,0.351,0.181
"EXOSC5","RPS2",0.063,0.36,0.164
"EXOSC5","RPL4",0.047,0.297,0.171
"EXOSC5","RPL36AL",0.095,NA,0.165
"EXOSC5","RPL18",0.023,0.29,0.181
"EXOSC5","RPL15",0.055,0.29,0.183
"EXOSC5","RPL13A",0.028,0.342,0.182
