"symbol1","symbol2","MF","BP","CC"
"OSBPL7","MOSPD3",NA,NA,NA
"PGLYRP1","DLG5",0.103,0.312,0.366
"PGLYRP1","HSPBP1",0.101,0.024,0.689
"SCTR","HTR4",0.548,0.739,0.78
"SCTR","FSHR",0.535,0.459,0.714
"SCTR","GNB1",0.205,0.531,0.647
"SCTR","ADM2",0.134,0.633,0.599
"SCTR","GNB2",0.205,0.611,0.63
"SCTR","ADCY1",0,0.446,0.764
"SCTR","P2RY11",0.479,0.509,0.774
"SCTR","GPR20",0.858,0.638,0.694
"PIGQ","PIGL",0,0.761,1
"RTN4R","GNB1",0.561,0.487,0.689
"RTN4R","HRAS",0.557,0.583,0.648
"RTN4R","CAB39",0.502,0.424,0.625
"RTN4R","DIRAS3",1,0.323,NA
"RTN4R","AKT1",0.549,0.44,0.671
"RTN4R","GNAI2",0.549,0.469,0.679
"RTN4R","DIRAS2",0.594,NA,1
"RTN4R","EEF1G",0.555,0.142,0.712
"RTN4R","TYRO3",0.64,0.502,0.714
"RTN4R","RASL10B",NA,0.141,NA
"RTN4R","GNB2",0.561,0.308,0.675
"RTN4R","RTN2",1,NA,0.476
"RTN4R","PPP3CC",0.495,0.129,0.509
"RTN4R","SH3GL1",0.582,0.582,0.616
"RTN4R","MCL1",0.509,0.427,0.603
"PSMA4","EXOSC5",0.728,0.376,0.717
"PSMA4","ACHE",0.564,0.207,0.646
"PSMA4","NFKB2",0.655,0.393,0.752
"PSMA4","PSMA7",0.954,1,0.948
"PSMA4","UQCRQ",0.118,0.133,0.559
"PSMA4","PSMC4",0.821,0.803,0.868
"PSMA4","PPIB",0.581,0.118,0.723
"PSMA4","PPP2R5A",0.615,0.324,0.714
"PSMA4","CDC25A",0.692,0.368,0.802
"PSMA4","RPN1",0.674,0.627,0.631
"PSMA4","PLK1",0.636,0.282,0.654
"PSMA4","TNF",0.676,0.156,0.568
"PSMA4","RELB",0.649,0.242,0.774
"PSMA4","PSMB4",1,1,0.955
