"symbol1","symbol2","MF","BP","CC"
"OSBPL7","MOSPD3",NA,NA,NA
"PGLYRP1","DLG5",0.063,0.348,0.113
"PGLYRP1","HSPBP1",0.052,0.098,0.264
"SCTR","HTR4",0.571,0.657,0.587
"SCTR","FSHR",0.526,0.463,0.557
"SCTR","GNB1",0.063,0.508,0.478
"SCTR","ADM2",0.093,0.52,0
"SCTR","GNB2",0.063,0.52,0.379
"SCTR","ADCY1",0,0.458,0.568
"SCTR","P2RY11",0.496,0.471,0.696
"SCTR","GPR20",0.837,0.6,0.557
"PIGQ","PIGL",0.161,0.782,1
"RTN4R","GNB1",0.315,0.456,0.663
"RTN4R","HRAS",0.448,0.577,0.422
"RTN4R","CAB39",0.263,0.419,0.324
"RTN4R","DIRAS3",1,0.368,NA
"RTN4R","AKT1",0.352,0.419,0.421
"RTN4R","GNAI2",0.413,0.393,0.503
"RTN4R","DIRAS2",0.597,NA,1
"RTN4R","EEF1G",0.368,0.167,0.5
"RTN4R","TYRO3",0.533,0.486,0.544
"RTN4R","RASL10B",NA,0.283,NA
"RTN4R","GNB2",0.315,0.266,0.519
"RTN4R","RTN2",1,NA,0.372
"RTN4R","PPP3CC",0.319,0.207,0.158
"RTN4R","SH3GL1",0.379,0.55,0.353
"RTN4R","MCL1",0.319,0.46,0.364
"PSMA4","EXOSC5",0.716,0.454,0.717
"PSMA4","ACHE",0.475,0.215,0.38
"PSMA4","NFKB2",0.272,0.303,0.694
"PSMA4","PSMA7",0.891,1,0.907
"PSMA4","UQCRQ",0.239,0.286,0.434
"PSMA4","PSMC4",0.779,0.812,0.753
"PSMA4","PPIB",0.38,0.186,0.54
"PSMA4","PPP2R5A",0.488,0.361,0.629
"PSMA4","CDC25A",0.594,0.346,0.702
"PSMA4","RPN1",0.547,0.559,0.478
"PSMA4","PLK1",0.43,0.276,0.555
"PSMA4","TNF",0.412,0.17,0.282
"PSMA4","RELB",0.288,0.19,0.678
"PSMA4","PSMB4",1,1,0.942
"PSMA4","ASNA1",0.519,0.052,0.666
"PSMA4","DHH",0.473,NA,NA
"PSMA4","ANAPC2",1,0.532,0.649
"PSMA4","PSME4",0.39,0.727,0.846
"PSMA4","OAZ2",0.5,0.476,0.66
"PSMA4","NFKBIB",0.5,0.353,1
"GRN","HK3",0,0.449,0.712
"GRN","AKT1",0.364,0.32,0.429
"GRN","ITGA2B",0.599,0.505,0.536
"GRN","IFI30",0.509,0.465,0.548
"GRN","TNF",0.671,0.336,0.46
"CD22","SELL",0.439,0.54,0.618
"CD22","FFAR2",0.4,0.447,0.451
"CD22","CD7",0,0.565,0.504
"CD22","TNF",0.502,0.383,0.797
"CD22","CD79A",0.448,0.671,0.631
"CD22","SPN",0.188,0.479,0.698
"CD22","CD72",0.556,0,0.451
"CD22","TNFRSF13B",0.4,0.535,1
"PSMC4","NFKB2",0.272,0.416,0.598
"PSMC4","PSMA7",0.714,0.812,0.832
"PSMC4","PPP2R5A",0.488,0.378,0.636
"PSMC4","CDC25A",0.594,0.347,0.609
"PSMC4","PLK1",0.43,0.334,0.487
"PSMC4","UFD1L",NA,NA,NA
"PSMC4","TNF",0.412,0.292,0.271
"PSMC4","RELB",0.288,0.272,0.614
"PSMC4","PSMB4",0.779,0.812,0.774
"PSMC4","DHH",0.473,NA,NA
"PSMC4","ANAPC2",1,0.489,0.606
"PSMC4","PSME4",0.39,0.704,0.785
"PSMC4","OAZ2",0.5,0.369,0.55
"PSMC4","NFKBIB",0.5,0.397,1
"PSMC4","FTSJ3",0.487,0.349,0.437
"PSMC4","LHX2",0,0.604,NA
"BCL3","NFKB2",0.32,0.553,0.771
"BCL3","STAT3",0.388,0.528,0.768
"BCL3","AKT1",0.296,0.577,0.8
"BCL3","PLK1",0.332,0.467,0.608
"BCL3","RFXANK",0,NA,0.556
"BCL3","TNF",0.441,0.593,0.314
"BCL3","HDAC3",0.479,0.58,0.719
"BCL3","RELB",0.325,0.569,0.693
"PDZD4","LAMA5",0,0.11,NA
"HBQ1","HBZ",1,1,0.8
"HBQ1","ALAS2",0.576,0.193,0.166
"HBQ1","HBE1",0.946,0.8,0.745
"HBQ1","ECHS1",0.338,0.463,0.158
"HBQ1","TH",0.4,0.099,0.163
"HBQ1","HBD",0.946,0.8,0.745
"HBQ1","PAH",0.441,0.323,0.468
"ITGB4","KLC2",0.59,0.154,0.36
"ITGB4","HRAS",0.367,0.386,0.262
"ITGB4","VWF",0.525,0.587,0.332
"ITGB4","CHAD",NA,NA,0.221
"ITGB4","PRKCG",0,0.287,0.219
"ITGB4","AKT1",0.283,0.364,0.385
"ITGB4","ITGA2B",0.504,0.41,0.538
"ITGB4","LAMA5",0.449,0.646,0.402
"ITGB4","CRK",0.409,0.469,0.327
"ITGB4","EPPK1",0.267,0.364,0.479
"ITGB4","ACTN4",0.476,0.428,0.482
"ITGB4","COMP",0.404,0.397,0.334
"ITGB4","COL9A3",0,0.288,0.316
"PPP1R15A","PPP2R4",NA,NA,NA
"PPP1R15A","PPP2R5A",0.847,0.543,0.686
"PPP1R15A","TSC2",0.7,0.476,0.692
"PPP1R15A","ZNF148",0.267,0.411,0.513
"PPP1R15A","KLF6",0.298,0.366,0.49
"TFAP4","SP1",0.805,0.616,0.756
"TFAP4","TPST2",0.255,0.193,0.353
"TFAP4","SALL2",0.813,0.543,1
"THPO","SPI1",0.193,0.551,0
"THPO","ACHE",0.16,0.432,1
"THPO","VWF",0.319,0.214,1
"THPO","GATA2",0.214,0.515,0
"THPO","SOS1",0.548,0.523,0
"THPO","STAT3",0.197,0.488,0
"THPO","PSMA7",0.323,0.287,0.793
"THPO","CSF3R",0.211,0.374,0
"THPO","STAT5A",0.217,0.434,0
"THPO","IL7R",0.236,0.526,0
"THPO","GP9",0.501,0.29,0
"THPO","IL6R",0.379,0.559,1
"THPO","CNTFR",0.49,0.515,0.399
"THPO","AKT1",0.223,0.498,0
"THPO","ITGA2B",0.404,0.388,0.793
"THPO","CXCR4",0.186,0.45,0.793
"THPO","ZFPM1",0.216,0.493,0
"THPO","PF4",0.531,0.539,1
"SEMA4G","OBSCN",0.438,0.397,0.218
"PRRT1","EPPK1",NA,NA,1
"BCL7C","SMARCD3",NA,NA,NA
"BCL7C","VPS37C",NA,NA,NA
"NDUFB7","NDUFB10",1,1,0.926
"NDUFB7","NDUFV1",1,0.992,0.897
"NDUFB7","UQCRC2",0.238,0.78,0.852
"NDUFB7","UQCRQ",0.449,0.854,0.913
"NDUFB7","COX5A",0.534,0.851,0.87
"NDUFB7","NDUFB11",0,1,0.962
"NDUFB7","ZNHIT1",0,0.405,0.449
"NDUFB7","ACAD9",0.444,0.666,0.787
"NDUFB7","NDUFS7",1,0.807,0.847
