"symbol1","symbol2","MF","BP","CC"
"AKT1","ARRB2",0.092,0.327,0.154
"AKT1","BAD",0.205,0.379,0.116
"AKT1","ZFP36L1",0.136,0.35,0.151
"AKT1","CAMK2A",0.249,0.319,0.159
"AKT1","CRK",0.084,0.302,0.154
"AKT1","CSK",0.21,0.229,0.142
"AKT1","DDOST",0.128,0.17,0.146
"AKT1","EEF2",0.097,0.182,0.158
"AKT1","EGR1",0.117,0.307,0.114
"AKT1","EIF4EBP1",0.05,0.202,0.081
"AKT1","FOXM1",0.082,0.265,0.244
"AKT1","FLII",0.054,NA,0.175
"AKT1","GATA2",0.068,0.291,0.114
"AKT1","GNAI2",0.145,0.188,0.193
"AKT1","GNB2",0.114,0.108,0.132
"AKT1","GYS1",0.168,0.644,0.092
"AKT1","HRAS",0.16,0.321,0.124
"AKT1","HSPB1",0.178,0.344,0.155
"AKT1","IRF3",0.113,0.243,0.134
"AKT1","ITGA2B",0.099,0.148,0.12
"AKT1","ITGB4",0.06,0.191,0.1
"AKT1","MCL1",0.115,0.291,0.139
"AKT1","MEF2D",0.08,0.166,0.124
"AKT1","MSN",0.098,0.302,0.122
"AKT1","NONO",0.113,0.235,0.149
"AKT1","NPM1",0.145,0.33,0.182
"AKT1","PCBP1",0.081,0.071,0.186
"AKT1","SERPINB5",0.094,0.529,0.045
"AKT1","PLK1",0.251,0.305,0.213
"AKT1","PPP2R5A",0.164,0.225,0.176
"AKT1","PSMA7",0.138,0.103,0.161
"AKT1","PSMB4",0.095,0.103,0.17
"AKT1","PSMC4",0.095,0.157,0.157
"AKT1","RPL7",0.121,0.168,0.149
"AKT1","RPS2",0.092,0.207,0.175
"AKT1","RPS9",0.066,0.209,0.175
"AKT1","SDHC",0.093,0.16,0.124
"AKT1","SOS1",0.137,0.273,0.105
"AKT1","ST14",0.057,0.121,0.067
"AKT1","STAT3",0.136,0.338,0.178
"AKT1","STAT5A",0.138,0.289,0.136
"AKT1","STK11",0.239,0.328,0.153
"AKT1","TNF",0.156,0.424,0.116
"AKT1","TPM2",0.126,0.112,0.16
"AKT1","TSC2",0.167,0.365,0.135
"AKT1","NCK2",0.06,0.288,0.104
"AKT1","PIAS1",0.131,0.262,0.118
"AKT1","KHSRP",0.075,0.244,0.162
"AKT1","HDAC3",0.115,0.296,0.191
"AKT1","SPHK1",0.21,0.322,0.105
"AKT1","NUDC",0.056,0.055,0.133
"AKT1","PLEKHO1",0.095,NA,NA
"AKT1","SYTL1",0.054,0.203,0.149
"AKT1","RASL10B",NA,0.155,NA
"AKT1","TUBB",0.122,0.123,0.166
"ALAS2","SARDH",0.071,0.184,0.311
"ALAS2","HBD",0.237,0.24,0.081
"ALAS2","LSS",0.142,0.205,0.111
"ALAS2","MDH2",0.078,0.108,0.279
"ALAS2","NDUFV1",0.142,0.091,0.323
"ALAS2","FIS1",0.063,0.172,0.253
"ALOX5AP","CD53",0.095,0.138,0.153
"ALOX5AP","CD68",NA,0.115,0.177
"ALOX5AP","HLA-DRB1",0.029,0.194,0.2
"ALOX5AP","PLP2",0.047,0.132,0.193
"ALOX5AP","S100A6",0.088,0.123,0.171
"ALOX5AP","TBXAS1",0.134,0.381,0.295
"ALOX5AP","LST1",NA,0.096,0.158
"ALOX5AP","VAMP8",0.041,0.125,0.184
"AMBP","CD79A",0.124,0.166,0.173
"ANXA5","EEF2",0.102,0.17,0.15
"ANXA5","MSN",0.122,0.228,0.154
"ANXA5","PGK1",0.16,0.165,0.173
"ANXA5","PPIB",0.141,0.109,0.172
"ANXA5","CRTAP",0.046,0.108,0.11
"ANXA11","HLA-DRA",0.175,0.069,0.234
"ANXA11","S100A6",0.316,0.056,0.19
"APLP1","CPE",0.158,0.131,0.165
"APLP1","VGF",NA,0.143,0.126
"ARF1","ASNA1",0.117,0.193,0.167
"ARF1","CKS1B",0.069,0.084,0.093
"ARF1","CSNK2B",0.123,0.225,0.176
"ARF1","CTSL",0.151,0.182,0.145
"ARF1","DDOST",0.1,0.193,0.177
"ARF1","DYNC1H1",0.176,0.28,0.171
"ARF1","EEF1G",0.071,0.138,0.149
"ARF1","EEF2",0.146,0.179,0.169
"ARF1","EIF4A2",0.217,0.094,0.109
"ARF1","EIF5A",0.163,0.168,0.137
"ARF1","FAU",0.285,NA,NA
"ARF1","GNB1",0.155,0.166,0.198
"ARF1","GNB2",0.155,0.067,0.217
"ARF1","HLA-DRB1",0.04,0.237,0.23
"ARF1","HRAS",0.27,0.233,0.159
"ARF1","MSN",0.116,0.251,0.157
"ARF1","NPM1",0.142,0.257,0.165
"ARF1","PCBP1",0.156,0.113,0.15
"ARF1","PGK1",0.178,0.186,0.147
"ARF1","PLK1",0.144,0.207,0.114
"ARF1","PPIB",0.124,0.162,0.2
"ARF1","PPP3CC",0.113,0.099,0.108
"ARF1","PSMA4",0.115,0.065,0.149
"ARF1","PSMA7",0.113,0.065,0.143
"ARF1","PSMB4",0.115,0.065,0.15
"ARF1","PSMC4",0.146,0.141,0.125
"ARF1","RAB5B",0.249,0.28,0.17
"ARF1","RAB5C",0.266,0.249,0.184
"ARF1","RPL4",0.125,0.153,0.204
"ARF1","RPL8",0.111,0.156,0.17
"ARF1","RPL11",0.137,0.223,0.156
"ARF1","RPL15",0.122,0.156,0.124
"ARF1","RPL18",0.111,0.156,0.189
"ARF1","RPL30",0.125,0.22,0.199
"ARF1","RPL27A",0.125,0.153,0.145
"ARF1","RPL32",0.111,0.156,0.131
"ARF1","RPL36AL",0.095,NA,0.152
"ARF1","RPL37",0.111,0.153,0.119
"ARF1","RPLP0",0.141,0.25,0.192
"ARF1","RPLP2",0.059,0.153,0.216
"ARF1","RPN1",0.157,0.057,0.172
"ARF1","RPS2",0.131,0.181,0.203
"ARF1","RPS9",0.128,0.194,0.192
"ARF1","RPS23",0.125,0.191,0.148
"ARF1","SURF4",0.095,0.234,0.192
"ARF1","UQCRC2",0.115,0.17,0.14
"ARF1","RPL14",0.122,0.184,0.155
"ARF1","RAB11B",0.256,0.283,0.187
"ARF1","ARFRP1",0.176,0.24,0.193
"ARF1","RPL35",0.13,0.179,0.127
"ARF1","EXOSC7",0.186,0.142,0.127
"ARF1","PIP5K1C",0.104,0.318,0.195
"ARF1","RPL13A",0.13,0.248,0.176
"ARF1","GSPT2",0.235,0.12,0.109
"ARF1","PYCR2",0.095,0.092,0.073
"ARF1","SEC61A1",0.056,0.186,0.18
"ARF1","VPS28",0.068,0.273,0.198
"ARF1","BET1L",0.095,0.199,0.195
"ARF1","CAB39",0.077,0.212,0.17
"ARF1","PPAN",0.146,0.374,0.081
"ARF1","SMAP1",NA,0.598,NA
"ARF1","TRAPPC5",0.071,0.196,0.199
"ARF1","TUBB",0.14,0.17,0.143
"RHOG","CSK",0.168,0.243,0.171
"RHOG","CYBA",0.105,0.215,0.246
"RHOG","GNAI2",0.255,0.221,0.167
"RHOG","HCK",0.105,0.276,0.203
"RHOG","SOS1",0.151,0.286,0.122
"RHOG","SPI1",0.084,0.212,0.07
"RHOG","STAT3",0.127,0.241,0.126
"RHOG","VAV1",0.146,0.302,0.124
"RHOG","STK24",0.107,0.242,0.151
