"symbol1","symbol2","MF","BP","CC"
"AKT1","ARRB2",0.614,0.531,0.931
"AKT1","BAD",0.651,0.57,0.739
"AKT1","ZFP36L1",0.618,0.573,0.883
"AKT1","CAMK2A",0.763,0.519,0.831
"AKT1","CRK",0.539,0.54,0.934
"AKT1","CSK",0.738,0.373,0.899
"AKT1","DDOST",0.553,0.318,0.844
"AKT1","EEF2",0.591,0.257,0.866
"AKT1","EGR1",0.558,0.468,0.893
"AKT1","EIF4EBP1",0.535,0.222,0.843
"AKT1","FOXM1",0.591,0.469,1
"AKT1","FLII",0.579,NA,0.869
"AKT1","GATA2",0.57,0.504,0.893
"AKT1","GNAI2",0.591,0.484,0.885
"AKT1","GNB2",0.596,0.286,0.816
"AKT1","GYS1",0.565,0.943,0.803
"AKT1","HRAS",0.608,0.633,0.871
"AKT1","HSPB1",0.628,0.595,0.864
"AKT1","IRF3",0.641,0.461,0.913
"AKT1","ITGA2B",0.633,0.16,0.696
"AKT1","ITGB4",0.546,0.345,0.662
"AKT1","MCL1",0.6,0.446,0.847
"AKT1","MEF2D",0.563,0.348,0.864
"AKT1","MSN",0.614,0.458,0.754
"AKT1","NONO",0.615,0.378,0.806
"AKT1","NPM1",0.582,0.591,0.89
"AKT1","PCBP1",0.581,0.337,0.894
"AKT1","SERPINB5",0.574,1,0.795
"AKT1","PLK1",0.791,0.519,0.813
"AKT1","PPP2R5A",0.567,0.239,0.842
"AKT1","PSMA7",0.629,0.204,0.832
"AKT1","PSMB4",0.574,0.204,0.847
"AKT1","PSMC4",0.574,0.247,0.819
"AKT1","RPL7",0.634,0.284,0.85
"AKT1","RPS2",0.599,0.301,0.866
"AKT1","RPS9",0.55,0.353,0.883
"AKT1","SDHC",0.232,0.237,0.666
"AKT1","SOS1",0.619,0.578,0.879
"AKT1","ST14",0.298,0.282,0.733
"AKT1","STAT3",0.643,0.649,0.906
"AKT1","STAT5A",0.668,0.492,0.827
"AKT1","STK11",0.729,0.559,0.925
"AKT1","TNF",0.634,0.675,0.692
"AKT1","TPM2",0.499,0.152,0.715
"AKT1","TSC2",0.651,0.585,0.821
"AKT1","NCK2",0.536,0.544,0.84
"AKT1","PIAS1",0.562,0.447,0.826
"AKT1","KHSRP",0.566,0.368,0.847
"AKT1","HDAC3",0.574,0.525,0.882
"AKT1","SPHK1",0.597,0.574,0.879
"AKT1","NUDC",0.574,0.319,0.887
"AKT1","PLEKHO1",1,NA,NA
"AKT1","SYTL1",0.559,0.551,0.725
"AKT1","RASL10B",NA,0.154,NA
"AKT1","TUBB",0.591,0.441,0.814
"ALAS2","SARDH",0.24,0.016,0.947
"ALAS2","HBD",0.538,0.315,0.419
"ALAS2","LSS",0.028,0.211,0.549
"ALAS2","MDH2",0.319,0.044,0.885
"ALAS2","NDUFV1",0.261,0.021,0.915
"ALAS2","FIS1",0.601,0.168,0.724
"ALOX5AP","CD53",1,0.268,0.604
"ALOX5AP","CD68",NA,0.125,0.725
"ALOX5AP","HLA-DRB1",0.11,0.099,0.634
"ALOX5AP","PLP2",0.474,0.238,0.894
"ALOX5AP","S100A6",0.471,0.264,0.748
"ALOX5AP","TBXAS1",0,0.49,0.933
"ALOX5AP","LST1",NA,0.15,0.769
"ALOX5AP","VAMP8",0.414,0.082,0.618
"AMBP","CD79A",0.556,0.241,0.642
"ANXA5","EEF2",0.557,0.296,0.857
"ANXA5","MSN",0.575,0.33,0.788
"ANXA5","PGK1",0.506,0.351,0.889
"ANXA5","PPIB",0.528,0.164,0.814
"ANXA5","CRTAP",0.636,0.136,0.758
"ANXA11","HLA-DRA",0.596,0.126,0.681
"ANXA11","S100A6",0.759,0.263,0.801
"APLP1","CPE",0.29,0.311,0.655
"APLP1","VGF",NA,0.365,0.61
"ARF1","ASNA1",0.687,0.155,0.763
"ARF1","CKS1B",0.624,0.085,0.575
"ARF1","CSNK2B",0.704,0.361,0.783
"ARF1","CTSL",0.568,0.261,0.707
"ARF1","DDOST",0.595,0.35,0.791
"ARF1","DYNC1H1",0.678,0.402,0.737
"ARF1","EEF1G",0.705,0.203,0.844
"ARF1","EEF2",0.749,0.282,0.818
"ARF1","EIF4A2",0.832,0.08,0.631
"ARF1","EIF5A",0.726,0.322,0.759
