"symbol1","symbol2","MF","BP","CC"
"ACP5","CLCN7",0.155,0,0.735
"ACP5","NES",0,0.146,0.622
"ACP5","CD207",0.155,0.015,0.596
"COMP","NES",0.361,0.338,0.524
"COMP","NDP",0.583,0.484,0.85
"HRK","BBC3",1,0.758,1
"SIX3","ENTPD2",0.557,0.337,0.63
"SIX3","LHX2",1,0.799,NA
"TNFRSF13B","TNFSF13",0.811,0.625,0.76
"PRKCG","ADRBK1",NA,NA,NA
"POLD3","POLR2L",0.712,0.46,0.715
"ASB6","ANAPC2",1,0.264,1
"ANXA5","BBC3",0.508,0.456,0.633
"RPS9","GSPT2",0.698,0.658,0.614
"DCXR","NES",0.02,0.074,0.695
"SNCB","ALAS2",0.35,0.257,0.557
"ADRBK1","GIT1",NA,NA,NA
"ANAPC2","PCGF6",1,0.145,0.833
"COX5A","ATP5G2",NA,NA,NA
"POLR2L","ENTPD2",0.557,0.498,0.467
"LCE3B","S100A8",0.531,0.331,0.697
"NES","NDP",0.249,0.48,0.458
"S100A8","FCN1",0.535,0.443,0.73
"TLX1","LHX2",1,NA,NA
"LHX2","CRB2",0.462,0.518,NA
