"RPL4"	"RPLP2"	"RPL27A"	"RPL37"	"RPL37A"	"RPL8"	"RPL15"	"RPL18"	"RPL32"	"RPL41"	"RPL35"	"RPL13A"
"RPLP0"	"PPAN"	"RPL10"	"RPL7"	"RPL14"	"RPS23"	"RPL11"
"PSMA4"	"PSMA7"	"PSMB4"
"AKT1"	"GYS1"
"NDUFV1"	"COX5A"	"NDUFA3"	"NDUFB7"	"NDUFB10"	"UQCRQ"	"NDUFS7"	"UQCRC2"	"COX7C"	"COX7A2L"
"NPM1"	"NPM3"
"PPIB"	"TBCA"
"STAT3"	"KPNA6"
"RPL30"	"EIF4G3"
"RAB5C"	"RAB5B"	"SMAP1"
"MDH2"	"IDH2"
"HLA-DRB1"	"HLA-DMA"	"HLA-DRA"
"EXOSC5"	"EXOSC3"	"EXOSC7"	"KHSRP"
"MRPL16"	"MRPL17"	"MRPL21"	"MRPS24"
"ASNA1"	"SEC61A1"
"IRF7"	"IRF3"
"DDX11"	"CHTF18"
"ARPC5"	"ARPC4"
"HBE1"	"HBD"	"HBQ1"
"CNDP2"	"GSS"	"GCLM"
