"AKT1"	"GYS1"
"RPL7"	"PPAN"	"FTSJ3"
"RPL8"	"RPL27A"	"RPL15"	"RPL41"	"RPL32"	"RPL18"	"RPL37"	"RPLP2"	"RPL4"	"RPL37A"	"RPS23"	"RPS21"
"STAT3"	"KPNA6"
"EEF2"	"DPH5"
"HLA-DRB1"	"HLA-DRA"	"HLA-DMA"	"HLA-DQA2"
"COX5A"	"NDUFV1"	"NDUFB7"	"NDUFB10"	"UQCRQ"	"UQCRC2"	"SDHC"	"NDUFS7"
"IRF3"	"IRF7"
"NPM1"	"NPM3"
"RAB5C"	"RAB5B"
"MRPS12"	"MRPL16"	"MRPL17"	"MRPL21"	"MRPS24"	"MRPL52"
"GGT1"	"CNDP2"	"GCLM"	"GSS"
"TH"	"PNMT"	"DBH"	"COMT"
"PSMA4"	"PSMA7"	"PSMB4"
"ARPC5"	"ARPC4"	"ARPC1B"
"EXOSC3"	"EXOSC7"	"EXOSC5"	"KHSRP"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"EIF4A2"	"PAIP2"
"WNT11"	"VANGL1"
"MDH2"	"IDH2"
"EIF4EBP1"	"EIF4G3"
"KRTAP6-3"	"KRTAP11-1"	"KRTAP23-1"	"KRTAP6-2"	"KRTAP19-6"
"CHDH"	"PLA2G2F"
