"topology","subject","measure","ontology","BHI"
"string","mets","Resnik","MF",0
"string","mets","Resnik","BP",0
"string","mets","Resnik","CC",0
"string","mets","Lin","MF",0.5
"string","mets","Lin","BP",0.5
"string","mets","Lin","CC",0
"string","mets","Rel","MF",0.5
"string","mets","Rel","BP",0.5
"string","mets","Rel","CC",0
"string","mets","Jiang","MF",0.5
"string","mets","Jiang","BP",0.5
"string","mets","Jiang","CC",0
"string","mets","Wang","MF",0.5
"string","mets","Wang","BP",0.5
"string","mets","Wang","CC",0.5
"string","t2d","Resnik","MF",0
"string","t2d","Resnik","BP",0.5
"string","t2d","Resnik","CC",0
"string","t2d","Lin","MF",0.5
"string","t2d","Lin","BP",0.5
"string","t2d","Lin","CC",0.494
"string","t2d","Rel","MF",0.5
"string","t2d","Rel","BP",0.5
"string","t2d","Rel","CC",0.494
"string","t2d","Jiang","MF",0.462
"string","t2d","Jiang","BP",0.5
"string","t2d","Jiang","CC",0.497
"string","t2d","Wang","MF",0.5
"string","t2d","Wang","BP",0.5
"string","t2d","Wang","CC",0.494
"string","cad","Resnik","MF",0.5
"string","cad","Resnik","BP",0.485
"string","cad","Resnik","CC",0.5
"string","cad","Lin","MF",0.5
"string","cad","Lin","BP",0.484
"string","cad","Lin","CC",0.492
"string","cad","Rel","MF",0.495
"string","cad","Rel","BP",0.481
"string","cad","Rel","CC",0.498
"string","cad","Jiang","MF",0.493
"string","cad","Jiang","BP",0.481
"string","cad","Jiang","CC",0.484
"string","cad","Wang","MF",0.497
"string","cad","Wang","BP",0.48
"string","cad","Wang","CC",0.492
"inet","mets","Resnik","MF",0
"inet","mets","Resnik","BP",0
"inet","mets","Resnik","CC",0
"inet","mets","Lin","MF",0.5
"inet","mets","Lin","BP",0.25
"inet","mets","Lin","CC",0.375
"inet","mets","Rel","MF",0.5
"inet","mets","Rel","BP",0.5
"inet","mets","Rel","CC",0.417
"inet","mets","Jiang","MF",0.5
"inet","mets","Jiang","BP",0.375
"inet","mets","Jiang","CC",0.333
"inet","mets","Wang","MF",0.5
"inet","mets","Wang","BP",0.5
"inet","mets","Wang","CC",0.5
"inet","t2d","Resnik","MF",0
"inet","t2d","Resnik","BP",0
"inet","t2d","Resnik","CC",0
"inet","t2d","Lin","MF",0.5
"inet","t2d","Lin","BP",0.5
"inet","t2d","Lin","CC",0.5
"inet","t2d","Rel","MF",0.5
"inet","t2d","Rel","BP",0.5
"inet","t2d","Rel","CC",0.5
"inet","t2d","Jiang","MF",0.5
"inet","t2d","Jiang","BP",0.5
"inet","t2d","Jiang","CC",0.5
"inet","t2d","Wang","MF",0.5
"inet","t2d","Wang","BP",0.5
"inet","t2d","Wang","CC",0.5
"inet","cad","Resnik","MF",0.5
"inet","cad","Resnik","BP",0.485
"inet","cad","Resnik","CC",0.5
"inet","cad","Lin","MF",0.5
"inet","cad","Lin","BP",0.481
"inet","cad","Lin","CC",0.491
"inet","cad","Rel","MF",0.499
"inet","cad","Rel","BP",0.486
"inet","cad","Rel","CC",0.495
"inet","cad","Jiang","MF",0.487
"inet","cad","Jiang","BP",0.48
"inet","cad","Jiang","CC",0.474
"inet","cad","Wang","MF",0.492
"inet","cad","Wang","BP",0.491
"inet","cad","Wang","CC",0.487
