"topology","subject","measure","ontology","BHI"
"string","mets","Resnik","MF",0.277
"string","mets","Resnik","BP",0.042
"string","mets","Resnik","CC",0.248
"string","mets","Lin","MF",0.398
"string","mets","Lin","BP",0.269
"string","mets","Lin","CC",0.248
"string","mets","Rel","MF",0.398
"string","mets","Rel","BP",0.269
"string","mets","Rel","CC",0.248
"string","mets","Jiang","MF",0.398
"string","mets","Jiang","BP",0.269
"string","mets","Jiang","CC",0.086
"string","mets","Wang","MF",0.398
"string","mets","Wang","BP",0.269
"string","mets","Wang","CC",0.365
"string","t2d","Resnik","MF",0.286
"string","t2d","Resnik","BP",0.283
"string","t2d","Resnik","CC",0.232
"string","t2d","Lin","MF",0.479
"string","t2d","Lin","BP",0.454
"string","t2d","Lin","CC",0.475
"string","t2d","Rel","MF",0.474
"string","t2d","Rel","BP",0.445
"string","t2d","Rel","CC",0.474
"string","t2d","Jiang","MF",0.446
"string","t2d","Jiang","BP",0.396
"string","t2d","Jiang","CC",0.452
"string","t2d","Wang","MF",0.484
"string","t2d","Wang","BP",0.426
"string","t2d","Wang","CC",0.445
"string","cad","Resnik","MF",0.339
"string","cad","Resnik","BP",0.395
"string","cad","Resnik","CC",0.423
"string","cad","Lin","MF",0.46
"string","cad","Lin","BP",0.383
"string","cad","Lin","CC",0.48
"string","cad","Rel","MF",0.457
"string","cad","Rel","BP",0.374
"string","cad","Rel","CC",0.486
"string","cad","Jiang","MF",0.43
"string","cad","Jiang","BP",0.344
"string","cad","Jiang","CC",0.452
"string","cad","Wang","MF",0.422
"string","cad","Wang","BP",0.405
"string","cad","Wang","CC",0.467
"inet","mets","Resnik","MF",0.301
"inet","mets","Resnik","BP",0.056
"inet","mets","Resnik","CC",0.305
"inet","mets","Lin","MF",0.442
"inet","mets","Lin","BP",0.187
"inet","mets","Lin","CC",0.347
"inet","mets","Rel","MF",0.439
"inet","mets","Rel","BP",0.183
"inet","mets","Rel","CC",0.406
"inet","mets","Jiang","MF",0.425
"inet","mets","Jiang","BP",0.112
"inet","mets","Jiang","CC",0.309
"inet","mets","Wang","MF",0.425
"inet","mets","Wang","BP",0.138
"inet","mets","Wang","CC",0.408
"inet","t2d","Resnik","MF",0.346
"inet","t2d","Resnik","BP",0.097
"inet","t2d","Resnik","CC",0.277
"inet","t2d","Lin","MF",0.453
"inet","t2d","Lin","BP",0.257
"inet","t2d","Lin","CC",0.479
"inet","t2d","Rel","MF",0.444
"inet","t2d","Rel","BP",0.257
"inet","t2d","Rel","CC",0.479
"inet","t2d","Jiang","MF",0.474
"inet","t2d","Jiang","BP",0.275
"inet","t2d","Jiang","CC",0.477
"inet","t2d","Wang","MF",0.469
"inet","t2d","Wang","BP",0.198
"inet","t2d","Wang","CC",0.476
"inet","cad","Resnik","MF",0.291
"inet","cad","Resnik","BP",0.397
"inet","cad","Resnik","CC",0.394
"inet","cad","Lin","MF",0.461
"inet","cad","Lin","BP",0.372
"inet","cad","Lin","CC",0.483
"inet","cad","Rel","MF",0.46
"inet","cad","Rel","BP",0.373
"inet","cad","Rel","CC",0.489
"inet","cad","Jiang","MF",0.451
"inet","cad","Jiang","BP",0.379
"inet","cad","Jiang","CC",0.462
"inet","cad","Wang","MF",0.438
"inet","cad","Wang","BP",0.408
"inet","cad","Wang","CC",0.479
