"AKT1"	"WDTC1"	"STK11"	"HRAS"	"ITGA2B"	"TNF"	"VWF"	"GP9"	"PF4"	"ANXA5"	"IL13"	"STAT5A"
"FAU"	"RPL4"	"RPL30"	"RPL27A"	"RPS23"	"RPL37A"	"RPL15"	"RPL14"	"RPL36AL"	"RPL7"	"RPLP0"	"RPL10"	"RPL11"	"RPS9"	"MRPS12"	"RPLP2"	"RPL8"	"RPL18"	"RPL37"	"RPL32"	"RPL35"	"RPL13A"	"RPS2"	"RPS21"	"RPL41"	"MPHOSPH6"	"EEF2"	"GSPT2"	"EIF4A2"	"EEF1G"	"MRPL16"	"RPN1"	"EIF5A"	"EXOSC3"	"EXOSC7"	"EXOSC5"	"SMG6"	"SEC61A1"	"DDOST"
"PLK1"	"ANAPC2"	"MIB2"	"HECTD3"	"UBE2R2"	"ASB2"	"UBE2V1"	"RNF130"	"DTX3L"	"SOCS1"
"STAT3"	"DIRAS3"	"IL32"	"SPI1"	"GATA2"
"ACTA1"	"TNNI1"	"MYL2"	"TNNI2"	"TPM2"	"MYL6"	"TNNT2"	"TNNT3"	"TCAP"	"MYL3"
"SH3GL1"	"TGOLN2"	"ARPC5"	"ARPC4"	"ARRB2"	"DNM2"	"RAB5C"	"RAB5B"	"AP2A1"	"VAMP8"	"IGF2R"	"ARF1"	"SYT8"
"GNB1"	"GNB2"	"LRG1"	"GNAI2"	"NPW"	"DIRAS2"	"CXCR4"	"NPY"	"CORT"
"HDAC3"	"ACTA2"	"SP1"	"SRF"	"EGR1"	"MYOG"	"MEF2D"
"HIST1H2AC"	"HIST1H2AA"	"MTA2"	"MTA1"	"SAP30"	"SUDS3"	"SIN3B"	"FOXK1"	"HCFC1"
"IRF3"	"IFITM1"	"IRF2"	"IRF7"	"TRIM22"	"IFIT2"	"BST2"	"HLA-G"	"ADAR"
"PPP3CC"	"PPP2R5A"	"INCENP"	"RANGAP1"	"NUDC"	"CENPH"
"XAB2"	"POLR2L"	"POLD3"	"GTF2H4"	"GTF2F1"	"PCBP2"	"SF3A2"	"CTNNBL1"	"LSM7"	"PCBP1"	"LSM2"	"CPSF1"	"PQBP1"
"CD79A"	"TNFRSF13B"	"CD22"	"CD72"
"DYNC1H1"	"PCNT"	"CSNK1E"	"TUBB"	"TUBGCP2"	"DYNC1LI1"	"TUBB2B"
"SOS1"	"VAV1"	"LAT"	"HCK"	"CRK"	"FRS3"
"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"DHH"	"NFKBIB"	"NFKB2"	"RELB"	"PSME4"	"CDC25A"	"OAZ2"
"TH"	"SQSTM1"
"FOXM1"	"TACC3"
"MCL1"	"HRK"	"BBC3"	"BAD"	"BID"
"ACTN4"	"CAMK2A"	"CALB2"
"AMBP"	"TNFRSF10C"	"NDP"	"COMP"	"PDXP"	"ECE1"
"COX5A"	"NDUFB11"	"NDUFB10"	"NDUFS7"	"NDUFB7"	"NDUFV1"	"NDUFA3"	"SDHC"	"ACAD9"
"KLC2"	"SURF4"	"KIF1A"	"KIF25"	"KIFC1"
"LHX2"	"GBX2"	"SIX3"
"ILKAP"	"TYRO3"	"PIM2"	"LIMK2"
"NPM1"	"CEBPA"	"CD7"
"HLA-DRA"	"HLA-DMA"	"HLA-DRB1"
"RHOG"	"RHOT2"	"RHOBTB1"	"ARHGEF16"	"ARHGAP17"	"ARHGAP9"
"TXNRD2"	"TXN2"	"MDH2"	"CLPP"
"ECHS1"	"DDA1"
"PLCB3"	"SLC9A3R2"
"P2RY11"	"GPR20"	"HTR4"	"FSHR"	"SCTR"
"PRMT5"	"GEMIN7"	"GEMIN4"	"POM121"	"KHSRP"
"IL7R"	"SLAMF1"
"CACNA1A"	"CACNA2D4"	"CACNA1H"
"CAB39"	"STK24"	"CSNK2B"
"WNT11"	"VANGL1"	"DLG5"
"MSN"	"SELL"
"KCNE1"	"ARR3"
"GGT1"	"CNDP2"	"PEPD"
"RRM2"	"PKMYT1"	"CKS1B"	"DNAJC9"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"PPIB"	"OS9"	"CRTAP"
"MRPL21"	"MRPL52"	"MRPS24"	"MRPL17"
"TIMM8A"	"CHCHD4"	"CDA"	"JOSD1"
"MGAM"	"PCSK4"
"TBX5"	"IRX4"	"HAND1"
"WNT3"	"WNT10B"	"TCF7"
"LAMP1"	"CD63"
"IL6R"	"CSF3R"	"CTF1"	"CNTFR"
"PLAUR"	"ADAMTS4"	"ADAMTSL2"	"CFP"	"ADAMTS13"
"DAXX"	"PIAS1"
"S100A8"	"S100A12"	"FCN1"
"MYBBP1A"	"PPAN"	"FTSJ3"
"EIF4EBP1"	"LRRC20"	"TNIP1"
"GIT1"	"NCK2"	"PPFIA3"	"DOC2A"
"RHPN1"	"ZFYVE1"	"USP2"
"PFDN2"	"ODF3"	"ODF4"
"CRTC2"	"TSC2"
"VPS28"	"CYHR1"
"NR5A1"	"PITX1"
"SLC3A2"	"SCGB1A1"
"HINT1"	"FHIT"
"PHC1"	"TFCP2"	"PCGF6"
"UTS2R"	"FFAR2"	"PROK2"
"PGK1"	"POU3F4"
"GSS"	"GSTM1"
"ZBTB32"	"HELT"
"TMSB4X"	"TMSB4Y"
"SPARC"	"VTN"
"TRAF5"	"TNFSF13"
"CD53"	"BIN2"	"ALOX5AP"
"B3GAT3"	"NIPSNAP1"	"CHCHD2"
"TAL1"	"ZFPM1"
"SERPINB5"	"TMEM115"
"GABRD"	"CLIC3"
"TJP3"	"CLDN6"	"F11R"
"LY6H"	"LY6E"
"USP11"	"USP5"
