"RPL4"	"RRM2"	"RPS9"	"RPS2"	"PCBP2"	"RPL7"	"RPLP0"	"RPLP2"	"RPL11"	"PCBP1"	"EEF2"	"RPL14"	"RPL15"	"RPL35"	"RPL8"	"RPL30"	"RPL18"	"RPS23"	"RPL13A"	"RPL10"	"RPL27A"	"RPL32"	"RPL36AL"	"RPL37A"	"EIF5A"	"NPM1"	"PSMA4"	"PSMA7"	"MYBBP1A"	"PSMC4"	"PPIB"	"PSMB4"	"MARS"	"RPN1"	"DDOST"	"RPL37"	"HARS2"	"POLR2L"	"FTSJ3"	"PRMT5"	"SET"	"NONO"	"CSNK2B"	"PPAN"	"TUBB"	"ARF1"	"EIF4A2"	"PGK1"	"CPSF1"	"CKS1B"	"SEC61A1"	"GNB1"	"GNB2"	"TIMM13"	"PYCR2"	"P2RY11"	"MUS81"	"DNAJC9"	"NUDC"	"LSM2"	"GSPT2"	"PDCL3"	"XAB2"	"HIST1H2AC"	"EXOSC3"	"EXOSC5"	"EXOSC7"	"EEF1G"	"ASNA1"	"MRPL17"	"MRPL16"	"ARPC1B"	"TBCA"	"HINT1"	"HDAC3"	"MDH2"
"AKT1"	"FOXM1"	"STAT3"	"IRF3"	"EGR1"	"SP1"
"NDUFV1"	"NIPSNAP1"	"UQCRC2"	"COX5A"	"NDUFB10"	"COX7C"	"NDUFA3"	"NDUFB11"	"UQCRQ"	"NDUFB7"	"NDUFS7"	"MRPS24"	"MRPS12"	"CLPP"	"SDHC"	"COX7A2L"	"ECHS1"	"IDH2"	"TIMM8A"	"CHCHD2"
"PLK1"	"DDX11"	"INCENP"	"KIFC1"	"POLD3"	"PKMYT1"	"CENPH"	"RANGAP1"	"TACC3"
"CRK"	"HSPBP1"
"ARHGAP17"	"ARHGEF16"	"RHOBTB1"	"RHOT2"	"RHOG"	"SOS1"	"ARHGAP9"	"FGD3"
"HRAS"	"FRS3"
"RAB5C"	"SERINC2"	"RAB5B"	"RABAC1"	"RAB11B"	"YIF1B"	"SURF4"	"AP2A1"
"CSK"	"STAT5A"	"ITGA2B"	"VWF"
"DYNC1H1"	"GNAI2"	"FLII"
"MSN"	"ACTN4"	"TMSB4X"	"MYL6"	"SPARC"	"PF4"	"VEGFB"
"MTA1"	"SIN3B"	"SUDS3"	"SAP30"	"HCFC1"	"MTA2"	"RCOR2"
"HLA-DRB1"	"CXCR4"	"IRF2"	"IRF7"	"IFI30"
"GABARAP"	"UBE2R2"	"SH3GL1"	"SH3GLB2"	"ANAPC2"	"VPS28"
"HCK"	"PSTPIP1"	"DNM2"	"VAV1"
"LAMP1"	"VAMP8"	"IGF2R"	"ECE1"	"CD63"
"ACTA1"	"ACTA2"	"HSPB1"	"TUBB2B"
"NFKB2"	"NFKBIB"	"TSC22D3"	"RIPK1"
"GTF2H4"	"GTF2F1"	"POLR2J2"	"PAF1"	"ZBED1"
"ADCY1"	"HTR4"	"FSHR"	"SCTR"	"ADM2"
"CSNK1E"	"CDC25A"
"TNNI2"	"TNNI1"	"TNNT3"	"TCAP"	"MYL3"	"MYL2"	"TPM2"
"CAMK2A"	"SYNGAP1"
"PIAS1"	"CEBPA"	"DBP"	"BATF"
"STK11"	"ILKAP"	"LIMK2"
"RELB"	"USP11"	"KPNA6"
"ALOX5AP"	"PLP2"	"TBXAS1"
"CD79A"	"TNFRSF13B"	"CD22"
"BAD"	"HRK"	"MCL1"	"BID"	"BBC3"
"PLCB3"	"PLCB2"	"PIP5K1C"
"RBM10"	"USP22"	"ATXN7L3"
"SMARCD3"	"KLHDC3"
"NCK2"	"GIT1"	"HOXC4"
"UGP2"	"CAB39"
"RGS2"	"UTS2R"	"FFAR2"	"PROK2"
"MYOG"	"MEF2D"	"SRF"
"HBD"	"HBE1"	"HBZ"	"HBQ1"
"SPN"	"SIGLEC1"
"CD68"	"SPI1"	"GATA2"	"ZFPM1"
"POR"	"LSS"	"SLC39A7"
"TSC2"	"KLC2"
"FRG1"	"CTNNBL1"	"SF3A2"
"GEMIN4"	"PIAS3"
"GSS"	"CNDP2"	"GCLM"	"GGT1"
"PRMT8"	"DPH5"
"OR5A2"	"OR4C46"	"OR1M1"	"OR6N1"
"ATP6V1F"	"ATP6AP1"
"HLA-DMA"	"HLA-G"	"HLA-DQA2"
"ALAS2"	"SARDH"
"PPP3CC"	"PPP1R1B"
"NR5A1"	"PITX1"	"THRA"
"PIM2"	"EIF4EBP1"	"SOCS1"
"DYRK1B"	"FOXK1"
"NPW"	"NPY"	"GRM4"	"RGS14"
"S100A8"	"S100A12"
"TUBGCP2"	"PCNT"
"CACNA1A"	"PRKCG"
"UNG"	"APEX2"
"PCGF6"	"PHC1"
"ARPC5"	"ARPC4"
"SELL"	"CD72"
"TFAP4"	"SALL2"
"LAMA5"	"CRTAP"
"TXN2"	"ALKBH7"
"UBL5"	"SH3BP1"
"TP73"	"DAXX"
"GLUD2"	"ASL"
"CTF1"	"IL6R"
"COMT"	"DBH"	"PNMT"
"DDA1"	"WDTC1"
"RPL41"	"RPS21"
"RNF149"	"PTTG1IP"
"FOXH1"	"ALX4"	"DRAP1"	"TBX5"
"WNT11"	"WNT10B"	"WNT3"
"POU3F4"	"POU3F1"	"SIX3"
"NQO2"	"IL32"
"FADS2"	"FADS3"
"KCNK9"	"UNC93A"
