"ID_REF"	"GSM82381"	"GSM82382"	"GSM82383"	"GSM82384"	"GSM82385"	"GSM82386"	"GSM82387"	"GSM82388"	"GSM82389"	"GSM82390"	"GSM82391"	"GSM82392"
"1007_s_at"	9.480537827	9.257971031	9.123348871	9.820011827	9.506996208	9.902028603	9.806865077	9.471225325	9.506943578	9.643465536	9.516181996	9.456783689
"1053_at"	6.564689139	6.394344977	6.412626941	6.446291101	6.516209462	6.356217977	6.302763209	6.36130288	6.38745389	6.35027999	6.366311668	6.383629369
"117_at"	7.536334985	7.626305454	7.290961423	7.322244117	7.382273805	7.442678503	7.271031704	7.423831811	7.360194979	7.463807468	7.430107619	7.729120625
"121_at"	9.918515364	9.755539539	9.780980524	9.963169957	9.863993524	10.08086858	9.625466756	9.733669683	9.937153028	9.573461106	9.817548834	9.696228601
"1294_at"	8.243752996	8.246454759	8.211184849	8.38747749	8.296028585	8.223865449	8.271538971	8.098332488	8.188189645	8.12653894	8.245189729	8.17564874
"1316_at"	6.936712318	6.971962965	6.885479423	6.694702509	6.917274692	7.026649492	6.834847973	6.797556534	6.978063701	6.723236439	6.856959454	6.901261135
"1431_at"	5.472601115	5.5662722	5.594018774	5.597356736	5.533029746	5.326193578	5.368624663	5.340302197	5.424340938	5.345527199	5.479322436	5.450782191
"1487_at"	9.866858264	9.677577454	9.870884757	9.743517902	9.613128717	9.380986539	9.713515989	9.470068841	9.290679814	8.913496844	9.411005457	9.554170305
"1494_f_at"	8.114906738	8.068209881	8.20627517	8.096909869	8.144174449	8.446602545	7.762257568	7.930807459	8.149911077	7.746738255	8.077429135	8.031869335
"1598_g_at"	11.79987816	11.79752311	11.77987742	12.09882703	11.77269213	11.5951062	11.86566207	11.64459909	11.69013163	11.65421921	11.77172512	12.12041064
"160020_at"	8.72824615	8.673917494	8.641356248	8.865585836	8.8806996	8.989248539	8.777982624	8.676017553	8.77305161	8.673289637	8.684445701	8.747407985
"177_at"	6.726231348	6.821028348	6.911625412	6.885989219	6.635079441	6.782787192	6.814583418	6.983675123	6.899999656	6.729719735	7.018201771	7.000073303
"179_at"	10.73340146	10.58571289	10.43601289	10.77825408	10.58323672	10.82986084	10.26601583	10.40075666	10.54545093	10.16491428	10.33682129	10.43037511
"1861_at"	6.738936294	7.421235181	7.187470929	7.035193421	6.942759548	7.095899795	6.911353328	6.584806434	6.807254176	7.046109604	6.90657475	6.543979326
"200000_s_at"	10.24976031	10.44887306	10.41091592	10.27675819	10.42379168	10.215507	10.54558874	10.24225874	10.3264278	10.47582443	10.56500891	10.5540964
"200001_at"	12.2242774	12.35826536	12.45594307	12.37971697	12.51916127	12.43523255	12.61527892	12.32684912	12.18970134	12.37530558	12.21352794	12.33601686
"200002_at"	11.59928075	11.7377578	11.63446748	11.36767386	11.61009636	11.65588649	11.96826176	11.61096947	11.76257161	11.99595857	11.86696239	11.74826761
"200003_s_at"	10.92414851	11.55060662	11.05604707	10.87223578	11.12448508	11.14703557	11.72400883	11.42876457	11.32742731	11.8005033	11.44321417	11.39049967
"200004_at"	12.12533077	12.11098094	12.01606856	12.21347492	12.38579113	12.27712559	12.41514074	12.16420012	12.10122086	12.12941865	12.11610488	12.22272904
"200005_at"	10.32345299	10.3955563	10.32462211	10.42420341	10.4652816	10.24774127	10.71419732	10.45572362	10.49370662	10.84803607	10.47333702	10.34194158
"200006_at"	12.08711249	12.35300059	12.18314551	12.25393095	12.46920282	12.16758167	12.50552514	12.4960387	11.89333407	12.16337432	12.18427328	12.33073763
"200007_at"	12.15378883	12.13703698	12.14929716	12.09607544	12.14237016	11.97679867	12.31653047	12.18361288	12.03803496	12.22233244	12.09628073	12.02853987
"200008_s_at"	10.41912646	10.2300725	10.20253834	10.61703497	10.7343534	10.31278025	10.48815265	10.56358704	10.16965933	10.2150701	10.41766671	10.22175829
"200009_at"	11.19817774	11.13082666	10.99639301	11.29484198	11.1847806	10.86455602	11.26646022	11.27413133	10.95531332	11.42878392	11.1403611	11.09659777
"200010_at"	12.30391748	12.58584259	12.35195676	11.76619825	12.16473603	12.30082557	12.66091624	12.42889936	12.38304815	12.48382944	12.48212002	12.31362444
"200011_s_at"	9.733361111	9.717494601	9.401470481	9.6436795	9.712779521	9.183205319	9.229538523	9.505113577	9.393098532	9.606311109	9.605677217	9.472325006
"200012_x_at"	13.16191088	13.28416896	13.17876127	12.92002955	13.02621942	13.19181676	13.32435406	13.21358426	13.21890687	13.219401	13.15572531	13.14485967
"200013_at"	12.47196296	12.61111337	12.56649154	12.30686526	12.38528351	12.56318355	12.80425576	12.47884744	12.73036008	12.85859699	12.62797247	12.63101633
"200014_s_at"	10.08265527	10.07826814	9.950984576	10.34489018	10.16027913	10.03123613	10.66622529	10.27202984	10.28139637	10.30806111	10.27407265	10.25801185
"200015_s_at"	9.679238013	9.989192921	9.635083383	9.855476876	10.0994454	10.05831695	10.51507862	9.976829956	10.15712292	10.51289554	10.436639	10.06058426
"200016_x_at"	12.66384392	12.74578577	12.7143555	12.65172234	12.62796705	12.83480158	12.90121328	12.80619291	12.6307776	12.63813579	12.80489059	12.49116596
