topology,subject,time(s),memory(mb)
inet,cad,184.68519,713.718024
inet,cad,163.12754,712.222632
inet,cad,167.6632,424.588912
inet,cad,160.38532,542.792992
inet,cad,159.57358,708.408824
inet,cad,177.85217,736.814144
inet,cad,165.45528,601.644912
inet,cad,167.70294,673.513176
inet,cad,902.17064,593.782576
inet,cad,164.33214,592.47772
inet,cad,176.26327,563.471304
inet,cad,584.79523,489.214032
inet,cad,589.39216,593.56012
inet,cad,593.63481,652.271264
inet,cad,602.02725,531.659304
,cad Result,330.604048,608.675995733333
inet,mets,1.30597,0.208048
inet,mets,1.35507,0.170208
inet,mets,1.31069,0.159672
inet,mets,1.59083,0.192896
inet,mets,1.40486,0.199408
inet,mets,1.34764,0.172272
inet,mets,1.34532,0.194832
inet,mets,1.72106,0.199408
inet,mets,1.38359,0.191952
inet,mets,1.63371,0.20164
inet,mets,1.70369,0.162592
inet,mets,1.47039,0.170312
inet,mets,1.94138,0.195496
inet,mets,1.36588,0.184984
inet,mets,1.78936,0.170312
,mets Result,1.511296,0.184935466666667
inet,t2d,1.40565,0.275872
inet,t2d,1.71575,0.331376
inet,t2d,1.42257,0.34572
inet,t2d,1.35219,0.293232
inet,t2d,1.60299,0.323416
inet,t2d,1.34048,0.386744
inet,t2d,1.29834,0.255432
inet,t2d,1.39091,0.323416
inet,t2d,1.42284,0.38196
inet,t2d,1.54753,0.301168
inet,t2d,1.87792,0.310552
inet,t2d,1.47801,0.387568
inet,t2d,1.36264,0.301168
inet,t2d,1.53089,0.312736
inet,t2d,1.40771,0.409608
,t2d Result,1.47709466666667,0.3293312
string,cad,37.16977,4287.588336
string,cad,33.55736,4253.535816
string,cad,39.72455,4397.353768
string,cad,33.29523,4317.121112
string,cad,30.3658,4199.520056
string,cad,32.50115,4342.180392
string,cad,30.50307,4331.67808
string,cad,30.65718,4188.90616
string,cad,29.99197,4323.355616
string,cad,31.06355,4244.25192
string,cad,31.31235,4189.46196
string,cad,31.01957,4261.037136
string,cad,31.29932,4262.411056
string,cad,34.48405,4325.817216
string,cad,31.64373,4412.733856
,cad Result,32.5725766666667,4289.13016533333
string,mets,1.65998,0.095392
string,mets,1.0176,0.079256
string,mets,1.24482,0.071552
string,mets,1.07679,0.095392
string,mets,1.24067,0.087232
string,mets,2.47895,0.07868
string,mets,1.1526,0.095392
string,mets,1.08355,0.087232
string,mets,1.21223,0.07868
string,mets,2.53217,0.09536
string,mets,1.41739,0.087248
string,mets,2.55393,0.07868
string,mets,1.4874,0.088896
string,mets,1.15285,0.079304
string,mets,2.43524,0.07868
,mets Result,1.583078,0.085131733333333
string,t2d,2.27574,2.202464
string,t2d,1.49541,1.96768
string,t2d,2.95946,2.451488
string,t2d,2.71883,2.226208
string,t2d,1.53965,2.125728
string,t2d,2.67119,2.423776
string,t2d,1.29908,2.168272
string,t2d,1.52356,2.13628
string,t2d,1.45634,2.409464
string,t2d,2.75061,2.271328
string,t2d,1.734,2.07468
string,t2d,3.01439,2.333696
string,t2d,1.3998,2.221432
string,t2d,1.8596,2.130944
string,t2d,2.78876,2.493832
,t2d Result,2.09909466666667,2.2424848
