topology,subject,measure,ontology,dimension,adj_time(s),adj_memory(mb),edge,node,cluster,clustering_time(s),clustering_memory(mb),time(s),memory(mb)
inet,mets,Wang,BP,24,0.02273,0.006928,36,24,5,0.83892,0.98332,0.86165,0.990248
inet,mets,Wang,CC,21,0.02438,0.005776,34,21,5,0.71773,0.805704,0.74211,0.81148
inet,t2d,Resnik,MF,49,0.02204,0.021968,38,48,12,1.13498,4.437912,1.15702,4.45988
inet,t2d,Resnik,BP,48,0.01864,0.021184,46,48,12,2.21419,4.590176,2.23283,4.61136
inet,t2d,Resnik,CC,51,0.02014,0.023656,49,51,12,1.13246,5.561024,1.1526,5.58468
inet,t2d,Lin,MF,49,0.0184,0.021968,38,48,12,1.16411,4.633024,1.18251,4.654992
inet,t2d,Lin,BP,48,0.01886,0.021184,46,48,11,1.01305,4.04968,1.03191,4.070864
inet,t2d,Lin,CC,51,0.01898,0.023656,49,51,12,1.06863,4.49384,1.08761,4.517496
inet,t2d,Rel,MF,49,0.02107,0.021968,38,48,12,0.99851,4.194496,1.01958,4.216464
inet,t2d,Rel,BP,48,0.02785,0.021184,46,48,12,1.07484,4.103344,1.10269,4.124528
inet,t2d,Rel,CC,51,0.02855,0.023656,49,51,12,1.12989,5.012832,1.15844,5.036488
inet,t2d,Jiang,MF,49,0.02318,0.021968,46,49,11,1.19969,5.074824,1.22287,5.096792
inet,t2d,Jiang,BP,48,0.04384,0.021184,34,45,11,1.12316,3.641136,1.167,3.66232
inet,t2d,Jiang,CC,51,0.02553,0.023656,49,51,12,1.03993,4.959104,1.06546,4.98276
inet,t2d,Wang,MF,49,0.01811,0.021968,46,49,11,1.06514,4.567656,1.08325,4.589624
inet,t2d,Wang,BP,50,0.01844,0.022792,47,50,11,1.2607,4.67804,1.27914,4.700832
inet,t2d,Wang,CC,51,0.02678,0.023656,49,51,12,1.05646,4.712216,1.08324,4.735872
inet,cad,Resnik,MF,798,1.92216,5.640376,11258,788,78,23.54568,1484.712624,25.46784,1490.353
inet,cad,Resnik,BP,792,1.23393,5.557672,11130,786,74,24.50522,1461.143232,25.73915,1466.700904
inet,cad,Resnik,CC,807,1.27835,5.758288,11604,802,85,29.15859,1760.852752,30.43694,1766.61104
inet,cad,Lin,MF,798,1.26792,5.640376,11258,788,86,29.06217,1694.552952,30.33009,1700.193328
inet,cad,Lin,BP,792,1.23896,5.557672,11130,786,76,25.03209,1474.361848,26.27105,1479.91952
inet,cad,Lin,CC,807,1.27903,5.758288,11604,802,81,26.25907,1551.064128,27.5381,1556.822416
inet,cad,Rel,MF,798,1.31897,5.640376,11258,788,82,28.66589,1686.475248,29.98486,1692.115624
inet,cad,Rel,BP,792,1.26425,5.557672,11130,786,72,26.00475,1584.02484,27.269,1589.582512
inet,cad,Rel,CC,807,1.30251,5.758288,11604,802,81,32.97412,2069.22216,34.27663,2074.980448
inet,cad,Jiang,MF,798,1.28642,5.640376,11454,793,78,27.60216,1686.02196,28.88858,1691.662336
inet,cad,Jiang,BP,792,1.26245,5.557672,11003,786,72,24.88584,1513.964896,26.14829,1519.522568
inet,cad,Jiang,CC,807,1.31326,5.758288,11644,807,79,30.24789,1829.465104,31.56115,1835.223392
inet,cad,Wang,MF,802,1.3056,5.692256,11576,802,81,27.95504,1665.664184,29.26064,1671.35644
inet,cad,Wang,BP,796,1.29849,5.613752,11503,796,77,23.43607,1507.29368,24.73456,1512.907432
inet,cad,Wang,CC,808,1.31032,5.7728,11710,808,81,28.09376,1584.841704,29.40408,1590.614504
