"symbol1" "symbol2" "BP"
"ACP5" "CLCN7" 0
"ACP5" "NES" 0.168
"ACP5" "CD207" 0
"COMP" "NES" 0.31
"COMP" "NDP" 0.336
"HRK" "BBC3" 0.792
"SIX3" "ENTPD2" 0.356
"SIX3" "LHX2" 0.72
"TNFRSF13B" "TNFSF13" 0.68
"PRKCG" "ADRBK1" NA
"POLD3" "POLR2L" 0.52
"ASB6" "ANAPC2" 0.384
"ANXA5" "BBC3" 0.521
"RPS9" "GSPT2" 0.664
"DCXR" "NES" 0.067
"SNCB" "ALAS2" 0.236
"ADRBK1" "GIT1" NA
"ANAPC2" "PCGF6" 0.286
"COX5A" "ATP5G2" NA
"POLR2L" "ENTPD2" 0.422
"LCE3B" "S100A8" 0.401
"NES" "NDP" 0.41
"S100A8" "FCN1" 0.51
"TLX1" "LHX2" NA
"LHX2" "CRB2" 0.492
