"symbol1","symbol2"
"ATP5G2","COX5A"
"ENTPD2","POLR2L"
"FRG1","RPS9"
"GLUD2","COX5A"
"HCFC1","ANAPC2"
"NFKBIB","POLR2L"
"NFKBIB","S100A8"
"POLR2L","RPS9"
"POLR2L","ARPC1B"
"POLR2L","ANAPC2"
"POLR2L","YIF1B"
"RPS9","COX5A"
"RPS9","ARPC1B"
"RPS9","GSPT2"
"RPS9","ANAPC2"
"RPS9","ISYNA1"
"SIX3","LHX2"
"TNFSF13","TNFRSF13B"
"RABAC1","YIF1B"
"ANAPC2","VPS28"
"ANAPC2","PCGF6"
