"symbol1","symbol2"
"ACHE","CAMK2A"
"ACHE","HAND1"
"ACP5","CD68"
"ACTA1","ACTA2"
"ACTA1","ACTN4"
"ACTA1","AKT1"
"ACTA1","ARF1"
"ACTA1","CSK"
"ACTA1","DDOST"
"ACTA1","EEF2"
"ACTA1","EIF4A2"
"ACTA1","EIF5A"
"ACTA1","HSPB1"
"ACTA1","LAMA5"
"ACTA1","PFDN1"
"ACTA1","PGK1"
"ACTA1","RAPSN"
"ACTA1","RPL4"
"ACTA1","RPLP0"
"ACTA1","RPLP2"
"ACTA1","RPS9"
"ACTA1","TMSB4X"
"ACTA1","TNNI1"
"ACTA1","TNNI2"
"ACTA1","TPM2"
"ACTA1","TMSB4Y"
"ACTA1","GSPT2"
"ACTA1","CTNNBL1"
"ACTA1","TUBB"
"ACTA1","HIST1H2AA"
"ACTA1","TUBB2B"
"ACTA2","ACTN4"
"ACTA2","KLF6"
"ACTA2","EEF2"
"ACTA2","EIF5A"
"ACTA2","HSPB1"
"ACTA2","PGK1"
"ACTA2","RPL4"
"ACTA2","RPL7"
"ACTA2","RPLP0"
"ACTA2","RPLP2"
"ACTA2","RPS9"
"ACTA2","RPS23"
"ACTA2","SRF"
"ACTA2","TMSB4X"
"ACTA2","TPM2"
"ACTA2","RPL14"
"ACTA2","ARPC1B"
"ACTA2","GSPT2"
"ACTA2","PYCR2"
"ACTA2","TUBB"
"ACTA2","TUBB2B"
"ACTN4","AP2A1"
"ACTN4","AKT1"
"ACTN4","CAMK2A"
"ACTN4","CSK"
"ACTN4","CSNK2B"
"ACTN4","DNM2"
"ACTN4","EEF2"
"ACTN4","FAU"
"ACTN4","GNB1"
"ACTN4","GNB2"
"ACTN4","MDH2"
"ACTN4","MSN"
"ACTN4","MYL6"
"ACTN4","PF4"
"ACTN4","PGK1"
"ACTN4","RAB5C"
"ACTN4","RPL4"
"ACTN4","RPL7"
"ACTN4","RPL8"
"ACTN4","RPL27A"
"ACTN4","RPLP2"
"ACTN4","RPN1"
"ACTN4","SET"
"ACTN4","SPARC"
"ACTN4","TMSB4X"
"ACTN4","TNNI2"
"ACTN4","TNNT3"
"ACTN4","TPM2"
"ACTN4","TSC2"
"ACTN4","VEGFB"
"ACTN4","VWF"
"ACTN4","SLC9A3R2"
"ACTN4","ARPC1B"
"ACTN4","TRIM3"
"ACTN4","RPL13A"
"ACTN4","TUBB"
"ADAR","EGR1"
"ADAR","IFIT2"
"ADAR","IRF2"
"ADAR","IRF3"
"ADAR","IRF7"
"ADAR","NONO"
"ADAR","NPM1"
"ADAR","PCBP1"
"ADAR","PSMB4"
"ADAR","RPL11"
"ADAR","RPS2"
"ADAR","RPL35"
"ADCY1","FSHR"
"ADCY1","GNAI2"
"ADCY1","GNB2"
"ADCY1","GRM4"
"ADCY1","HRAS"
"ADCY1","HTR4"
"ADCY1","NPY"
"ADCY1","SCTR"
"ADCY1","CXCR4"
"ADCY1","ADM2"
"ADCY1","NPW"
"AP2A1","ARRB2"
"AP2A1","CAMK2A"
"AP2A1","CD22"
"AP2A1","CRK"
"AP2A1","CSNK2B"
"AP2A1","DNM2"
"AP2A1","EEF2"
"AP2A1","EIF5A"
"AP2A1","HLA-DRB1"
"AP2A1","PPP3CC"
"AP2A1","RAB5B"
"AP2A1","RAB5C"
"AP2A1","RPN1"
"AP2A1","RPS9"
"AP2A1","RAB11B"
"AP2A1","PIP5K1C"
"AP2A1","RPL13A"
"AP2A1","BIN2"
"AP2A1","EPN3"
"AKT1","ARF1"
"AKT1","ARRB2"
"AKT1","BAD"
"AKT1","ZFP36L1"
"AKT1","CAMK2A"
"AKT1","CRK"
"AKT1","CSK"
"AKT1","DDOST"
"AKT1","EEF2"
"AKT1","EGR1"
"AKT1","EIF4EBP1"
"AKT1","FOXM1"
"AKT1","FLII"
"AKT1","GATA2"
"AKT1","GNAI2"
"AKT1","GNB2"
"AKT1","GYS1"
"AKT1","HRAS"
"AKT1","HSPB1"
"AKT1","IRF3"
"AKT1","ITGA2B"
"AKT1","ITGB4"
"AKT1","MCL1"
"AKT1","MEF2D"
"AKT1","MSN"
"AKT1","NONO"
"AKT1","NPM1"
"AKT1","PCBP1"
"AKT1","SERPINB5"
"AKT1","PLK1"
"AKT1","PPP2R5A"
"AKT1","PSMA7"
"AKT1","PSMB4"
"AKT1","PSMC4"
"AKT1","RPL7"
"AKT1","RPS2"
"AKT1","RPS9"
"AKT1","SDHC"
"AKT1","SOS1"
"AKT1","ST14"
"AKT1","STAT3"
"AKT1","STAT5A"
"AKT1","STK11"
"AKT1","TNF"
"AKT1","TPM2"
"AKT1","TSC2"
"AKT1","NCK2"
"AKT1","PIAS1"
"AKT1","KHSRP"
"AKT1","HDAC3"
"AKT1","SPHK1"
"AKT1","NUDC"
"AKT1","PLEKHO1"
"AKT1","SYTL1"
"AKT1","RASL10B"
"AKT1","TUBB"
"ALAS2","SARDH"
"ALAS2","HBD"
"ALAS2","LSS"
"ALAS2","MDH2"
"ALAS2","NDUFV1"
"ALAS2","FIS1"
"ALOX5AP","CD53"
"ALOX5AP","CD68"
"ALOX5AP","HLA-DRB1"
"ALOX5AP","PLP2"
"ALOX5AP","S100A6"
"ALOX5AP","TBXAS1"
"ALOX5AP","LST1"
"ALOX5AP","VAMP8"
"AMBP","CD79A"
"ANXA5","EEF2"
"ANXA5","MSN"
"ANXA5","PGK1"
"ANXA5","PPIB"
"ANXA5","CRTAP"
"ANXA11","HLA-DRA"
"ANXA11","S100A6"
"APLP1","CPE"
"APLP1","VGF"
"ARF1","ASNA1"
"ARF1","CKS1B"
"ARF1","CSNK2B"
"ARF1","CTSL"
"ARF1","DDOST"
"ARF1","DYNC1H1"
"ARF1","EEF1G"
"ARF1","EEF2"
"ARF1","EIF4A2"
"ARF1","EIF5A"
"ARF1","FAU"
"ARF1","GNB1"
"ARF1","GNB2"
"ARF1","HLA-DRB1"
"ARF1","HRAS"
"ARF1","MSN"
"ARF1","NPM1"
"ARF1","PCBP1"
"ARF1","PGK1"
"ARF1","PLK1"
"ARF1","PPIB"
"ARF1","PPP3CC"
"ARF1","PSMA4"
"ARF1","PSMA7"
"ARF1","PSMB4"
"ARF1","PSMC4"
"ARF1","RAB5B"
"ARF1","RAB5C"
"ARF1","RPL4"
"ARF1","RPL8"
"ARF1","RPL11"
"ARF1","RPL15"
"ARF1","RPL18"
"ARF1","RPL30"
"ARF1","RPL27A"
"ARF1","RPL32"
"ARF1","RPL36AL"
"ARF1","RPL37"
"ARF1","RPLP0"
"ARF1","RPLP2"
"ARF1","RPN1"
"ARF1","RPS2"
"ARF1","RPS9"
"ARF1","RPS23"
"ARF1","SURF4"
"ARF1","UQCRC2"
"ARF1","RPL14"
"ARF1","RAB11B"
"ARF1","ARFRP1"
"ARF1","RPL35"
"ARF1","EXOSC7"
"ARF1","PIP5K1C"
"ARF1","RPL13A"
"ARF1","GSPT2"
"ARF1","PYCR2"
"ARF1","SEC61A1"
"ARF1","VPS28"
"ARF1","BET1L"
"ARF1","CAB39"
"ARF1","PPAN"
"ARF1","SMAP1"
"ARF1","TRAPPC5"
"ARF1","TUBB"
"RHOG","CSK"
"RHOG","CYBA"
"RHOG","GNAI2"
"RHOG","HCK"
"RHOG","SOS1"
"RHOG","SPI1"
"RHOG","STAT3"
"RHOG","VAV1"
"RHOG","STK24"
"RHOG","RHOBTB1"
"RHOG","ARHGEF16"
"RHOG","ARHGAP17"
"RHOG","ARHGAP9"
"RHOG","FGD3"
"RHOG","RHOT2"
"ARR3","ARRB2"
"ARR3","FSHR"
"ARR3","CXCR4"
"ARRB2","CSK"
"ARRB2","DYNC1H1"
"ARRB2","EEF2"
"ARRB2","HCK"
"ARRB2","MYL6"
"ARRB2","NONO"
"ARRB2","RAB5C"
"ARRB2","RANGAP1"
"ARRB2","RPL4"
"ARRB2","RPL7"
"ARRB2","RPL11"
"ARRB2","RPL18"
"ARRB2","RPLP0"
"ARRB2","RPLP2"
"ARRB2","CXCR4"
"ARRB2","RBM10"
"ARRB2","RPL14"
"ARRB2","NUDC"
"ARRB2","RPL35"
"ARRB2","ARHGAP17"
"ASIP","F11R"
"ASL","DDOST"
"ASL","GLUD2"
"ASL","GNB2"
"ASL","PPIB"
"ASL","RPL4"
"ASL","RPLP2"
"ASNA1","CSNK2B"
"ASNA1","ECHS1"
"ASNA1","EEF1G"
"ASNA1","EEF2"
"ASNA1","EIF5A"
"ASNA1","GNAI2"
"ASNA1","GNB1"
"ASNA1","GNB2"
"ASNA1","GTF2H4"
"ASNA1","HINT1"
"ASNA1","MARS"
"ASNA1","NDUFV1"
"ASNA1","NONO"
"ASNA1","P2RY11"
"ASNA1","PCBP1"
"ASNA1","PFDN1"
"ASNA1","POLR2L"
"ASNA1","PPIB"
"ASNA1","PSMA4"
"ASNA1","PSMA7"
"ASNA1","PSMB4"
"ASNA1","PSMC4"
"ASNA1","RPL4"
"ASNA1","RPLP2"
"ASNA1","MRPS12"
"ASNA1","RPS9"
"ASNA1","USP5"
"ASNA1","CLPP"
"ASNA1","ZBED1"
"ASNA1","ATP6V1F"
"ASNA1","MPHOSPH6"
"ASNA1","NUDC"
"ASNA1","RPL35"
"ASNA1","GABARAP"
"ASNA1","HSPBP1"
"ASNA1","GSPT2"
"ASNA1","TXN2"
"ASNA1","TIMM13"
"ASNA1","SEC61A1"
"ASNA1","FIS1"
"ASNA1","ISYNA1"
"ASNA1","PPAN"
"ASNA1","EXOSC5"
"ASNA1","XAB2"
"ASNA1","LSM2"
"ASNA1","MUS81"
"ASNA1","YIF1B"
"ASNA1","KLHDC3"
"ASNA1","TRAPPC5"
"ASNA1","TUBB"
"ATP5G1","ATP5G2"
"ATP5G1","COX7C"
"ATP5G1","TIMM8A"
"ATP5G1","ECHS1"
"ATP5G1","EIF5A"
"ATP5G1","IDH2"
"ATP5G1","MDH2"
"ATP5G1","NDUFA3"
"ATP5G1","NDUFB7"
"ATP5G1","NDUFB10"
"ATP5G1","NDUFV1"
"ATP5G1","MRPS12"
"ATP5G1","SDHC"
"ATP5G1","UQCRC2"
"ATP5G1","COX7A2L"
"ATP5G1","COX5A"
"ATP5G1","TXN2"
"ATP5G1","TIMM13"
"ATP5G1","UQCRQ"
"ATP5G1","NDUFB11"
"ATP5G1","MRPL16"
"ATP5G1","MRPL17"
"ATP5G1","MRPS24"
"ATP5G1","CHCHD4"
"ATP5G2","COX7C"
"ATP5G2","EIF5A"
"ATP5G2","MDH2"
"ATP5G2","NDUFB7"
"ATP5G2","NDUFB10"
"ATP5G2","NDUFV1"
"ATP5G2","MRPS12"
"ATP5G2","SDHC"
"ATP5G2","UQCRC2"
"ATP5G2","RBM10"
"ATP5G2","COX7A2L"
"ATP5G2","COX5A"
"ATP5G2","TIMM13"
"ATP5G2","UQCRQ"
"ATP5G2","NDUFB11"
"ATP5G2","MRPL16"
"ATP6AP1","IGF2R"
"ATP6AP1","LAMP1"
"ATP6AP1","ATP6V1F"
"ATP6AP1","NDFIP1"
"KIF1A","GIT1"
"BAD","BID"
"BAD","MCL1"
"BAD","PPP3CC"
"BAD","HRK"
"BAD","PIM2"
"BAD","BBC3"
"BCL3","NFKB2"
"BCL3","RELB"
"BCL3","STAT3"
"BCL3","HDAC3"
"BID","CSNK1E"
"BID","CSNK2B"
"BID","MCL1"
"BID","MSN"
"BID","RIPK1"
"BID","SQSTM1"
"BID","BBC3"
"ZFP36L1","EXOSC7"
"ZFP36L1","EXOSC3"
"ZFP36L1","EXOSC5"
"BST2","IRF7"
"BST2","HARS2"
"C8G","LCN1"
"PTTG1IP","LAMP1"
"PTTG1IP","RNF149"
"CACNA1A","GNB1"
"CACNA1A","GNB2"
"CACNA1A","GRN"
"CACNA1A","PRKCG"
"CACNA1A","CACNA2D4"
"CACNA1A","TUBB2B"
"CAMK2A","HRAS"
"CAMK2A","ITGA2B"
"CAMK2A","MEF2D"
"CAMK2A","SRF"
"CAMK2A","SYNGAP1"
"CAMK2A","SQSTM1"
"CAMK2A","CLSTN3"
"CAMK2A","GIT1"
"CAMK2A","CACNA2D4"
"CD7","CTSL"
"CD7","SPN"
"CD22","CD68"
"CD22","CD72"
"CD22","CD79A"
"CD22","SPN"
"CD22","TNFRSF13B"
"ENTPD2","POLR2L"
"CD53","GGT1"
"CD53","HLA-DRB1"
"CD53","SPN"
"CD63","HLA-DRA"
"CD63","IGF2R"
"CD63","LAMP1"
"CD63","MSN"
"CD63","SPARC"
"CD63","SRF"
"CD68","CYBA"
"CD68","HLA-DMA"
"CD68","SPI1"
"CD68","VWF"
"CD72","CD79A"
"CD72","HLA-DRB1"
"CD72","SELL"
"CD79A","CSK"
"CD79A","SELL"
"CD79A","SLAMF1"
"CD79A","SOS1"
"CD79A","TNFRSF13B"
"CD79A","LAT"
"CD79A","FATE1"
"CDA","CES2"
"CDA","NT5M"
"CDC25A","CKS1B"
"CDC25A","CSNK1E"
"CDC25A","FOXM1"
"CDC25A","HCFC1"
"CDC25A","HRAS"
"CDC25A","NPM1"
"CDC25A","PLK1"
"CDC25A","PSMA4"
"CDC25A","PSMA7"
"CDC25A","PSMB4"
"CDC25A","PSMC4"
"CDC25A","RRM2"
"CDC25A","MCM3AP"
"CDC25A","PKMYT1"
"CDC25A","NUDC"
"CDC25A","PSME4"
"CDC25A","PPAN"
"CEBPA","DBP"
"CEBPA","GATA2"
"CEBPA","SPI1"
"CEBPA","PIAS1"
"CEBPA","MTA1"
"CEBPA","BATF"
"CHRNG","RAPSN"
"CKS1B","CSNK2B"
"CKS1B","DDOST"
"CKS1B","DDX11"
"CKS1B","EEF1G"
"CKS1B","EEF2"
"CKS1B","EIF4A2"
"CKS1B","EIF5A"
"CKS1B","FANCG"
"CKS1B","FOXM1"
"CKS1B","FRG1"
"CKS1B","GNB1"
"CKS1B","GNB2"
"CKS1B","GTF2H4"
"CKS1B","KIFC1"
"CKS1B","MARS"
"CKS1B","NONO"
"CKS1B","NPM1"
"CKS1B","P2RY11"
"CKS1B","PCBP1"
"CKS1B","PCBP2"
"CKS1B","PLK1"
"CKS1B","POLR2L"
"CKS1B","PPIB"
"CKS1B","PSMA4"
"CKS1B","PSMA7"
"CKS1B","PSMB4"
"CKS1B","PSMC4"
"CKS1B","RAB5B"
"CKS1B","RAB5C"
"CKS1B","RPL4"
"CKS1B","RPL7"
"CKS1B","RPL8"
"CKS1B","RPL10"
"CKS1B","RPL11"
"CKS1B","RPL15"
"CKS1B","RPL30"
"CKS1B","RPL27A"
"CKS1B","RPL32"
"CKS1B","RPL36AL"
"CKS1B","RPLP0"
"CKS1B","RPLP2"
"CKS1B","MRPS12"
"CKS1B","RPN1"
"CKS1B","RPS2"
"CKS1B","RPS9"
"CKS1B","RRM2"
"CKS1B","SET"
"CKS1B","SH3GL1"
"CKS1B","SMARCD3"
"CKS1B","SP1"
"CKS1B","SURF4"
"CKS1B","TBCA"
"CKS1B","UGP2"
"CKS1B","UNG"
"CKS1B","ZNF35"
"CKS1B","HIST1H2AC"
"CKS1B","HDAC3"
"CKS1B","BAZ1B"
"CKS1B","RPL14"
"CKS1B","PKMYT1"
"CKS1B","ZBED1"
"CKS1B","ARPC1B"
"CKS1B","PRMT5"
"CKS1B","TACC3"
"CKS1B","MYBBP1A"
"CKS1B","POLD3"
"CKS1B","NUDC"
"CKS1B","RPL35"
"CKS1B","DNAJC9"
"CKS1B","HARS2"
"CKS1B","RPL13A"
"CKS1B","KPNA6"
"CKS1B","TIMM13"
"CKS1B","PYCR2"
"CKS1B","SEC61A1"
"CKS1B","CTNNBL1"
"CKS1B","PPAN"
"CKS1B","EXOSC5"
"CKS1B","XAB2"
"CKS1B","PLSCR3"
"CKS1B","LSM2"
"CKS1B","MRPL17"
"CKS1B","CHTF18"
"CKS1B","CENPH"
"CKS1B","PDCL3"
"CKS1B","MUS81"
"CKS1B","ANP32E"
"CKS1B","SHKBP1"
"CKS1B","FTSJ3"
"CKS1B","TRAPPC5"
"CKS1B","TUBB"
"CKS1B","POLR2J2"
"CKS1B","TSEN54"
"CLCN7","LAMP1"
"CNGA2","KCNK9"
"CNTFR","CRK"
"CNTFR","CTF1"
"COMT","CSNK2B"
"COMT","DBH"
"COMT","HINT1"
"COMT","MDH2"
"COMT","PNMT"
"COMT","RGS2"
"KLF6","PGK1"
"KLF6","RPLP2"
"KLF6","SP1"
"KLF6","HDAC3"
"KLF6","ARPC5"
"KLF6","ARPC1B"
"COX7C","TIMM8A"
"COX7C","HINT1"
"COX7C","IDH2"
"COX7C","MDH2"
"COX7C","NDUFA3"
"COX7C","NDUFB7"
"COX7C","NDUFB10"
"COX7C","NDUFV1"
"COX7C","MRPS12"
"COX7C","SDHC"
"COX7C","UQCRC2"
"COX7C","COX7A2L"
"COX7C","COX5A"
"COX7C","TIMM13"
"COX7C","UQCRQ"
"COX7C","NDUFB11"
"COX7C","MRPL16"
"COX7C","MRPS24"
"COX7C","CHCHD4"
"CRK","CSK"
"CRK","DNM2"
"CRK","EPHB3"
"CRK","GP9"
"CRK","HSPB1"
"CRK","ITGA2B"
"CRK","KRT16"
"CRK","PRKCG"
"CRK","SOS1"
"CRK","STAT5A"
"CRK","TAL1"
"CRK","VAV1"
"CRK","VWF"
"CRK","NCK2"
"CRK","SOCS1"
"CRK","TNK2"
"CRK","EFS"
"CRK","TGOLN2"
"CRK","FRS3"
"CRK","FASTK"
"CRK","SH3BP1"
"CRK","HSPBP1"
"CRK","OPTC"
"CRK","ARHGAP17"
"CRK","THOC2"
"CRK","MICAL1"
"CSF3R","HCK"
"CSF3R","STAT3"
"CSK","CSNK2B"
"CSK","DYNC1H1"
"CSK","DNM2"
"CSK","FAU"
"CSK","FLII"
"CSK","GNAI2"
"CSK","HCK"
"CSK","HLA-DRB1"
"CSK","ITGA2B"
"CSK","SOS1"
"CSK","STAT3"
"CSK","STAT5A"
"CSK","VAV1"
"CSK","VWF"
"CSK","STK24"
"CSK","NCK2"
"CSK","PSTPIP1"
"CSK","ARHGAP17"
"CSK","ILKAP"
"CSK","TUBB"
"CSNK1E","CSNK2B"
"CSNK1E","DYNC1H1"
"CSNK1E","EEF2"
"CSNK1E","EIF4A2"
"CSNK1E","EIF5A"
"CSNK1E","GNB1"
"CSNK1E","GNB2"
"CSNK1E","GYS1"
"CSNK1E","NONO"
"CSNK1E","PCBP2"
"CSNK1E","PCNT"
"CSNK1E","PLK1"
"CSNK1E","PSMC4"
"CSNK1E","RPLP2"
"CSNK1E","RPS9"
"CSNK1E","USP11"
"CSNK1E","MTA2"
"CSNK1E","PRMT5"
"CSNK1E","TUBGCP2"
"CSNK1E","GSPT2"
"CSNK1E","SMAP1"
"CSNK1E","KLHDC3"
"CSNK2B","DDOST"
"CSNK2B","DYNC1H1"
"CSNK2B","EEF2"
"CSNK2B","EIF4A2"
"CSNK2B","EIF5A"
"CSNK2B","FAU"
"CSNK2B","GNB1"
"CSNK2B","GNB2"
"CSNK2B","GTF2H4"
"CSNK2B","HCFC1"
"CSNK2B","HINT1"
"CSNK2B","MARS"
"CSNK2B","MDH2"
"CSNK2B","MYL6"
"CSNK2B","NDUFB7"
"CSNK2B","NDUFB10"
"CSNK2B","NDUFV1"
"CSNK2B","NONO"
"CSNK2B","NPM1"
"CSNK2B","P2RY11"
"CSNK2B","PCBP1"
"CSNK2B","PCBP2"
"CSNK2B","PGK1"
"CSNK2B","POLR2L"
"CSNK2B","PPIB"
"CSNK2B","PPP2R5A"
"CSNK2B","PPP3CC"
"CSNK2B","PSMA4"
"CSNK2B","PSMA7"
"CSNK2B","PSMB4"
"CSNK2B","PSMC4"
"CSNK2B","RAB5C"
"CSNK2B","RANGAP1"
"CSNK2B","RPL4"
"CSNK2B","RPL7"
"CSNK2B","RPL8"
"CSNK2B","RPL10"
"CSNK2B","RPL15"
"CSNK2B","RPL18"
"CSNK2B","RPL30"
"CSNK2B","RPL27A"
"CSNK2B","RPL41"
"CSNK2B","RPLP0"
"CSNK2B","RPLP2"
"CSNK2B","RPN1"
"CSNK2B","RPS2"
"CSNK2B","RPS9"
"CSNK2B","RPS23"
"CSNK2B","SET"
"CSNK2B","SH3GL1"
"CSNK2B","STAT5A"
"CSNK2B","SURF4"
"CSNK2B","UQCRC2"
"CSNK2B","HDAC3"
"CSNK2B","RPL14"
"CSNK2B","MTA1"
"CSNK2B","ZBED1"
"CSNK2B","RAB11B"
"CSNK2B","ATP6V1F"
"CSNK2B","COX5A"
"CSNK2B","ENTPD4"
"CSNK2B","PRMT5"
"CSNK2B","ZNHIT1"
"CSNK2B","NUDC"
"CSNK2B","RPL35"
"CSNK2B","DNAJC9"
"CSNK2B","RPL13A"
"CSNK2B","TIMM13"
"CSNK2B","ANAPC2"
"CSNK2B","CPSF1"
