"cluster"	"node"
45	"AKT1,BAD,BBC3,BID,HRK,MCL1,STAT3,STAT5A"
46	"ACTA2,ARPC1B,ARPC5,HDAC3,KLF6,MEF2D,MYOG,PGK1,PRMT5,RPLP2,SRF"
47	"ACTA1,ACTA2,ACTN4,DYNC1H1,MYL2,MYL3,NONO,TCAP,TNNI1,TNNI2,TNNT2,TNNT3,TPM2"
48	"CD22,CD7,DAXX,SIGLEC1,SPN"
49	"ABCA7,ATXN7L3,DYRK1B,PDXP,RAB5B,RAB5C,SH3BP1,UBL5,USP22"
50	"AP2A1,ARF1,CD72,CSK,DDOST,DYNC1H1,HLA-DRB1,MSN,OSBPL1A"
51	"AKT1,CPSF1,EXOSC3,EXOSC5,EXOSC7,KHSRP,NONO,NUDC,PCBP2,RRM2,SET,XAB2,ZFP36L1"
52	"AGPAT1,LIMK2,LSS,POR"
53	"EPHB3,GNAI2,PPFIA3,PTPRU"
54	"BBC3,CKS1B,EGR1,GNAI2,HBZ,HCFC1,HDAC3,HINT1,KLF6,MEF2D,MSX1,MYOG,NFKB2,NR5A1,PCBP1,PITX1,PPIB,RAB5B,SMARCD3,SP1,SRF,TAL1,TFAP4,THOC2,THRA,ZNF35"
55	"ACTN4,AKT1,EEF2,EIF4A2,EIF4EBP1,HRAS,PAM,PLK1,RPLP0,STK11,TMEM115,TSC2"
56	"FFAR2,PIP5K1C,PLCB2,PLCB3,PROK2,RGS2,SLC34A1,SLC9A3R2,UTS2R"
57	"ASNA1,CLPP,ECHS1,EEF2,FTSJ3,GABARAP,HINT1,MDH2,MRPS12,MRPS24,MYL6,NDUFB10,NDUFV1,NPM1,NPM3,PPIB,PSMA4,RPL35,RPL8,RPS2,SDHC,TIMM13,TXN2"
58	"BRSK1,CAB39,DYRK1B,SMARCD3,STK11,USP11,WDR6"
59	"AKT1,HSPB1,NFKB2,RELB,SELL,SPI1,TNF,TNIP1,TYRO3"
60	"ACTA1,ACTA2,ACTN4,ADAMTS13,MSN,MYL6,PF4,RPS2,SPARC,TMSB4X,VEGFB,VWF,WDTC1"
61	"CENPH,CKS1B,CPSF1,DDX11,DNAJC9,EXOSC3,EXOSC5,FTSJ3,GTF2H4,HDAC3,INCENP,KIFC1,MTA1,MTA2,MUS81,MYBBP1A,NONO,NPM1,NUDC,PCBP1,PKMYT1,POLD3,PPAN,PSMA4,PSMC4,RPL35,RPL4,RRM2,SET,TACC3"
62	"ACTA1,ACTA2,AKT1,DAXX,EXOSC3,FLII,HDAC3,HSPB1,NPM1,PSMA4,PSMA7,PSMB4,PSMC4"
63	"CD63,HLA-DRA,LAMA5,SPARC,SRF,STAB1"
64	"CEBPA,CRK,CSK,GATA2,IL7R,ITGA2B,SPI1,STAT3,STAT5A,TAL1,ZBTB32,ZFPM1"
65	"DDOST,DYNC1H1,ELF4,GRN,HLA-G,KCTD17,NPM1,NUMA1,OSBPL1A,PADI4,PLP2,SEC61A1,SET,TUBB"
66	"CPSF1,DDOST,DYRK1B,EEF2,FTSJ3,HIPK4,MARS,MYBBP1A,NONO,PCBP1,RPL4,RPL7,RPS9,TIMM13,WDR6"
67	"CNDP2,ECHS1,GCLM,GGT1,GSS,GSTM1,IRF3"
68	"CKS1B,EEF2,EIF5A,FAU,LSM2,MSN,MUS81,NONO,NUDC,PCBP1,PCBP2,POLR2L,PPAN,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,RPL11,RPL14,RPL15,RPL18,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,RRM2,SET,STK24,TUBB"
69	"ARHGAP17,CNDP2,DYNC1H1,EIF5A,GNB1,GSPT2,IDH2,MDH2,PEPD,PPIB,PSMA4,PSMC4,RPLP0,RPLP2,RPS9,TIMM13"
70	"BAZ1B,CKS1B,CPSF1,HDAC3,KPNA6,MARS,MUS81,MYBBP1A,NONO,PCBP1,PCBP2,PRMT5,PSMA4,PSMC4,SIN3B,THOC2,USP22,XAB2,ZNF598"
71	"CAMK2A,GIT1,ITGA2B,ITGB4,KIF1A,LAMA5,NCK2,PFDN1,PIP5K1C,PPFIA3"
