"cluster"	"node"
119	"ANAPC2,ARHGAP17,COX5A,CPSF1,DTX3L,GABARAP,GNL1,GSPT2,MUS81,NONO,PAF1,PGK1,PPIB,PSMA4,PSMB4,PSMC4,RABAC1,RPL4,RPLP2,RPN1,SH3GL1,SH3GLB2,TIMM13,TRAPPC5,UBE2R2,UQCRC2,ZNF598"
120	"BCL3,CSNK1E,DAXX,GEMIN4,KPNA6,MARS,MYBBP1A,NFKB2,NFKBIB,NONO,POLR2L,RELB,RPL11,RPL18,RPL30,RPL7,RPLP0,RPLP2,SEC61A1,SPI1,TSC22D3,TUBB,TUBGCP2,USP11,USP2"
121	"CACNA1A,CACNA2D4,CAMKK2,GNB1,GNB2,GRN,PRKCG,TUBB2B"
122	"DLX5,FGF8,LHX2,MFNG,MSX1,POU3F1,POU3F4,SIX3"
123	"DYRK2,FTL,HMGN2,IFI30,NPM1,PPRC1,RPL11,RPL13A,RPL14,RPL15,RPL27A,RPL30,RPL32,RPL35,RPL37,RPL37A,RPL4,RPL41,RPL7,RPL8,RPLP0,RPLP2,RPS2,RPS23,SMG6"
124	"ARF1,ATP6V1F,CKS1B,DDOST,EEF2,EIF5A,EXT2,GABARAP,GNB1,GNB2,MRPL16,MRPL17,MRPS12,MYL6,NONO,ORMDL3,OS9,PLP2,POLR2L,POR,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL32,RPL35,RPL36AL,RPL37A,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,SEC61A1,SIGIRR,SLC1A5,SLC39A7,SURF4,TIMM13,TUBB"
125	"ARHGAP17,ASNA1,ATP6V1F,CLPP,COX7C,CSNK2B,EEF2,EIF5A,FRG1,GNB1,GNB2,HDAC3,HINT1,LSM2,LSM7,MDH2,MRPL16,MRPL17,MRPL21,MTA2,NDUFB10,NDUFB7,NDUFV1,NONO,PCBP1,PGK1,POLR2J2,POLR2L,PPAN,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,RBM10,RPL11,RPL13A,RPL14,RPL32,RPL35,RPL36AL,RPL37,RPLP0,RPLP2,RPS2,RPS23,RPS9,SAP30,SURF4,TBCA,TIMM13,UBL5,UQCRC2,UQCRQ"
126	"ANAPC2,CKS1B,CLPP,COX5A,COX7C,CPSF1,CSNK2B,DDOST,EEF2,EIF4A2,EIF5A,EXOSC3,EXOSC5,EXOSC7,FTSJ3,GNB2,GSPT2,GTF2H4,IDH2,KIFC1,LSM2,MDH2,MRPL16,MRPL17,MRPL21,MRPL52,MRPS12,MRPS24,MUS81,MYBBP1A,NDUFB10,NDUFB11,NDUFB7,NDUFS7,NDUFV1,NUDC,PAF1,PCBP1,PCBP2,PFDN2,PGK1,PLK1,POLR2L,PPAN,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RAB5B,RAB5C,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL30,RPL32,RPL35,RPL36AL,RPL37,RPL4,RPL7,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,SET,SH3GL1,SURF4,TBCA,THOC2,TIMM13,TRAPPC5,TUBB,UQCRC2,UQCRQ,VPS28,XAB2,ZNHIT1"
127	"AP2A1,ARHGAP17,ARPC1B,ARRB2,ATP6V1F,CSK,CSNK2B,DYNC1H1,EEF2,HCK,MYL6,NONO,NUDC,PCBP1,PPIB,PSMB4,PSMC4,RAB5B,RAB5C,RANGAP1,RBM10,RPL11,RPL14,RPL18,RPL30,RPL35,RPL4,RPL7,RPLP0,RPLP2,RPS2,RPS9,VPS28,ZNF598"
128	"ARPC1B,ARPC4,ARPC5,CYBA,EFHD2,HCK,MSN,NCK2,PSTPIP1,RHOG,RPL10,RPL32,RPL35,RPL37A,TUBB,VAV1"
129	"ARPC5,CKS1B,CLPP,CPSF1,CSNK2B,DDOST,DNAJC9,EEF2,EIF4A2,EIF5A,EXOSC3,EXOSC5,EXOSC7,FAU,FRG1,FTSJ3,GEMIN4,GEMIN7,GNB2,GSPT2,HARS2,HINT1,HIST1H2AA,HIST1H2AC,LSM2,MARS,MDH2,MUS81,MYBBP1A,MYL6,NONO,NPM1,NUDC,PCBP1,PCBP2,PDAP1,PLK1,POLR2L,PPAN,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RBM10,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL30,RPL32,RPL35,RPL36AL,RPL37,RPL37A,RPL4,RPL41,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,RRM2,SET,THOC2,TIMM13,TRAPPC5,TUBB,XAB2"
130	"ADAR,CXCR4,EGR1,FOXK1,GDF15,GTF2F1,HCFC1,HCK,HDAC3,HLA-DRB1,IFI30,IFIT2,IRF2,IRF2BP2,IRF3,IRF7,KHSRP,PITX1,PPIB,SPI1,SRF"
131	"ALAS2,ASNA1,CHCHD4,COX5A,DNAJB2,EEF2,EIF5A,FIS1,GNB2,IDH2,MDH2,MUS81,NDUFA3,NDUFB10,NDUFB7,NDUFS7,NDUFV1,PDCL3,POLR2L,PPIB,PSMA4,PSMC4,RAB5C,RHOT2,RPLP2,RPS2,SH3GL1,TIMM13,UQCRQ"
132	"ACTA1,ACTN4,AKT1,ARF1,ARRB2,CAMK2A,CRK,CSK,DDOST,EEF2,EGR1,FLII,GATA2,GNB2,GYS1,HDAC3,IRF3,ITGA2B,ITGB4,MSN,NCK2,NONO,NPM1,NUDC,PCBP1,PLEKHO1,PLK1,PSMA7,PSMB4,PSMC4,RPL7,RPS2,RPS9,SERPINB5,SOS1,SPHK1,ST14,STAT3,STAT5A,SYTL1,TPM2,TUBB"
133	"CEBPA,CLPP,CPSF1,CSNK1E,CSNK2B,DDOST,EEF1G,EIF5A,FOXK1,FRG1,HCFC1,MTA1,MTA2,NONO,NPM1,NUDC,PAF1,PCBP1,PCBP2,PCNT,PLK1,PRMT5,PSMA4,RCOR2,RPL11,RPL18,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPS2,RPS9,SAP30,SET,SH3GL1,SIN3B,SIX3,SUDS3,TAF1C,TIMM13,TUBB,XAB2,ZFPM1"
134	"CCDC28A,FTL,MYOG,NES,NFKBIB,S100A12,S100A14,S100A8"
135	"APEX2,DDOST,MUS81,PPAN,PSMA4,SMYD3,UNG"
136	"ACTA1,ACTA2,ACTN4,ARF1,ARPC1B,ARPC5,BID,COX5A,CSNK1E,CSNK2B,CXCR4,DDOST,EEF2,EIF4A2,EIF5A,FAU,FRG1,FTSJ3,GNB1,GNB2,GSS,HARS2,IL7R,MDH2,MRPL16,MSN,MYL6,NONO,NPM1,NUDC,PCBP1,PGK1,PPAN,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RAB5C,RBM10,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL30,RPL32,RPL35,RPL36AL,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,SELL,SET,SLC9A3R2,SPN,STAT3,STAT5A,TRAPPC5,TRIM3,TUBB,UQCRC2,VPS28"
137	"ACTN4,AP2A1,ARF1,ARPC1B,ARPC5,CKS1B,CPSF1,CSNK2B,DDOST,EEF2,EIF4A2,EIF5A,EXOSC3,FAU,GNB1,GNB2,GSPT2,GTF2H4,LSM2,MDH2,MRPS12,MSN,MUS81,MYL6,NONO,PCBP1,PCBP2,PDCL3,PLSCR3,PPAN,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RAB11B,RAB5B,RAB5C,RPL11,RPL13A,RPL14,RPL27A,RPL32,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS23,RPS9,RRM2,SEC61A1,SH3GL1,SURF4,VPS28"
