"entrez1","entrez2"
"54","10200"
"54","2843"
"54","2730"
"58","89941"
"59","6344"
"81","123803"
"81","4170"
"81","51806"
"81","1101"
"81","3834"
"81","54769"
"81","29927"
"81","103"
"8751","50937"
"8751","4869"
"8751","3916"
"8751","1412"
"11093","3933"
"11093","116444"
"9507","8928"
"9507","2305"
"9507","10956"
"107","5331"
"107","9355"
"107","25828"
"107","1454"
"107","10956"
"107","79586"
"107","6510"
"107","7335"
"107","84695"
"79924","142678"
"207","6134"
"207","4637"
"207","1271"
"207","25901"
"212","7481"
"212","333"
"212","60529"
"212","79031"
"212","1412"
"241","6418"
"241","338761"
"241","3753"
"60529","4640"
"60529","9973"
"60529","6581"
"60529","54858"
"60529","129790"
"60529","79714"
"60529","9454"
"60529","3868"
"60529","353139"
"60529","56971"
"60529","23198"
"60529","56751"
"60529","51411"
"60529","339231"
"60529","55114"
"60529","5268"
"60529","80198"
"60529","9929"
"60529","114336"
"60529","26470"
"60529","6836"
"60529","5409"
"84266","7135"
"259","131583"
"259","56915"
"259","9415"
"259","993"
"259","57715"
"259","3916"
"259","10101"
"91526","80331"
"91526","54020"
"91526","25901"
"91526","54948"
"91526","4637"
"91526","375"
"91526","79668"
"91526","57053"
"311","3123"
"311","6667"
"311","9230"
"311","4745"
"311","5409"
"311","53349"
"308","286530"
"308","364"
"308","5971"
"308","64951"
"308","83855"
"308","1974"
"308","1101"
"308","3665"
"308","1325"
"308","57187"
"308","5582"
"308","6132"
"308","391723"
"308","6134"
"308","1271"
"308","50626"
"308","6203"
"308","2896"
"81611","3691"
"81611","1938"
"81611","2745"
"81611","9167"
"81611","84108"
"81611","286530"
"81611","9746"
"160","79180"
"8542","25901"
"8542","4723"
"80833","79085"
"80833","11054"
"80833","6279"
"364","5582"
"364","2745"
"364","7379"
"364","6134"
"364","84108"
"364","4640"
"364","8045"
"364","6455"
"364","5971"
"364","6794"
"364","8635"
"364","6203"
"364","1271"
"375","54948"
"375","353139"
"375","4637"
"375","80331"
"375","25901"
"375","10437"
"55114","4037"
"55114","572"
"64333","339231"
"27237","391723"
"27237","5913"
"339231","9746"
"339231","9454"
"339231","7481"
"339231","3691"
"339231","391723"
"339231","91355"
"339231","25979"
"339231","4716"
"339231","96626"
"339231","5252"
"339231","84108"
"339231","1101"
"10095","7124"
"10095","5688"
"10095","2914"
"10095","7584"
"10095","63922"
"10095","6203"
"10095","1749"
"10095","1271"
"10095","114336"
"10092","5582"
"10092","1117"
"10092","1441"
"10092","1892"
"407","9592"
"407","6166"
"407","2678"
"407","25782"
"407","3054"
"407","4656"
"407","4723"
"407","342510"
"407","122704"
"407","10084"
"407","8045"
"435","3779"
"435","4723"
"435","127002"
"435","11322"
"435","200030"
"435","5333"
"435","51247"
