"entrez1","entrez2"
"954","5441"
"963","2678"
"963","3123"
"963","6693"
"967","3122"
"967","3482"
"967","3916"
"967","4478"
"967","6678"
"967","6722"
"968","1535"
"968","3108"
"968","6688"
"968","7450"
"971","973"
"971","3123"
"971","6402"
"973","1445"
"973","6402"
"973","6504"
"973","6654"
"973","23495"
"973","27040"
"973","89885"
"978","8824"
"978","56953"
"993","1163"
"993","1454"
"993","2305"
"993","3054"
"993","3265"
"993","4869"
"993","5347"
"993","5685"
"993","5688"
"993","5692"
"993","5704"
"993","6241"
"993","8888"
"993","9088"
"993","10726"
"993","23198"
"993","56342"
"1050","1628"
"1050","2624"
"1050","6688"
"1050","8554"
"1050","9112"
"1050","10538"
"1146","5913"
"1163","1460"
"1163","1650"
"1163","1663"
"1163","1937"
"1163","1938"
"1163","1974"
"1163","1984"
"1163","2189"
"1163","2305"
"1163","2483"
"1163","2782"
"1163","2783"
"1163","2968"
"1163","3833"
"1163","4141"
"1163","4841"
"1163","4869"
"1163","5032"
"1163","5093"
"1163","5094"
"1163","5347"
"1163","5441"
"1163","5479"
"1163","5685"
"1163","5688"
"1163","5692"
"1163","5704"
"1163","5869"
"1163","5878"
"1163","6124"
"1163","6129"
"1163","6132"
"1163","6134"
"1163","6135"
"1163","6138"
"1163","6156"
"1163","6157"
"1163","6161"
"1163","6166"
"1163","6175"
"1163","6181"
"1163","6183"
"1163","6184"
"1163","6187"
"1163","6203"
"1163","6241"
"1163","6418"
"1163","6455"
"1163","6604"
"1163","6667"
"1163","6836"
"1163","6902"
"1163","7360"
"1163","7374"
"1163","7584"
"1163","8841"
"1163","9031"
"1163","9045"
"1163","9088"
"1163","9189"
"1163","10095"
"1163","10419"
"1163","10460"
"1163","10514"
"1163","10714"
"1163","10726"
"1163","11224"
"1163","23234"
"1163","23438"
"1163","23521"
"1163","23633"
"1163","26517"
"1163","29920"
"1163","29927"
"1163","56259"
"1163","56342"
"1163","56915"
"1163","56949"
"1163","57048"
"1163","57819"
"1163","63875"
"1163","63922"
"1163","64946"
"1163","79031"
"1163","80198"
"1163","81611"
"1163","92799"
"1163","117246"
"1163","126003"
"1163","203068"
"1163","246721"
"1163","283989"
"1186","3916"
"1260","51305"
"1271","1398"
"1271","1489"
"1312","1460"
"1312","1621"
"1312","3094"
"1312","5409"
"1312","5997"
"1316","5230"
"1316","6181"
"1316","6667"
"1316","8841"
"1316","10092"
"1316","10095"
"1350","1678"
"1350","3094"
"1350","3418"
"1350","4191"
"1350","4696"
"1350","4713"
"1350","4716"
"1350","4723"
"1350","6183"
"1350","6391"
"1350","7385"
"1350","9167"
"1350","9377"
"1350","26517"
"1350","27089"
"1350","54539"
"1350","54948"
"1350","64951"
"1350","131474"
"1398","1445"
"1398","1785"
"1398","2049"
"1398","2815"
"1398","3315"
"1398","3674"
"1398","3868"
"1398","5582"
"1398","6654"
"1398","6776"
"1398","6886"
"1398","7409"
"1398","7450"
"1398","8440"
"1398","8651"
"1398","10188"
"1398","10278"
"1398","10618"
"1398","10817"
"1398","10922"
"1398","23616"
"1398","23640"
"1398","26254"
"1398","55114"
"1398","57187"
"1398","64780"
"1441","3055"
"1441","6774"
"1445","1460"
"1445","1778"
"1445","1785"
"1445","2197"
"1445","2314"
"1445","2771"
"1445","3055"
"1445","3123"
"1445","3674"
"1445","6654"
"1445","6774"
"1445","6776"
"1445","7409"
"1445","7450"
"1445","8428"
"1445","8440"
"1445","9051"
"1445","55114"
"1445","80895"
"1445","203068"
"1454","1460"
"1454","1778"
"1454","1938"
"1454","1974"
"1454","2782"
"1454","2783"
"1454","2997"
"1454","4841"
"1454","5094"
"1454","5116"
"1454","5347"
"1454","5704"
"1454","6181"
"1454","6203"
"1454","8237"
"1454","9219"
"1454","10419"
"1454","10844"
"1454","23708"
"1454","60682"
"1454","116138"
"1460","1650"
"1460","1778"
"1460","1938"
"1460","1974"
"1460","1984"
"1460","2197"
"1460","2782"
"1460","2783"
"1460","2968"
"1460","3054"
"1460","3094"
"1460","4141"
"1460","4191"
"1460","4637"
"1460","4713"
"1460","4716"
"1460","4723"
"1460","4841"
"1460","4869"
"1460","5032"
"1460","5093"
"1460","5094"
"1460","5230"
"1460","5441"
"1460","5479"
"1460","5525"
"1460","5533"
"1460","5685"
"1460","5688"
"1460","5692"
"1460","5704"
"1460","5878"
"1460","5905"
"1460","6124"
"1460","6129"
"1460","6132"
"1460","6134"
"1460","6138"
"1460","6141"
"1460","6156"
"1460","6157"
