"204102_s_at"	"207585_s_at"	"201122_x_at"	"208620_at"	"217266_at"	"200074_s_at"	"221798_x_at"	"212044_s_at"	"200926_at"	"201033_x_at"	"200717_x_at"	"214317_x_at"	"200019_s_at"	"201429_s_at"	"221475_s_at"	"213588_x_at"	"208856_x_at"	"212042_x_at"	"213459_at"	"221476_s_at"	"219138_at"	"217747_s_at"	"211720_x_at"	"214041_x_at"	"200010_at"	"200834_s_at"	"211972_x_at"	"200094_s_at"	"214097_at"	"200002_at"	"200936_at"	"200022_at"	"200674_s_at"	"200092_s_at"	"214335_at"	"222297_x_at"	"201492_s_at"	"200908_s_at"	"217670_at"	"201123_s_at"	"213753_x_at"	"201011_at"	"204330_s_at"	"204331_s_at"	"222216_s_at"	"210008_s_at"	"217980_s_at"	"213840_s_at"	"200967_at"	"200968_s_at"	"204031_s_at"	"205541_s_at"	"209252_at"	"213264_at"	"213517_at"	"218103_at"	"200063_s_at"	"201114_x_at"	"221691_x_at"	"216088_s_at"	"203396_at"	"201252_at"	"218110_at"	"201897_s_at"	"202243_s_at"	"221923_s_at"	"201638_s_at"	"202244_at"	"200057_s_at"	"210470_x_at"	"208698_s_at"	"209449_at"	"201390_s_at"	"208674_x_at"	"208675_s_at"	"205527_s_at"	"217099_s_at"	"219098_at"	"209026_x_at"	"211714_x_at"	"212320_at"	"217716_s_at"	"213648_at"	"212627_s_at"	"217786_at"	"212994_at"	"222122_s_at"	"210574_s_at"	"213048_s_at"	"218555_at"	"201173_x_at"	"210575_at"	"202586_at"
"216326_s_at"	"218338_at"	"202247_s_at"	"211783_s_at"	"203444_s_at"	"204898_at"	"209352_s_at"	"39705_at"	"204899_s_at"	"204900_x_at"	"213963_s_at"	"202473_x_at"	"202474_s_at"
"207163_s_at"	"218223_s_at"
"208992_s_at"	"215506_s_at"	"208991_at"	"214732_at"	"201693_s_at"	"202621_at"	"201694_s_at"	"203275_at"
"202225_at"	"206883_x_at"	"206493_at"	"202112_at"	"206494_s_at"	"202224_at"	"202329_at"	"216956_s_at"	"216966_at"	"212777_at"	"212780_at"	"203010_at"
"200852_x_at"	"200744_s_at"	"218679_s_at"	"201851_at"	"201140_s_at"	"200745_s_at"	"201156_s_at"	"200746_s_at"	"211963_s_at"	"200600_at"	"201954_at"	"200601_at"	"212082_s_at"
"203663_s_at"	"218320_s_at"	"200883_at"	"202799_at"	"201708_s_at"	"212600_s_at"	"201709_s_at"	"205217_at"	"210800_at"	"211752_s_at"
"202240_at"	"219769_at"	"218308_at"	"212836_at"	"209680_s_at"	"208149_x_at"	"208159_x_at"
"212983_at"	"215996_at"	"208018_s_at"	"201040_at"	"203175_at"
"200645_at"	"209077_at"	"202024_at"	"209078_s_at"	"214002_at"	"201135_at"	"203136_at"
"213333_at"	"217624_at"	"202290_at"	"209036_s_at"	"208984_x_at"	"215089_s_at"
"201393_s_at"	"200663_at"	"201551_s_at"	"213728_at"	"201392_s_at"	"202546_at"	"201552_at"	"201553_s_at"	"219053_s_at"
"214023_x_at"	"217383_at"	"218336_at"	"203667_at"
"201841_s_at"	"215787_at"	"200974_at"	"216438_s_at"
"208714_at"	"202839_s_at"	"218563_at"	"211407_at"
"221548_s_at"	"209941_at"	"204269_at"	"211432_s_at"
"209364_at"	"206863_x_at"	"200797_s_at"	"206864_s_at"	"1861_at"	"200798_x_at"	"214056_at"	"204493_at"	"214057_at"	"211725_s_at"
"209773_s_at"	"213092_x_at"	"212125_at"	"201890_at"
"205049_s_at"	"207641_at"	"206181_at"	"38521_at"	"215925_s_at"
