"symbol1"	"symbol2"	"BP"
"ACP5"	"CLCN7"	0
"ACP5"	"NES"	0.13125
"ACP5"	"CD207"	0.00375
"COMP"	"NES"	0.26525
"COMP"	"NDP"	0.306
"HRK"	"BBC3"	0.6975
"SIX3"	"ENTPD2"	0.29775
"SIX3"	"LHX2"	0.61575
"TNFRSF13B"	"TNFSF13"	0.5865
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.44825
"ASB6"	"ANAPC2"	0.309
"ANXA5"	"BBC3"	0.437
"RPS9"	"GSPT2"	0.5775
"DCXR"	"NES"	0.063
"SNCB"	"ALAS2"	0.196
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.22075
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.36925
"LCE3B"	"S100A8"	0.33425
"NES"	"NDP"	0.35925
"S100A8"	"FCN1"	0.43575
"TLX1"	"LHX2"	NA
"LHX2"	"CRB2"	0.43425
