"symbol1"	"symbol2"	"CC"
"ACP5"	"CLCN7"	0.104
"ACP5"	"NES"	0.057
"ACP5"	"CD207"	0.116
"COMP"	"NES"	0.028
"COMP"	"NDP"	0.206
"HRK"	"BBC3"	0.286
"SIX3"	"ENTPD2"	0.052
"SIX3"	"LHX2"	NA
"TNFRSF13B"	"TNFSF13"	0.022
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.3
"ASB6"	"ANAPC2"	0.227
"ANXA5"	"BBC3"	0.063
"RPS9"	"GSPT2"	0.113
"DCXR"	"NES"	0.193
"SNCB"	"ALAS2"	0.1
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.31
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.067
"LCE3B"	"S100A8"	0.073
"NES"	"NDP"	0.018
"S100A8"	"FCN1"	0.225
"TLX1"	"LHX2"	NA
"LHX2"	"CRB2"	NA
