"symbol1"	"symbol2"	"BP"
"ACP5"	"CLCN7"	0
"ACP5"	"NES"	0.087
"ACP5"	"CD207"	0
"COMP"	"NES"	0.146
"COMP"	"NDP"	0.13
"HRK"	"BBC3"	0.457
"SIX3"	"ENTPD2"	0.183
"SIX3"	"LHX2"	0.258
"TNFRSF13B"	"TNFSF13"	0.387
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.314
"ASB6"	"ANAPC2"	0.229
"ANXA5"	"BBC3"	0.274
"RPS9"	"GSPT2"	0.339
"DCXR"	"NES"	0.053
"SNCB"	"ALAS2"	0.115
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.198
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.183
"LCE3B"	"S100A8"	0.231
"NES"	"NDP"	0.182
"S100A8"	"FCN1"	0.3
"TLX1"	"LHX2"	NA
"LHX2"	"CRB2"	0.258
