"RPL4"	"RPLP0"	"FAU"	"RPL30"	"RPL27A"	"RPL37A"	"MRPS12"	"RPL8"	"RPL32"	"RPL35"	"RPL13A"	"RPL18"	"RPL37"	"RPS23"	"RPL41"	"RPL7"	"RPL14"	"RPL10"	"RPS9"	"RPL11"	"RPL15"	"RPS21"	"RPS2"	"HIST1H2AC"	"EEF2"	"RPLP2"	"MRPL16"	"MRPL21"	"MRPS24"	"HIST1H2AA"	"PCBP1"	"RPL36AL"	"EIF5A"	"RPN1"	"PPAN"	"GSPT2"	"EIF4A2"	"PCBP2"	"HARS2"	"FTSJ3"	"MYBBP1A"	"ARF1"
"PSMA4"	"PSMB4"	"UQCRC2"	"PSMA7"	"CLPP"	"PSMC4"	"SURF4"	"DDOST"
"PPIB"	"CRTAP"
"XAB2"	"NONO"	"ANAPC2"	"GTF2H4"	"CPSF1"	"POLR2L"
"TUBB"	"ACTA1"	"TUBB2B"	"PGK1"
"HDAC3"	"MTA1"	"MTA2"	"SAP30"	"SIN3B"	"RCOR2"	"SUDS3"
"CSNK2B"	"NPM1"	"PDAP1"
"PLK1"	"AKT1"
"NUDC"	"INCENP"	"RANGAP1"	"CENPH"
"CKS1B"	"TACC3"	"FOXM1"
"STAT3"	"SP1"	"EGR1"	"SRF"	"MYOG"
"MUS81"	"EXOSC5"	"EXOSC3"	"EXOSC7"	"MPHOSPH6"
"GNB2"	"GNB1"	"GNAI2"	"ARPC5"	"ARPC1B"
"NDUFB10"	"NDUFV1"	"NDUFA3"	"NDUFB7"	"NDUFS7"	"COX5A"	"UQCRQ"	"COX7C"	"SDHC"	"MDH2"
"CRK"	"GP9"	"VWF"
"RAB5C"	"RAB5B"	"RAB11B"
"ARHGAP17"	"SOS1"
"DYNC1H1"	"PCNT"	"CSNK1E"
"LSM2"	"SF3A2"	"FRG1"	"LSM7"
"PRMT5"	"GEMIN4"	"GEMIN7"
"CSK"	"ILKAP"	"HCK"
"MSN"	"CD63"	"IGF2R"
"GABARAP"	"TXN2"	"ASNA1"
"IRF2"	"IRF7"	"IRF3"	"IFIT2"	"ADAR"
"SEC61A1"	"OS9"
"SPI1"	"ZFPM1"	"GATA2"	"CEBPA"
"RABAC1"	"TMEM115"
"RHOG"	"RHOBTB1"	"RHOT2"
"SQSTM1"	"HSPB1"	"ACTA2"
"SET"	"TIMM8A"
"GIT1"	"ITGA2B"	"CAMK2A"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"TNNI2"	"TNNI1"	"TNNT2"	"TPM2"
"ZNF598"	"UBE2R2"
"TRAPPC5"	"KLHDC4"
"ECHS1"	"DDA1"
"SH3GL1"	"SH3GLB2"
"CXCR4"	"ARR3"	"ARRB2"
"DDX11"	"CHTF18"
"AP2A1"	"EPN3"
"STK11"	"CAB39"	"BRSK1"
"PAF1"	"CTNNBL1"
"MYL2"	"MYL3"	"TNNT3"
"HLA-DRA"	"HLA-DMA"	"HLA-DRB1"
"NFKB2"	"RELB"
"NDUFB11"	"FATE1"
"USP22"	"ATXN7L3"
"NR5A1"	"PITX1"
"PHC1"	"EEF1G"
"SIX3"	"LHX2"
"S100A8"	"S100A12"
"PLCB3"	"PLCB2"
"KLC2"	"NDRG2"
"CD53"	"ALOX5AP"
"MCL1"	"HRK"	"BAD"
