"RPL4"	"FAU"	"RPL30"	"RPL27A"	"RPL37A"	"MRPS12"	"RPLP0"	"RPL8"	"RPL32"	"RPL35"	"RPL13A"	"RPL18"	"RPL37"	"RPS23"	"RPL7"	"RPL14"	"RPL41"	"RPL11"	"RPL10"	"RPS9"	"RPL15"	"RPS21"	"RPS2"	"RPLP2"	"RPL36AL"	"EEF2"	"HIST1H2AC"	"PCBP1"	"MRPL16"	"EIF5A"	"RPN1"	"GSPT2"	"EIF4A2"	"PPAN"	"HIST1H2AA"	"HARS2"	"PCBP2"	"ARF1"	"FTSJ3"
"PSMA4"	"PSMA7"	"PSMB4"	"UQCRC2"	"CLPP"	"PSMC4"	"SURF4"	"DDOST"	"XAB2"
"PPIB"	"CRTAP"
"CSNK2B"	"ANAPC2"	"HCFC1"	"NONO"	"ZBED1"
"TUBB"	"INCENP"	"PLK1"	"RANGAP1"
"HDAC3"	"MTA1"	"MTA2"	"SAP30"	"SIN3B"	"SUDS3"	"RCOR2"
"NUDC"	"EEF1G"	"FRG1"
"CKS1B"	"TACC3"	"FOXM1"
"AKT1"	"PLEKHO1"
"NPM1"	"PDAP1"	"PRMT5"	"GEMIN4"
"CPSF1"	"KHSRP"	"EXOSC7"	"EXOSC5"	"EXOSC3"
"STAT3"	"SP1"	"EGR1"	"SRF"
"GNB2"	"GNB1"	"GNAI2"	"ARPC5"	"ARPC1B"
"COX5A"	"COX7C"	"UQCRQ"	"SDHC"	"NDUFB7"	"NDUFV1"	"NDUFB10"	"NDUFA3"	"NDUFS7"	"MDH2"
"MUS81"	"KLHDC4"
"CRK"	"GP9"	"ITGA2B"	"VWF"
"RAB5C"	"RAB5B"	"RAB11B"	"RABAC1"
"DYNC1H1"	"PCNT"	"CSNK1E"	"TUBGCP2"
"POLR2L"	"POLR2J2"
"ARHGAP17"	"SOS1"	"RHOG"	"RHOT2"	"RHOBTB1"
"MSN"	"CD63"	"IGF2R"
"GABARAP"	"TXN2"	"ASNA1"
"LSM2"	"TIMM8A"	"SET"
"SEC61A1"	"OS9"
"HCK"	"ILKAP"	"CSK"
"PGK1"	"DDA1"	"ECHS1"
"IRF2"	"IRF3"	"IRF7"	"IFIT2"	"ADAR"
"ACTA1"	"TNNI1"	"TNNI2"	"TPM2"
"ZNF598"	"UBE2R2"
"SH3GL1"	"SH3GLB2"
"SQSTM1"	"CAMK2A"
"SPI1"	"GATA2"	"ZFPM1"	"CEBPA"
"CXCR4"	"ARR3"	"ARRB2"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"GTF2H4"	"DDX11"
"HSPB1"	"ACTA2"
"CD79A"	"FATE1"
"STK11"	"CAB39"	"BRSK1"
"TBCA"	"MPHOSPH6"
"AP2A1"	"EPN3"
"GIT1"	"NCK2"
"NFKB2"	"RELB"
"MYOG"	"TFAP4"
"HLA-DRB1"	"HLA-DMA"	"HLA-DRA"
"USP22"	"ATXN7L3"
"RBM10"	"SF3A2"
"MYL2"	"MYL3"	"TCAP"
"PDCL3"	"FIS1"
"VPS28"	"ZNHIT1"
"MRPS24"	"MRPL52"
"NR5A1"	"PITX1"
"MCL1"	"HRK"	"BAD"
"KLC2"	"NDRG2"
"S100A8"	"S100A12"
"LHX2"	"SIX3"
"RGS2"	"NIPSNAP1"
"CACNA1A"	"CACNA2D4"
"CD53"	"ALOX5AP"
