"AKT1"	"GYS1"	"UGP2"
"TNF"	"SERPINB5"	"IL13"
"RPS2"	"RPL4"	"RPL37"	"RPL27A"	"RPLP2"	"RPL37A"	"RPL8"	"RPL18"	"RPL15"	"RPL41"	"RPL32"	"RPL35"	"RPS23"	"RPS21"	"RPL14"	"RPL13A"	"RPLP0"	"RPL7"	"RPS9"	"RPL10"	"RPL30"	"GSPT2"	"RPL11"	"MRPS12"	"EEF2"	"EIF4A2"	"MRPL16"	"SMG6"	"EXOSC7"	"EXOSC3"	"EXOSC5"	"SEC61A1"	"EEF1G"
"HRAS"	"PLK1"	"NPM1"	"FOXM1"	"CDC25A"
"STAT3"	"KPNA6"
"GNB1"	"OR4C46"	"OR1M1"	"ARRB2"
"ACTA1"	"TPM2"	"TNNT3"	"MYL3"	"TNNT2"	"TNNI2"	"TNNI1"	"MYL2"	"MYL6"	"TCAP"
"HDAC3"	"HIST1H2AA"	"MTA2"	"SUDS3"	"HIST1H2AC"	"SAP30"	"SIN3B"	"HINT1"
"GNB2"	"GNAI2"	"CORT"	"GRM4"	"NPW"	"ADCY1"	"NPY"
"POLR2L"	"GTF2F1"	"GTF2H4"	"XAB2"	"SF3A2"	"PCBP1"	"LSM7"	"LSM2"	"CPSF1"	"PCBP2"	"PQBP1"	"CTNNBL1"
"EGR1"	"LHX2"
"HLA-DRB1"	"HLA-DQA2"	"HLA-DRA"	"IFI30"	"HLA-G"	"IRF2"	"TRIM22"	"IRF7"	"IRF3"	"IFITM1"	"BST2"
"VAV1"	"SOS1"	"LAT"	"CRK"	"HCK"
"NDUFV1"	"NDUFB11"	"NDUFB7"	"NDUFB10"	"NDUFA3"	"NDUFS7"	"ACAD9"	"UQCRC2"	"COX5A"	"UQCRQ"	"SDHC"
"DYNC1H1"	"DYNC1LI1"	"PCNT"	"TUBB"	"TUBGCP2"	"KIFC1"	"TUBB2B"
"VWF"	"CD68"	"CD79A"	"CD7"
"DNM2"	"IGF2R"	"ARPC5"	"ARPC4"	"AP2A1"	"VAMP8"	"RAB5B"	"RAB5C"	"SYT8"	"ARF1"
"SP1"	"ACTA2"	"SRF"
"MCL1"	"BID"	"BBC3"	"BAD"	"HRK"
"ACTN4"	"TMSB4X"	"SPARC"	"VEGFB"	"PF4"
"FGF8"	"WNT11"	"TBX5"	"WNT3"
"ANAPC2"	"HECTD3"	"UBE2R2"	"RNF130"	"DTX3L"	"MIB2"	"ASB2"	"UBE2V1"	"SOCS1"
"PPP3CC"	"PPP1R1B"
"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"PSME4"	"OAZ2"
"SPI1"	"GATA2"	"TAL1"	"ZFPM1"	"THPO"
"GGT1"	"CNDP2"	"GSS"	"GCLM"
"RHOG"	"OBSCN"	"RHOBTB1"	"RHOT2"	"ARHGAP17"	"FGD3"
"TH"	"PNMT"	"DBH"	"COMT"
"CAB39"	"LRG1"
"IL7R"	"CTF1"	"IL6R"	"CNTFR"
"PLCB2"	"PLCB3"	"UTS2R"	"P2RY11"
"AMBP"	"TYRO3"
"ECHS1"	"IDH2"
"CAMK2A"	"DLGAP1"	"SYNGAP1"
"STK11"	"WDTC1"
"RIPK1"	"NTAN1"
"CACNA1A"	"CACNA1H"
"PKMYT1"	"CKS1B"	"RRM2"
"POM121"	"NUP210"	"THOC2"	"THOC6"
"MRPL21"	"MRPL17"	"MRPS24"	"MRPL52"
"KRTAP6-3"	"KRTAP11-1"	"KRTAP23-1"	"KRTAP6-2"	"KRTAP19-6"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"COMP"	"COL9A3"
"SELL"	"SPN"	"MSN"
"NFKB2"	"RELB"	"TRAF5"
"KLC2"	"KIF1A"	"KIF25"
"KCNE1"	"KCNIP2"
"PRMT5"	"PRMT8"
"HTR4"	"SCTR"	"GPR20"	"ADM2"	"FSHR"
"FCN1"	"CFP"
"GEMIN7"	"GEMIN4"	"KHSRP"
"EIF4EBP1"	"EIF4G3"
"LAMP1"	"CD63"
"MDH2"	"GLUD2"
"PIK3R5"	"GP9"
"GCAT"	"SARDH"
"CSNK2B"	"CSNK1E"
"GBX2"	"SIX3"	"PAX8"
"TCF7"	"BCL9L"
"VTN"	"C8G"
"S100A8"	"S100A12"
"TAF1C"	"BAZ1B"	"MYBBP1A"
"HCFC1"	"FOXK1"
"GABRD"	"KCNK3"
"ANP32E"	"ZNHIT1"
"CHDH"	"PLA2G2F"
"EXT2"	"CHPF"	"B3GAT3"
"APEX2"	"UNG"
