"AKT1"	"WDTC1"	"STK11"	"HRAS"	"TNF"	"STAT3"
"RPL4"	"RPL27A"	"RPL37"	"RPLP2"	"RPL37A"	"RPL8"	"RPL18"	"RPL15"	"RPL41"	"RPL32"	"RPL35"	"RPS23"	"RPS21"	"RPS2"	"RPL14"	"RPL7"	"RPS9"	"RPLP0"	"RPL13A"	"GSPT2"	"RPL30"	"RPL10"	"MRPS12"	"EEF2"	"RPL11"	"EIF4A2"	"MRPL16"	"EEF1G"	"SEC61A1"	"EXOSC7"	"EXOSC3"	"EXOSC5"
"GNB1"	"OR4C46"	"OR1M1"	"ARRB2"
"GNB2"	"GNAI2"	"CORT"	"NPW"	"GRM4"	"NPY"	"ADCY1"	"PF4"
"PLK1"	"MYT1"
"HDAC3"	"HIST1H2AA"	"MTA2"	"HIST1H2AC"	"SUDS3"	"SAP30"	"SIN3B"	"HINT1"
"ACTA1"	"TPM2"	"TNNT3"	"TNNI1"	"TNNI2"	"MYL6"	"TNNT2"	"MYL3"	"MYL2"	"TCAP"
"POLR2L"	"GTF2F1"	"GTF2H4"	"XAB2"	"POLD3"	"CPSF1"	"SF3A2"	"PCBP1"	"LSM7"	"LSM2"	"PCBP2"	"CTNNBL1"
"ITGA2B"	"SOS1"	"ACTN4"
"EGR1"	"LHX2"
"HLA-DRB1"	"HLA-DQA2"	"HLA-DRA"	"IFI30"	"HLA-G"	"TRIM22"	"IRF2"
"NDUFV1"	"NDUFB11"	"NDUFB7"	"NDUFB10"	"NDUFA3"	"NDUFS7"	"ACAD9"
"VAV1"	"CRK"	"PIK3R5"	"HCK"
"SH3GL1"	"NDP"	"COMP"
"ANAPC2"	"HECTD3"	"UBE2R2"	"RNF130"	"DTX3L"	"ASB2"	"MIB2"	"UBE2V1"
"FGF8"	"GBX2"	"PAX8"	"SIX3"
"SP1"	"ACTA2"	"SRF"
"DYNC1H1"	"TUBB"	"PCNT"	"DYNC1LI1"
"RAB5C"	"RAB5B"	"IGF2R"	"AP2A1"	"DNM2"
"STAT5A"	"IL7R"	"STAT4"
"PSMA7"	"PSMA4"	"PSMB4"	"PSME4"	"PSMC4"	"PPP2R5A"
"NPM1"	"NPM3"
"MCL1"	"ANXA5"
"COX5A"	"COX7C"	"UQCRQ"	"UQCRC2"	"SDHC"
"P2RY11"	"HTR4"	"GPR20"	"SCTR"	"FSHR"	"ADM2"
"GGT1"	"CNDP2"	"GSS"	"GCLM"
"SPI1"	"TAL1"	"ZFPM1"	"GATA2"
"RHOG"	"RHOBTB1"	"FGD3"	"RHOT2"	"ARHGAP17"
"PLCB3"	"PLCB2"	"UTS2R"	"PLCD1"
"TH"	"PNMT"	"DBH"	"COMT"
"RIPK1"	"NTAN1"
"IRF3"	"IRF7"	"IFITM1"	"BST2"	"ADAR"	"IFIT2"
"ARPC5"	"ARPC4"	"ARPC1B"
"KLC2"	"KIF1A"
"CAMK2A"	"DLGAP1"	"SYNGAP1"
"WNT11"	"VANGL1"
"KRTAP6-3"	"KRTAP11-1"	"KRTAP23-1"	"KRTAP6-2"	"KRTAP19-6"
"CAB39"	"STK24"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"NFKB2"	"RELB"	"TRAF5"	"NFKBIB"
"THPO"	"IL6R"	"CNTFR"
"MDH2"	"IDH2"	"GLUD2"
"PRMT5"	"PRMT8"
"POM121"	"NUP210"	"THOC2"	"THOC6"
"MRPL21"	"MRPL17"	"MRPL52"	"MRPS24"
"PKMYT1"	"CDC25A"	"CKS1B"
"WNT10B"	"WNT3"
"CHDH"	"PLA2G2F"
"KIF25"	"KIFC1"	"TUBGCP2"
"BID"	"BBC3"	"BAD"
"KCNE1"	"KCNIP2"
"GCAT"	"SARDH"
"EIF4EBP1"	"EIF4G3"
"PPIB"	"CRTAP"
"VTN"	"C8G"
"FCN1"	"CFP"
"GEMIN7"	"GEMIN4"
"TAF1C"	"BAZ1B"	"MYBBP1A"
"HCFC1"	"FOXK1"
"DIRAS3"	"IGFALS"
"GYS1"	"UGP2"
"GABRD"	"KCNK3"
"ANP32E"	"ZNHIT1"
"MUS81"	"APEX2"	"UNG"
"EXT2"	"CHPF"	"B3GAT3"
