"AKT1"	"ACTA2"	"RHOG"	"DNM2"	"RHOBTB1"
"FAU"	"RPL4"	"RPL30"	"RPL27A"	"RPS23"	"RPL37A"	"RPLP0"	"RPL8"	"RPL18"	"RPL37"	"RPL32"	"RPL35"	"RPL13A"	"RPL41"	"RPL7"	"RPL15"	"RPL14"	"RPS21"	"MRPS12"	"RPL11"	"RPL10"	"RPS9"	"RPS2"	"RPLP2"	"MRPL16"	"RPL36AL"	"EEF2"	"GSPT2"	"MPHOSPH6"	"EIF4A2"	"EIF5A"	"RPN1"	"EXOSC7"	"EXOSC3"	"EEF1G"	"SMG6"
"TNF"	"IL13"	"STAT3"	"STAT4"	"STAT5A"	"SOCS1"
"HRAS"	"WDTC1"	"GP9"	"ITGA2B"	"VWF"	"PF4"
"PLK1"	"ANAPC2"	"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"CDC25A"
"ACTA1"	"TNNI1"	"MYL2"	"TNNT2"	"TNNT3"	"TNNI2"	"TPM2"	"MYL3"
"SH3GL1"	"TGOLN2"	"VAMP8"	"ARRB2"	"ARPC4"	"ARPC5"	"AP2A1"
"HDAC3"	"MTA2"	"MTA1"	"HIST1H2AA"	"HIST1H2AC"	"PRMT5"
"GNB1"	"GNB2"	"ADM2"	"NPW"	"GNAI2"	"LRG1"	"DIRAS3"
"SP1"	"SRF"	"MYOG"	"MEF2D"
"EGR1"	"LHX2"
"SPI1"	"IRF2"
"XAB2"	"SF3A2"	"LSM7"	"LSM2"	"PCBP2"	"PCBP1"	"CPSF1"	"CTNNBL1"	"PQBP1"	"GTF2F1"	"POLR2L"
"PPP3CC"	"PLCB3"
"DYNC1H1"	"PCNT"	"CSNK1E"	"TUBB"
"IRF3"	"IRF7"	"IFITM1"	"TRIM22"	"IFIT2"	"BST2"	"HLA-G"
"COX5A"	"COX7C"	"UQCRQ"	"SDHC"	"NDUFB7"
"TH"	"PAH"	"CYGB"
"AMBP"	"FETUB"
"HCK"	"ILKAP"	"CSK"
"SOS1"	"VAV1"	"LAT"
"RAB5C"	"ARF1"	"RAB5B"	"RAB11B"
"MIB2"	"UBE2R2"	"HECTD3"	"ASB2"	"UBE2V1"	"RNF130"	"DTX3L"
"MCL1"	"HRK"	"BBC3"	"BAD"
"NDUFV1"	"NDUFS7"	"NDUFA3"	"NDUFB10"
"NPM1"	"SURF4"
"FOXM1"	"TACC3"
"INCENP"	"RANGAP1"	"NUDC"	"PPP2R5A"	"CENPH"
"TXNRD2"	"TXN2"
"HLA-DRA"	"HLA-DMA"	"HLA-DRB1"
"GATA2"	"CEBPA"
"CXCR4"	"CD63"	"ANXA5"
"NFKB2"	"RELB"	"NFKBIB"
"P2RY11"	"GPR20"	"HTR4"	"FSHR"	"SCTR"
"ECHS1"	"DDA1"
"CACNA1A"	"CACNA2D4"	"CACNA1H"
"WNT11"	"WNT3"	"WNT10B"
"IL7R"	"SLAMF1"
"NPY"	"ASIP"
"GGT1"	"CNDP2"	"PEPD"
"SEC61A1"	"OS9"
"IGF2R"	"TSSC4"	"CDKN1C"
"CRK"	"NCK2"
"STK11"	"CAB39"	"BRSK1"
"HBD"	"HBQ1"	"HBE1"	"HBZ"
"KCNE1"	"KCNIP2"
"MSN"	"SLC9A3R2"
"GTF2H4"	"DDX11"
"KHSRP"	"GEMIN7"	"GEMIN4"	"POM121"
"MRPL21"	"MRPL52"	"MRPS24"	"MRPL17"
"CSNK2B"	"PLEKHO1"
"CAMK2A"	"SQSTM1"
"PPIB"	"CRTAP"
"KIFC1"	"KIF25"	"KIF1A"
"IL6R"	"CNTFR"
"TBX5"	"IRX4"
"NR5A1"	"PITX1"
"RIPK1"	"TRAF5"
"ZBTB32"	"HELT"
"PLAUR"	"MRC2"
"SIN3B"	"SAP30"	"SUDS3"
"S100A8"	"S100A12"
"CFP"	"ADAMTSL2"	"ADAMTS4"	"ADAMTS13"
"EIF4EBP1"	"LRRC20"
"RTN4R"	"RTN2"
"MYBBP1A"	"PPAN"
"DDOST"	"ORMDL3"
"VPS28"	"CYHR1"
"COMT"	"PNMT"
"RHPN1"	"ZFYVE1"	"USP2"
"PFDN2"	"ODF3"
"LY6H"	"LY6E"
"CDA"	"TIMM8A"
"VANGL1"	"ADAR"
"B3GAT3"	"NIPSNAP1"
