"RPL4"	"XAB2"	"ANAPC2"	"RPLP2"	"RPS9"	"PCBP2"	"EEF2"	"PCBP1"	"CPSF1"	"RPL11"	"RPLP0"	"RPL36AL"	"RPS2"	"RPL14"	"RPL7"	"RPL30"	"RPL27A"	"RPS23"	"RPL15"	"FAU"	"RPL37A"	"RPL10"	"RPL35"	"RPL13A"	"RPL8"	"RPL32"	"RPL18"	"RPL37"	"RPL41"	"RPS21"	"MRPS12"	"EIF5A"	"RPN1"	"HIST1H2AC"	"GSPT2"	"EIF4A2"	"HARS2"	"FTSJ3"	"PPAN"	"NONO"	"PPIB"	"PSMA7"	"PSMA4"	"PSMC4"	"PSMB4"	"ARF1"	"SURF4"	"EXOSC7"	"EXOSC3"	"LSM2"	"TRAPPC5"	"TUBB"
"CSNK2B"	"NPM1"	"HDAC3"	"PRMT5"	"GEMIN4"	"PLK1"
"DDOST"	"OS9"	"SEC61A1"
"NUDC"	"INCENP"	"RANGAP1"	"CENPH"	"POLD3"	"RRM2"
"CKS1B"	"TACC3"	"FOXM1"
"AKT1"	"PLEKHO1"
"NDUFB10"	"NDUFV1"	"NDUFA3"	"NDUFB7"	"NDUFS7"	"COX5A"	"UQCRQ"	"COX7C"	"SDHC"	"MDH2"	"NDUFB11"	"UQCRC2"
"STAT3"	"DIRAS3"
"GNB2"	"GNB1"	"GNAI2"	"ARPC5"	"ARPC1B"	"PDCL3"
"MUS81"	"KLHDC4"
"CRK"	"GP9"	"ITGA2B"	"VWF"
"RAB5C"	"RAB5B"	"RAB11B"	"RABAC1"
"DYNC1H1"	"PCNT"	"CSNK1E"	"TUBGCP2"	"DYNC1LI1"
"MTA1"	"PHC1"	"EEF1G"
"SP1"	"SRF"	"MYOG"	"TFAP4"	"MEF2D"
"ARHGAP17"	"SOS1"	"RHOG"	"RHOT2"	"RHOBTB1"	"ARHGEF16"	"ARHGAP9"
"MSN"	"CD63"	"IGF2R"	"LAMP1"
"ASNA1"	"MPHOSPH6"	"EXOSC5"
"ILKAP"	"HCK"	"CSK"
"IRF2"	"IRF3"	"IRF7"	"EGR1"	"IFIT2"	"ADAR"
"ACTA1"	"TNNI1"	"TNNI2"	"TNNT2"	"TPM2"	"MYL2"	"TNNT3"
"POLR2L"	"POLR2J2"	"GTF2H4"
"GABARAP"	"TXN2"	"MYL6"
"SIN3B"	"SAP30"	"SUDS3"	"MTA2"	"RCOR2"
"PGK1"	"DDA1"	"ECHS1"
"SET"	"TIMM8A"	"JOSD1"	"CHCHD4"
"ZNF598"	"UBE2R2"
"MYBBP1A"	"EIF4G3"
"HRAS"	"STK11"
"GIT1"	"NCK2"	"PIP5K1C"	"RASSF7"
"SQSTM1"	"NIPSNAP1"	"RGS2"	"CLPP"
"CXCR4"	"ARR3"	"ARRB2"
"FRG1"	"SF3A2"	"CTNNBL1"	"PAF1"
"SH3GL1"	"SH3GLB2"
"SPI1"	"GATA2"	"ZFPM1"	"CEBPA"
"CD79A"	"FATE1"	"PRRG2"
"MRPL16"	"MRPL52"	"MRPS24"	"MRPL21"	"MRPL17"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"AP2A1"	"EPN3"
"RIPK1"	"TRAF5"
"HSPB1"	"ACTA2"
"DDX11"	"KIFC1"	"CHTF18"
"NFKB2"	"RELB"
"BAD"	"HRK"	"MCL1"
"NR5A1"	"PITX1"
"HLA-DRB1"	"HLA-DMA"	"HLA-DRA"
"TBCA"	"PFDN2"
"TNFRSF13B"	"SLAMF1"
"RBM10"	"PDAP1"
"NPW"	"RGS14"
"HINT1"	"FHIT"
"USP22"	"ATXN7L3"
"VPS28"	"ZNHIT1"
"ZBED1"	"LRRC20"
"KLC2"	"NDRG2"
"PRMT8"	"DPH5"
"WNT10B"	"WNT3"	"WNT11"
"SIX3"	"LHX2"	"MSX1"
"S100A8"	"S100A12"
"PLCB3"	"SLC9A3R2"
"CNDP2"	"PEPD"
"GGT1"	"CD53"	"ALOX5AP"
"CACNA1A"	"CACNA2D4"
"LAMA5"	"CRTAP"
