"RPL4"	"RPS9"	"RRM2"	"RPS2"	"PCBP2"	"RPLP2"	"RPL7"	"RPLP0"	"RPL11"	"PCBP1"	"RPL14"	"RPL30"	"RPL8"	"RPL18"	"RPL35"	"RPL13A"	"RPS23"	"RPL15"	"RPL37A"	"EEF2"	"NPM1"	"RPL10"	"RPL27A"	"RPL32"	"RPL36AL"	"EIF5A"	"PSMC4"	"PSMA4"	"PSMA7"	"MARS"	"PSMB4"	"RPL37"	"MYBBP1A"	"POLR2L"	"RPN1"	"PPIB"	"CSNK2B"	"PRMT5"	"DDOST"	"ARF1"	"SEC61A1"	"NONO"	"TUBB"	"PGK1"	"GNB1"
"TIMM13"	"NDUFB7"	"NDUFB11"	"NDUFB10"	"COX7C"	"UQCRQ"	"COX5A"	"UQCRC2"	"NDUFV1"	"NDUFA3"	"NDUFS7"	"MRPS24"	"MRPL17"	"MRPS12"	"MDH2"	"CLPP"	"SDHC"	"COX7A2L"	"TIMM8A"	"MRPL16"	"IDH2"	"ECHS1"	"TXN2"
"HDAC3"	"AKT1"	"STAT3"	"IRF3"	"EGR1"	"FOXM1"
"NUDC"	"CDC25A"	"WDTC1"	"DDA1"
"MUS81"	"CPSF1"	"SIN3B"	"XAB2"	"SF3A2"	"LSM2"
"PLK1"	"INCENP"	"DDX11"	"KIFC1"	"POLD3"	"PKMYT1"
"CKS1B"	"GTF2H4"	"POLR2J2"	"ZBED1"	"GTF2F1"
"GNB2"	"RAB5C"	"VPS28"	"MYL6"	"RAB11B"
"CSK"	"GNAI2"	"DYNC1H1"	"FLII"
"PPAN"	"FTSJ3"	"CTNNBL1"
"CRK"	"HSPB1"
"HLA-DRB1"	"HLA-DRA"	"HLA-DMA"	"HLA-DQA2"	"HLA-G"
"HRAS"	"FRS3"	"SOS1"
"GSPT2"	"UBE2R2"
"ACTN4"	"MSN"	"ARPC1B"
"SP1"	"SMARCD3"	"NR5A1"	"THOC2"
"ARHGAP17"	"ARHGEF16"	"RHOBTB1"	"RHOT2"	"RHOG"	"ARHGAP9"	"FGD3"
"MTA1"	"SUDS3"	"SAP30"	"HCFC1"	"MTA2"
"LAMP1"	"CD63"	"IGF2R"	"VAMP8"	"ECE1"
"SURF4"	"ENTPD4"	"POR"
"TPM2"	"TNNI1"	"TNNT3"	"TCAP"	"MYL3"	"MYL2"	"TNNI2"
"EXOSC5"	"EXOSC3"	"EXOSC7"	"MPHOSPH6"	"KHSRP"
"EIF4A2"	"EIF4G3"
"ASNA1"	"EEF1G"
"GABARAP"	"TBC1D2B"
"RAB5B"	"SERINC2"
"HINT1"	"DNAJC9"	"DPH5"
"HCK"	"PSTPIP1"
"ANAPC2"	"PDCL3"
"PIAS1"	"MSX1"
"NFKB2"	"NFKBIB"
"CXCR4"	"NPW"	"ADCY1"	"NPY"
"RIPK1"	"IRF7"	"UBE2V1"
"STAT5A"	"PIAS3"	"GEMIN4"
"AP2A1"	"ARRB2"
"VWF"	"VEGFB"	"SPARC"	"PF4"	"TMSB4X"
"CAMK2A"	"SYNGAP1"
"CD79A"	"TNFRSF13B"	"CD22"
"TUBB2B"	"TUBGCP2"
"USP11"	"CSNK1E"
"BAD"	"BID"	"MCL1"	"HRK"	"BBC3"
"SPI1"	"GATA2"	"CEBPA"	"ZFPM1"
"IRF2"	"IFI30"
"RELB"	"DAXX"
"ILKAP"	"STK11"
"PLP2"	"TBXAS1"	"ALOX5AP"
"USP22"	"RBM10"	"BAZ1B"
"GSS"	"CNDP2"	"SCLY"
"OR5A2"	"OR6N1"	"OR4C46"	"OR1M1"
"HBE1"	"HBD"	"HBZ"	"HBQ1"
"ACTA1"	"ACTA2"
"ITGA2B"	"ITGB4"
"PYCR2"	"HARS2"
"ARPC5"	"ARPC4"
"P2RY11"	"PRMT8"
"SPN"	"SIGLEC1"
"UGP2"	"HK3"
"MRPL21"	"MRPL52"
"ALAS2"	"SARDH"
"PIP5K1C"	"PLCB2"	"PLCB3"
"FOXH1"	"ALX4"
"POU3F4"	"POU3F1"
"FADS2"	"LSS"
"RGS2"	"COMT"
"SCTR"	"DCXR"
