"203396_at"	"201890_at"	"202243_s_at"	"201114_x_at"	"201252_at"	"200010_at"	"214317_x_at"	"209773_s_at"	"208620_at"	"221798_x_at"	"201033_x_at"	"200717_x_at"	"200094_s_at"	"200022_at"	"200926_at"	"217747_s_at"	"217266_at"	"200908_s_at"	"200002_at"	"200074_s_at"	"212042_x_at"	"208856_x_at"	"214335_at"	"200936_at"	"217670_at"	"221475_s_at"	"213588_x_at"	"211720_x_at"	"222297_x_at"	"207585_s_at"	"204102_s_at"	"200062_s_at"	"221476_s_at"	"219138_at"	"211972_x_at"	"201122_x_at"	"212044_s_at"	"214167_s_at"	"201429_s_at"	"200674_s_at"	"201123_s_at"	"200063_s_at"	"213459_at"	"216088_s_at"	"204031_s_at"	"213753_x_at"	"221691_x_at"	"214041_x_at"	"213263_s_at"	"219098_at"	"213264_at"	"221923_s_at"	"213517_at"	"200967_at"	"200968_s_at"	"201011_at"	"202244_at"	"208674_x_at"	"208675_s_at"	"218103_at"	"201390_s_at"	"217786_at"	"202586_at"	"211730_s_at"	"200057_s_at"	"210470_x_at"	"200092_s_at"	"210231_x_at"	"208698_s_at"	"213048_s_at"	"209252_at"	"201638_s_at"	"209026_x_at"	"212320_at"	"211714_x_at"	"213092_x_at"	"201897_s_at"	"213088_s_at"	"217716_s_at"	"200738_s_at"	"217383_at"	"200744_s_at"	"200737_at"	"200745_s_at"	"217356_s_at"	"200746_s_at"	"210574_s_at"	"210575_at"	"209449_at"	"201173_x_at"	"218188_s_at"	"200852_x_at"	"218463_s_at"	"217980_s_at"	"218110_at"	"211963_s_at"	"201954_at"	"214002_at"	"212082_s_at"	"216326_s_at"	"205541_s_at"	"215071_s_at"	"212627_s_at"	"218481_at"	"213648_at"	"222216_s_at"	"209036_s_at"	"213333_at"	"200093_s_at"	"203444_s_at"	"207721_x_at"	"208826_x_at"	"203667_at"	"202024_at"	"201527_at"	"202240_at"	"208714_at"	"201492_s_at"
"207163_s_at"	"202580_x_at"	"208991_at"	"208992_s_at"	"202621_at"	"201693_s_at"	"201694_s_at"	"214732_at"	"208436_s_at"	"217502_at"	"201786_s_at"	"203275_at"
"218076_s_at"	"208009_s_at"	"212651_at"	"221789_x_at"	"203175_at"	"212777_at"	"222131_x_at"	"212780_at"	"65770_at"	"202329_at"	"202224_at"	"203315_at"	"202225_at"	"202226_s_at"
"203663_s_at"	"212600_s_at"	"201134_x_at"	"201568_at"	"218563_at"	"218320_s_at"	"202839_s_at"	"213846_at"	"211407_at"	"200883_at"	"217491_x_at"	"201256_at"	"202004_x_at"	"215088_s_at"	"205217_at"	"210131_x_at"	"210800_at"	"216591_s_at"	"217720_at"	"213840_s_at"	"210045_at"	"204330_s_at"	"210046_s_at"	"202799_at"	"204331_s_at"	"210008_s_at"	"201135_at"	"209077_at"
"212983_at"	"219907_at"
"211928_at"	"215996_at"	"209680_s_at"	"214023_x_at"	"202476_s_at"	"203660_s_at"	"202477_s_at"	"213563_s_at"	"222015_at"
"200601_at"	"204910_s_at"	"213885_at"	"213884_s_at"
"39705_at"	"211783_s_at"	"204898_at"	"202473_x_at"	"202247_s_at"	"209352_s_at"	"204899_s_at"	"202474_s_at"	"204900_x_at"	"213963_s_at"
"203010_at"	"203035_s_at"	"205527_s_at"	"201471_s_at"	"217099_s_at"
"200600_at"	"201140_s_at"	"220489_s_at"	"201276_at"	"201156_s_at"	"220490_at"	"203136_at"	"217793_at"	"34478_at"
"209364_at"	"206863_x_at"	"200796_s_at"	"206864_s_at"	"1861_at"	"200797_s_at"	"206865_at"	"200798_x_at"	"214056_at"	"204493_at"	"214057_at"	"211725_s_at"
"201393_s_at"	"202546_at"	"201551_s_at"	"201749_at"	"201552_at"	"201392_s_at"	"201750_s_at"	"201553_s_at"	"213728_at"	"200663_at"	"207809_s_at"	"209235_at"
"203577_at"	"202354_s_at"	"202093_s_at"	"202355_s_at"	"209381_x_at"	"202356_s_at"	"37462_i_at"
"208018_s_at"	"211178_s_at"	"202253_s_at"	"216024_at"	"206219_s_at"
"217028_at"	"213245_at"	"210234_at"	"206001_at"	"215340_at"	"209201_x_at"	"215348_at"	"211919_s_at"	"204280_at"	"38290_at"	"201040_at"	"211021_s_at"
"201841_s_at"	"212222_at"
"202112_at"	"216438_s_at"	"203683_s_at"	"200665_s_at"	"206390_x_at"	"212667_at"
"210333_at"	"217862_at"	"35846_at"
"221548_s_at"	"204292_x_at"	"217475_s_at"
"200645_at"	"212796_s_at"	"215951_at"	"215640_at"
"213108_at"	"213112_s_at"
"207613_s_at"	"218030_at"	"206493_at"
"205205_at"	"208723_at"	"212101_at"	"212103_at"	"212102_s_at"	"203307_at"
"204039_at"	"209782_s_at"	"205965_at"	"209783_at"
"216981_x_at"	"44673_at"
"205049_s_at"	"207641_at"	"204581_at"	"38521_at"	"215925_s_at"	"217422_s_at"	"206056_x_at"	"220674_at"
"204174_at"	"201136_at"	"208130_s_at"
"204099_at"	"208784_s_at"	"214383_x_at"	"214940_s_at"	"220347_at"
"203872_at"	"215787_at"	"204083_s_at"	"206393_at"	"205177_at"	"212654_at"	"205693_at"	"205766_at"	"205589_at"	"209742_s_at"	"215389_s_at"
"204696_s_at"	"212220_at"	"215582_x_at"	"204695_at"	"212269_s_at"
"217221_x_at"	"220861_at"
"211524_at"	"214062_x_at"	"214448_x_at"	"207535_s_at"	"214370_at"	"207001_x_at"	"209636_at"	"208763_s_at"
"211560_s_at"	"207889_at"
"202388_at"	"206270_at"	"206399_x_at"
"215089_s_at"	"200083_at"
"208928_at"	"202245_at"	"202667_s_at"
"212127_at"	"219769_at"	"208149_x_at"
